name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"abeille-argelie","fre000001","Q63215430","Abeille","0","Argélie, Reine de Thessalie","Tragédie","Tragedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_ARGELIE.xml","","","","","1674","8","false","0.8220238095238095","0.6071428571428571","1.3928571428571428","ismene","4.25","2","1678-02-25","1678","1674","7","8","4","4","0","0","1","17","","29","0","5","29","17307","15962","0","0","1748"
"abeille-coriolan","fre000002","Q63214898","Abeille","0","Coriolan","Tragédie","Tragedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_CORIOLAN.xml","","","","","1676","7","false","0.7238095238095238","0.5714285714285714","1.2","camille|virgile","3.4285714285714284","2","1676-01-24","1676","1676","5","7","3","3","1","0","2","12","","23","0","0","23","17050","14664","0","0","1618"
"abeille-lyncee","fre000003","Q63215163","Abeille","0","Lyncée","Tragédie","Tragedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_LYNCEE.xml","","","","","1678","7","false","0.6952380952380952","0.6190476190476191","1.380952380952381","erigone","3.7142857142857144","2","1678-02-25","1678","1681","6","7","3","4","0","0","1","13","","26","0","5","26","13769","13576","7","0","1496"
"about-risette","fre001461","","About","0","Risette ou Les Millions de la Mansarde","Comédie en un Acte Mêlée de Couplets","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABOUT_RISETTE.xml","","","","","1849","4","false","1","1","1","several characters","3","1","1849-08-08","1849","1873","3","4","2","2","0","0","1","6","","12","","0","12","7078","6876","438","438","70"
"adenis-diogene-et-scapin","fre001562","","Adenis","0","Diogène et Scapin","A Propos en vers","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ADENIS_DIOGENESCAPIN.xml","","","","","1880","3","false","1","1","1","diogene|scapin|diogoene","2","1","","","1880","2","3","0","2","1","0","1","3","","3","","0","3","3099","2983","134","0","292"
"adenis-gaiete-marseillaise","fre001563","","Adenis","0","Gaieté Marseillaise","Monologue","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ADENIS_GAITEMARSEILLAISE.xml","","","","","1895","1","false","0","0","0","un-homme","0","0","","","1895","0","1","0","1","0","0","1","0","","1","","0","1","850","813","0","0","92"
"adenis-homme-qui-ne-peut-pas-siffler","fre000004","","Adenis","0","L'Homme qui ne Peut pas Siffler","Monologue","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ADENIS_HOMMEQUINEPEUTPASSIFFLER.xml","","","","","1885","1","false","0","0","0","un-homme","0","0","","","1885","0","1","0","1","0","0","1","0","","1","","0","1","1387","1330","2","0","165"
"adenis-le-nouveau-ne","fre001821","","Adenis","0","Le Nouveau Né","Poésie","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ADENIS_NOUVEAUNE.xml","","","","","1885","1","false","0","0","0","une-femme","0","0","","","1885","0","1","0","1","0","0","1","0","","1","","0","1","694","650","0","0","104"
"adenisj-la-double-meprise","fre001561","","Adenis","0","La Double Méprise","Charade en Trois Parties","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ADENISJ_DOUBLEMEPRISE.xml","","","","","1888","16","false","0.8999999999999999","0.25833333333333336","1.162162162162162","nicette|nicoline","3.875","2","","","1888","6","16","10","0","6","0","3","31","","25","","0","25","8245","7749","526","348","4"
"aicard-au-clair-de-la-lune","fre001564","","Aicard","0","Au Clair de la Lune","Comédie en un Acte et en vers","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AICARD_AUCLAIRDELALUNE.xml","","","","","1870","7","false","0.6","0.3333333333333333","1.5333333333333334","pierrot","2","2","1879-06-02","1879","1870","5","7","1","4","2","0","2","7","","12","","0","12","4781","4509","598","0","414"
