title,title_pretty,genre,is_whole,acts_1_density,acts_1_diameter,acts_1_average_clustering,acts_1-2_density,acts_1-2_diameter,acts_1-2_average_clustering,acts_1-2-3_density,acts_1-2-3_diameter,acts_1-2-3_average_clustering,acts_1-2-3-4_density,acts_1-2-3-4_diameter,acts_1-2-3-4_average_clustering,acts_1-2-3-4-5_density,acts_1-2-3-4-5_diameter,acts_1-2-3-4-5_average_clustering
abeille-argelie,"Argélie, Reine de Thessalie",Tragedy,True,0.9,2,0.9,0.6666666666666666,2,0.8476190476190476,0.5357142857142857,3,0.6916666666666667,0.5714285714285714,3,0.7041666666666666,0.6071428571428571,2,0.8220238095238095
abeille-coriolan,Coriolan,Tragedy,True,0.5,2,0.0,0.4666666666666667,3,0.4166666666666667,0.6,3,0.6388888888888888,0.6666666666666666,2,0.8055555555555555,0.8,2,0.8444444444444444
abeille-lyncee,Lyncée,Tragedy,True,0.5,2,0.0,0.4,3,0.3888888888888889,0.4666666666666667,3,0.4166666666666667,0.47619047619047616,3,0.3904761904761905,0.6190476190476191,2,0.6952380952380952
arnault-lucrece,Lucrèce,Tragedy,True,0.5,3,0.0,0.32142857142857145,5,0.375,0.4642857142857143,3,0.5,0.4642857142857143,3,0.5,0.5512820512820513,3,0.7371794871794872
aubignac-pucelle-prose,La Pucelle d'Orléans,Tragedy,True,0.47619047619047616,3,0.5095238095238095,0.25757575757575757,3,0.5888888888888889,0.4696969696969697,4,0.5907407407407407,0.5,3,0.6857475857475858,0.5641025641025641,3,0.713924963924964
aubignac-pucelle,La Pucelle d'Orléans,Tragedy,True,0.47619047619047616,3,0.5095238095238095,0.25757575757575757,3,0.5888888888888889,0.4696969696969697,4,0.5907407407407407,0.5142857142857142,3,0.7245391645391646,0.5619047619047619,3,0.7318622118622119
auger-mort-de-caton,La Mort de Caton,Tragedy,True,0.38095238095238093,3,0.6428571428571429,0.35714285714285715,3,0.6916666666666667,0.37777777777777777,3,0.8400000000000001,0.34545454545454546,4,0.7939393939393938,0.358974358974359,3,0.819047619047619
barbier-mort-de-cesar,La Mort de César,Tragedy,True,0.2857142857142857,5,0.0,0.25,5,0.09259259259259259,0.3055555555555556,4,0.2185185185185185,0.3111111111111111,4,0.4333333333333333,0.3333333333333333,4,0.47333333333333333
baro-saint-eustache,Saint Eustache Martyr,Tragedy,True,0.7857142857142857,2,0.8928571428571429,0.4358974358974359,4,0.8271062271062272,0.4095238095238095,3,0.7483068783068784,0.32748538011695905,3,0.7608011871169765,0.319047619047619,3,0.7755668934240363
benserade-cleopatre,Cléopâtre,Tragedy,True,0.5333333333333333,3,0.7777777777777778,0.42857142857142855,2,0.65,0.3611111111111111,3,0.5222222222222223,0.32727272727272727,4,0.603030303030303,0.38181818181818183,4,0.5268398268398268
benserade-mort-achille,La Mort d'Achille et la Dispute de ses Armes,Tragedy,True,0.8,2,0.9,0.7142857142857143,2,0.8428571428571429,0.5277777777777778,2,0.8658730158730159,0.4909090909090909,3,0.7434343434343433,0.4393939393939394,3,0.737037037037037
bernard-brutus,Brutus,Tragedy,True,0.2857142857142857,3,0.4583333333333333,0.23636363636363636,4,0.25757575757575757,0.2545454545454545,4,0.3,0.32727272727272727,4,0.3242424242424242,0.3181818181818182,4,0.44166666666666665
bernard-laodamie,"Laodamie, Reine D'Epire.",Tragedy,True,0.3333333333333333,3,0.0,0.2857142857142857,3,0.08333333333333333,0.32142857142857145,3,0.23333333333333334,0.39285714285714285,3,0.4125,0.5,3,0.6583333333333333
bievre-seducteur,Le Séducteur,Comedy,True,0.6071428571428571,2,0.6845238095238095,0.6111111111111112,2,0.7518518518518519,0.6388888888888888,2,0.7537037037037037,0.6666666666666666,2,0.7703703703703704,0.8055555555555556,2,0.8611111111111112
blanc-druides,Les Druides,Tragedy,True,0.5333333333333333,2,0.6055555555555555,0.6190476190476191,2,0.7952380952380952,0.6666666666666666,2,0.819047619047619,0.7142857142857143,2,0.819047619047619,0.8095238095238095,2,0.8714285714285713
