title,title_pretty,genre,kept_characters,character_count,removed_characters,removed_characters_count,whole_density,whole_diameter,whole_average_clustering,wo1_density,wo1_diameter,wo1_average_clustering,wo2_density,wo2_diameter,wo2_average_clustering,wo3_density,wo3_diameter,wo3_average_clustering,wo4_density,wo4_diameter,wo4_average_clustering,wo5_density,wo5_diameter,wo5_average_clustering
abeille-argelie,"Argélie, Reine de Thessalie",Tragedy,"#ismene, #arcas, #phoenix, #cleon, #argelie, #clytie, #dione, #timagene",8,,,0.6071428571428571,2,0.8220238095238095,0.5714285714285714,2,0.7285714285714285,0.5714285714285714,2,0.7160714285714286,0.5714285714285714,2,0.8160714285714286,0.5714285714285714,3,0.7041666666666666,0.6071428571428571,2,0.8220238095238095
abeille-coriolan,Coriolan,Tragedy,"#sabine, #virgilie, #albin, #coriolan, #aufide, #camille",6,,,0.8,2,0.8444444444444444,0.8,2,0.8444444444444444,0.7333333333333333,2,0.7111111111111111,0.7333333333333333,2,0.8222222222222223,0.6666666666666666,2,0.8055555555555555,0.8,2,0.8444444444444444
abeille-lyncee,Lyncée,Tragedy,"#hypermestre, #danaüs, #erigone, #dirce, #lyncee, #lycaste, #iphis",7,,,0.6190476190476191,2,0.6952380952380952,0.5714285714285714,2,0.6904761904761905,0.5714285714285714,3,0.6714285714285715,0.47619047619047616,2,0.5619047619047619,0.47619047619047616,3,0.3904761904761905,0.6190476190476191,2,0.6952380952380952
arnault-lucrece,Lucrèce,Tragedy,"#collatin, #lucrece, #valerius, #albin, #horace, #les-conjures, #sextus, #tarquin, #arons, #icile, #spurius, #brutus, #mutius",13,,,0.5512820512820513,3,0.7371794871794872,0.5384615384615384,4,0.7542735042735043,0.5512820512820513,3,0.7371794871794872,0.5512820512820513,3,0.7371794871794872,0.4642857142857143,3,0.5,0.5512820512820513,3,0.7371794871794872
aubignac-pucelle-prose,La Pucelle d'Orléans,Tragedy,"#mide, #despinet, #la-pucelle, #la-comtesse, #un-soldat, #l-ange, #le-comte, #le-duc, #canchon, #dalinde, #le-baron, #le-garde, #aronte",13,,,0.5641025641025641,3,0.713924963924964,0.5512820512820513,3,0.7028804528804529,0.5641025641025641,3,0.713924963924964,0.5128205128205128,3,0.6848262848262847,0.5,3,0.6857475857475858,0.5641025641025641,3,0.713924963924964
aubignac-pucelle,La Pucelle d'Orléans,Tragedy,"#un-soldat, #destivet, #la-pucelle, #l-ange, #le-comte, #le-duc, #un-du-peuple, #mide, #canchon, #la-comtesse, #un-autre-soldat, #le-baron, #dalinde, #le-garde, #aronte",15,,,0.5619047619047619,3,0.7318622118622119,0.5523809523809524,3,0.7287900987900987,0.5619047619047619,3,0.7318622118622119,0.5128205128205128,3,0.6848262848262847,0.5142857142857142,3,0.7245391645391646,0.5619047619047619,3,0.7318622118622119
auger-mort-de-caton,La Mort de Caton,Tragedy,"#lucius, #caton, #portius, #brutus, #philante, #martia, #cornelie, #cesar, #statillius, #julie, #petrole, #magnus, #sextus",13,,,0.358974358974359,3,0.819047619047619,0.358974358974359,3,0.819047619047619,0.3484848484848485,3,0.7390873015873015,0.34615384615384615,3,0.8263736263736263,0.34545454545454546,4,0.7939393939393938,0.358974358974359,3,0.819047619047619
barbier-mort-de-cesar,La Mort de César,Tragedy,"#albin, #oracle, #cesar, #antoine, #porcie, #octavie, #julie, #brutus, #flavien, #pauline",10,,,0.3333333333333333,4,0.47333333333333333,0.28888888888888886,4,0.32999999999999996,0.3333333333333333,4,0.47333333333333333,0.3611111111111111,4,0.3148148148148148,0.3111111111111111,4,0.4333333333333333,0.3333333333333333,4,0.47333333333333333
baro-saint-eustache,Saint Eustache Martyr,Tragedy,"#un-soldat, #teopiste, #agapite, #eustache, #le-messager, #matelot, #trajan, #trajane, #ormond, #arbilan, #plotine, #amintor, #la-fortune, #placide, #teopiste-fils, #teopiste-mere, #flore, #tyrsis, #lysis, #la-fleur, #le-pere",21,,,0.319047619047619,3,0.7755668934240363,0.39215686274509803,3,0.7584181250847917,0.3105263157894737,4,0.8274603174603176,0.39705882352941174,3,0.7621042356336475,0.32748538011695905,3,0.7608011871169765,0.319047619047619,3,0.7755668934240363
benserade-cleopatre,Cléopâtre,Tragedy,"#charmion, #dircet, #cesar, #agripe, #eras, #epaphrodite, #cleopatre, #antoine, #lucile, #les-deputes, #eros",11,,,0.38181818181818183,4,0.5268398268398268,0.32727272727272727,4,0.4272727272727273,0.4444444444444444,3,0.6295238095238095,0.4,4,0.5566666666666666,0.32727272727272727,4,0.603030303030303,0.38181818181818183,4,0.5268398268398268
benserade-mort-achille,La Mort d'Achille et la Dispute de ses Armes,Tragedy,"#hecube, #paris, #polixene, #alcimede, #briseide, #agamemnon, #ajax, #priam, #deiphobe, #ulysse, #achille, #un-vsoldat",12,,,0.4393939393939394,3,0.737037037037037,0.42424242424242425,3,0.7374999999999999,0.4393939393939394,3,0.737037037037037,0.4666666666666667,3,0.8126190476190477,0.4909090909090909,3,0.7434343434343433,0.4393939393939394,3,0.737037037037037
bernard-brutus,Brutus,Tragedy,"#titus, #tiberinus, #octavius, #aquilius, #brutus, #un-garde, #valerie, #valerius, #aquilie, #marcellus, #plautine, #albine",12,,,0.3181818181818182,4,0.44166666666666665,0.3090909090909091,3,0.5,0.30303030303030304,4,0.4083333333333334,0.2878787878787879,5,0.3333333333333333,0.32727272727272727,4,0.3242424242424242,0.3181818181818182,4,0.44166666666666665
bernard-laodamie,"Laodamie, Reine D'Epire.",Tragedy,"#gelon, #la-reine, #phedre, #la-princesse, #argire, #sostrate, #phenix, #milon",8,,,0.5,3,0.6583333333333333,0.4642857142857143,3,0.6125,0.5,3,0.6583333333333333,0.4642857142857143,3,0.6416666666666667,0.39285714285714285,3,0.4125,0.5,3,0.6583333333333333
