name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"achat-ein-april-scherz","ger000637","Q121463020","Achat","0","Ein April-Scherz","Original-Lustspiel in einem Akt","Comedy","https://books.google.com/books?id=qHNIAQAAMAAJ&pg=PA45","Vereins-Buchhandlung","Berlin","1842","30","1842","6","false","0.8444444444444444","0.8","1.2","fraeulein|rittmeister","4","2","","","1842","5","6","3","3","0","0","1","12","","22","0","0","22","6888","6681","411","518","0"
"adolph-am-ersten-mai","ger000569","Q111795417","Adolph","0","Am ersten Mai","Eine Tragikomödie der Arbeit aus Friedenstagen","","https://www.projekt-gutenberg.org/adolph/am1mai/index.html","","","","","1919","7","false","0.738095238095238","0.6190476190476191","1.380952380952381","mieter","3.7142857142857144","2","","1920","1919","6","7","2","5","0","0","1","13","","18","0","0","18","7696","7438","998","244","2"
"alberti-brot","ger000171","Q51370104","Alberti","0","Brot!","Ein soziales Schauspiel in fünf Akten","","http://www.textgridrep.org/textgrid:jkjf.0","","","","","1888","49","false","0.8497673123239153","0.3129251700680272","1.751700680272109","muenzer","15.020408163265307","3","","","1888","40","49","7","24","18","21","1","368","1888","36","0","5","36","28744","26008","1771","797","12"
"alberti-im-suff","ger000041","Q51370930","Alberti","0","Im Suff","Naturalistische Spital-Katastrophe in zwei Vorgängen und einem Nachgang","","http://www.textgridrep.org/textgrid:jkjb.0","","","","","1890","14","false","0.9642857142857143","0.5274725274725275","1.0588235294117647","several characters","6.857142857142857","2","","","1890","9","14","3","10","1","1","2","48","","4","0","0","4","12497","11454","4016","365","191"
"albrecht-theresgen","ger000753","Q137543102","Albrecht","0","Theresgen","Ein Schauspiel mit Gesang, in fünf Aufzügen","","https://doi.org/10.25673/77937","Albrecht","Erfurt","1781","112","1781","6","false","1","1","1","several characters","5","1","","","1781","5","6","2","4","0","0","1","15","","5","0","5","0","12336","12181","578","390","277"
"alexander-die-verpfaendung","ger000630","Q120646668","Alexander","0","Die Verpfändung","Ein Schauspiel in einem Aufzuge","","https://books.google.com/books?id=3GxUAAAAcAAJ&printsec=frontcover","Neumann","Brünn","1779","45","1779","13","false","0.6554945054945056","0.46153846153846156","1.6282051282051282","robert","5.538461538461538","3","","","1779","10","13","2","11","0","0","1","36","","15","0","0","15","6667","6295","740","197","0"
"andre-cremeri-die-leiden-des-jungen-werthers","ger000731","Q134706903","André","1","Die Leiden des Jungen Werthers","Ein Trauerspiel in drey Aufzügen, fürs deutsche Theater. ganz aus dem Original gezogen","Tragedy","https://books.google.com/books?id=BbxWAAAAcAAJ&printsec=frontcover","Garbe","Frankfurt am Mayn","1776","62","1776","8","false","0.7797619047619047","0.42857142857142855","1.5714285714285714","werther","3","2","","","1776","7","8","3","5","0","0","1","12","","18","0","3","18","7253","6570","1316","184","0"
"andre-der-comoedienfeind","ger000525","Q105436023","André","0","Der Comödienfeind","Ein Lustspiel in einem Aufzuge","Comedy","https://books.google.com/books?id=hOtRhHivrfQC&printsec=frontcover","Weiß","Offenbach am Mayn","1765","48","1765","6","false","1","1","1","several characters","5","1","","","1765","5","6","2","4","0","0","1","15","","9","0","0","9","5712","5614","552","225","0"
"angely-prinz-tu-ta-tu","ger000576","Q111976082","Angely","0","Prinz Tu-Ta-Tu","Burleske mit Gesang nach Sauvage","Comedy","https://de.wikisource.org/wiki/Prinz_Tu-Ta-Tu","Magazin für Buchhandel, Musik und Kunst","Hamburg","1836","53","1835","8","false","0.8904761904761905","0.8214285714285714","1.1785714285714286","chor_volk|gululi","5.75","2","1835-11-25","1835","1836","7","8","1","6","1","1","1","23","","13","0","0","13","7873","7416","894","342","124"
"anonym-amalie-und-charlotte-baronessen-von-habenichts","ger000639","Q121592940","(Anonym)","0","Amalie und Charlotte Baronessen von Habenichts: oder die ungleichen Schwestern","Ein deutsches Lustspiel von einer Handlung","Comedy","https://haab-digital.klassik-stiftung.de/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10003508625","Friedrich Lankischens Erben","Frankfurt und Leipzig","1754","45","1754","11","false","0.767027417027417","0.5636363636363636","1.4363636363636363","amalie","5.636363636363637","2","","","1754","10","11","4","7","0","0","1","31","","21","0","0","21","8573","8336","480","252","7"
"anonym-das-ehrenmaal-des-patrioten","ger000642","Q121699218","(Anonym)","0","Das Ehrenmaal des Patrioten","Singspiel","","https://books.google.com/books?id=6A5SAAAAcAAJ&printsec=frontcover","","München","1774","12","1774","6","false","1","1","1","several characters","5","1","1774-09-05","1774","1774","5","6","0","2","4","2","1","15","","1","0","0","1","1191","986","9","0","182"
"anonym-das-lustlager","ger000631","Q120648353","(Anonym)","0","Das Lustlager","Schauspiel in einer Handlung","","https://books.google.com/books?id=71RZAAAAcAAJ&printsec=frontcover","","Frankfurt und Leipzig","1778","62","1778","11","false","0.8685425685425685","0.7818181818181819","1.2181818181818183","rittmeister|friedrich_friederich","7.818181818181818","2","","","1778","10","11","4","7","0","0","1","43","","17","0","0","17","5395","5249","73","367","0"
"anonym-das-muenchner-spiel-vom-sterbenden-menschen","ger000698","Q125345502","(Anonym)","0","Das Münchner Spiel vom sterbenden Menschen","","","http://www.textgridrep.org/textgrid:jnhn.0","Hiersemann","Leipzig","1927","61","1510","31","false","1","1","1","several characters","30","1","","","1510","30","31","1","19","12","9","1","465","","1","0","0","1","15681","15072","1128","0","1848"
"anonym-das-urtheil-des-paris","ger000624","Q119779327","(Anonym)","0","Das Urtheil des Paris","Ein Musicalisches Schäfer-Spiel in einer Handlung","","https://de.wikisource.org/wiki/Das_Urtheil_des_Paris","Haude und Spener","Berlin","1752","37","1752","6","false","1","1","1","several characters","5","1","","","1752","5","6","3","3","0","0","1","15","","6","0","0","6","1969","1454","107","0","228"
"anonym-der-berliner-kuckkastenmann","ger000737","Q135336374","(Anonym)","0","Der Berliner Kuckkastenmann","Scherzhafte Posse in einem Act. Herausgegeben von einem Berliner","Comedy","https://resolver.staatsbibliothek-berlin.de/SBB00038B7600000000","Fürst","Nordhausen","1836","22","1836","3","false","1","1","1","kuckkastenmann|erster_strassenjunge|zweiter_strassenjunge","2","1","","","1836","2","3","0","3","0","0","1","3","","2","0","0","2","3489","3443","107","93","0"
"anonym-der-deutsche-student","ger000588","Q112943724","(Anonym)","0","Der deutsche Student","Ein Trauerspiel in fünf Aufzügen","Tragedy","https://books.google.com/books?id=F7XPW3ReAeIC&printsec=frontcover","Lemke","Lüneburg","1779","48","1779","20","false","0.6426862026862027","0.17894736842105263","1.9155844155844155","waker","3.4","3","","","1779","14","20","3","17","0","1","2","34","","25","0","5","25","5452","5182","310","190","7"
"anonym-der-gerettete-selbstmoerder","ger000748","Q136402563","(Anonym)","0","Der Gerettete Selbstmörder","Ein Schauspiel einem Aufzuge","","https://books.google.com/books?id=k1JZAAAAcAAJ&printsec=frontcover","Buchhandlung der Gelehrten","Dessau und Leipzig","1783","48","1783","8","false","0.7821428571428571","0.6428571428571429","1.3571428571428572","jacob","4.5","2","","","1783","7","8","2","6","0","0","1","18","","11","0","0","11","7939","7781","915","166","0"
"anonym-der-von-der-liebe-betrogene-philosoph","ger000682","Q124791412","(Anonym)","0","Der von der Liebe betrogene Philosoph","Ein Lustspiel von einem Aufzuge aus dem Französischen des Herrn Saintfoix übersezt","Comedy","https://books.google.com/books?id=EBtaAAAAcAAJ&printsec=frontcover","Monath","Frankfurt und Leipzig","1750","40","1750","6","false","1","1","1","several characters","5","1","","","1750","5","6","3","3","0","0","1","15","","21","0","0","21","8264","7962","527","258","12"
"anonym-die-gedruckten-theater-regeln","ger000663","Q124042831","(Anonym)","0","Die gedruckten Theater-Regeln, oder: Welcher Stand ist beßer?","Ein höchst nöthiger Versuch in einem Aufzuge von ***","","https://books.google.com/books?id=hgYRSaGmi1EC&printsec=frontcover","","","1779","51","1779","8","false","0.7773809523809525","0.7142857142857143","1.2857142857142858","sternfreund","5","2","","","1779","7","8","2","6","0","0","1","20","","13","0","0","13","6991","6682","136","177","0"
"anonym-die-gespenster","ger000640","Q121599107","(Anonym)","0","Die Gespenster","Funfzehntes Sprüchwort","","https://books.google.com/books?id=Ob1CAQAAMAAJ&pg=PA187","Himburg","Berlin","1775","18","1770","4","false","1","1","1","several characters","3","1","","","1770","3","4","1","3","0","0","1","6","","9","0","0","9","2956","2807","150","86","0"
"anonym-die-glueckliche-ueberschwemmung","ger000773","Q140032758","(Anonym)","0","Die glückliche Ueberschwemmung","Ein ländliches Schauspiel in einem Aufzuge","","https://books.google.com/books?id=ZumtSnlN66YC&printsec=frontcover","Kummer","Leipzig","1799","60","1799","7","false","1","1","1","several characters","6","1","","","1799","6","7","2","5","0","0","1","21","","14","0","0","14","7645","7454","568","126","0"
"anonym-die-grands-von-frankreich-in-ihrer-wahren-gestalt","ger000667","Q124262137","(Anonym)","0","Die Grands von Frankreich in ihrer wahren Gestalt","Ein Banditenspiel in einem Act","","https://books.google.com/books?id=AO5YAAAAcAAJ&pg=PA1","Basse","Quedlinburg","1814","38","1814","18","false","0.7670958670958671","0.35294117647058826","1.7973856209150327","ein_chor_hinter_der_buehne","6","4","","","1814","14","18","1","17","0","2","1","54","","6","0","0","6","2524","2427","356","0","283"
"anonym-die-mainzer-illuminaten","ger000744","Q136277191","(Anonym)","0","Die mainzer Illuminaten","Ein tragi-komisches Schauspiel in hundert Aufzügen","","https://doi.org/10.3931/e-rara-26090","","","1793","16","1793","42","false","0.5873015873015872","0.11962833914053426","1.0810810810810811","several characters","4.904761904761905","3","","","1793","12","42","10","32","0","6","11","103","","22","0","4","22","14724","14437","631","289","0"
