name,prologue,acts,scenes,all_acts_have_scenes,configurations,locations
anonym-der-deutsche-student,False,True,True,True,False,False
ayrer-comedia-von-zweyen-bruedern-auss-syracusa,True,True,False,False,False,False
beer-struensee,False,True,True,True,False,False
bleibtreu-ein-faust-der-that,False,True,False,False,False,False
bleibtreu-weltgericht,False,True,True,False,False,False
brachvogel-narziss,False,True,True,True,False,False
brandes-hans-von-zanow-oder-der-landjunker-in-berlin,False,True,True,True,False,False
braun-von-braunthal-faust,False,True,True,True,False,False
braun-mutter-maria,False,True,False,False,False,False
brawe-brutus,False,True,True,True,False,False
brawe-der-freygeist,False,True,True,True,False,False
bredow-goerne-hypatia,True,True,True,True,False,False
breithaupt-der-renegat,False,True,True,True,False,False
brentano-ponce-de-leon,False,True,True,True,False,False
collin-balboa,False,True,True,True,False,False
collin-coriolan,False,True,True,True,False,False
cronegk-codrus,False,True,True,True,False,False
cronegk-der-misstrauische,False,True,True,True,False,False
dehmel-michel-michael,True,True,False,False,False,False
eichendorff-der-letzte-held-von-marienburg,False,True,True,True,False,False
engel-eid-und-pflicht,False,True,True,True,False,False
essig-der-frauenmut,False,True,False,False,False,False
essig-ueberteufel,False,True,False,False,False,False
goethe-clavigo,False,True,False,False,False,False
goethe-der-grosskophta,False,True,True,True,False,False
goethe-die-natuerliche-tochter,False,True,True,True,False,False
goethe-egmont,False,True,True,True,False,False
goethe-faust-der-tragoedie-zweiter-teil,False,True,True,True,False,False
gotter-die-erbschleicher,False,True,True,True,False,False
gottsched-der-sterbende-cato,False,True,True,True,False,False
gottschedin-das-testament,False,True,True,True,False,False
gottschedin-die-pietisterey-im-fischbein-rocke,False,True,True,True,False,False
grabbe-herzog-theodor-von-gothland,False,True,True,True,False,False
grabbe-kaiser-friedrich-barbarossa,False,True,True,True,False,False
grabbe-kaiser-heinrich-der-sechste,False,True,True,True,False,False
grillparzer-des-meeres-und-der-liebe-wellen,False,True,False,False,False,False
grillparzer-die-ahnfrau,False,True,False,False,False,False
grillparzer-die-juedin-von-toledo,False,True,False,False,False,False
grillparzer-ein-bruderzwist-in-habsburg,False,True,False,False,False,True
grillparzer-ein-treuer-diener-seines-herrn,False,True,False,False,False,False
grillparzer-koenig-ottokars-glueck-und-ende,False,True,False,False,False,False
grillparzer-libussa,False,True,False,False,False,True
grillparzer-medea,False,True,False,False,False,True
grillparzer-sappho,False,True,True,True,False,False
grillparzer-weh-dem-der-luegt,False,True,False,False,False,False
gryphius-cardenio-und-celinde,False,True,False,False,False,False
gryphius-carolus-stuardus,False,True,False,False,True,False
gryphius-catharina-von-georgien,False,True,False,False,True,False
gryphius-horribilicribrifax-teutsch,False,True,False,False,True,False
gryphius-leo-armenius-oder-fuersten-mord,False,True,True,True,False,False
gryphius-papinianus,False,True,False,False,True,False
gutzkow-das-urbild-des-tartueffe,False,True,True,True,False,False
gutzkow-richard-savage,False,True,True,True,False,False
gutzkow-uriel-acosta,False,True,True,True,False,False
gutzkow-zopf-und-schwert,False,True,True,True,False,False
hallmann-mariamne,False,True,False,False,False,True
hartleben-rosenmontag,False,True,True,True,False,False
hauptmann-carl-tobias-buntschuh,False,True,True,True,False,False
hauptmann-florian-geyer,True,True,False,False,False,False
hebbel-agnes-bernauer,False,True,True,True,False,False
hebbel-der-diamant,True,True,True,True,False,False
hebbel-genoveva,False,True,True,True,False,False
hebbel-gyges-und-sein-ring,False,True,False,False,False,False
hebbel-herodes-und-mariamne,False,True,True,True,False,False
hebbel-judith,False,True,False,False,False,True
hebbel-kriemhilds-rache,False,True,True,True,False,False
hebbel-siegfrieds-tod,False,True,True,True,False,False
heiseler-die-kinder-godunofs,False,True,False,False,False,False
heiseler-peter-und-alexej,False,True,False,False,False,False
heyse-don-juans-ende,False,True,True,True,False,False
hofmannsthal-der-turm,False,True,True,False,False,False
hofmannsthal-der-unbestechliche,False,True,True,True,False,False
holz-ignorabimus,False,True,False,False,False,False
holz-sonnenfinsternis,False,True,False,False,False,False
holz-sozialaristokraten,False,True,False,False,False,False
iffland-das-gewissen,False,True,True,True,False,False
iffland-figaro-in-deutschland,False,True,True,True,False,False
immermann-andreas-hofer,False,True,True,True,False,False
immermann-das-gericht-von-st-petersburg,False,True,True,True,False,False
kleist-die-familie-schroffenstein,False,True,True,True,False,False
klingemann-faust,False,True,True,True,False,False
klinger-das-leidende-weib,False,True,True,True,False,False
klinger-die-zwillinge,False,True,True,True,False,False
kotzebue-der-wirrwarr,False,True,True,True,False,False
kotzebue-die-spanier-in-peru,False,True,True,True,False,False
kotzebue-pagenstreiche,False,True,True,True,False,False
kraus-die-letzten-tage-der-menschheit,True,True,True,True,False,False
krueger-die-candidaten,False,True,True,True,False,False
koerner-zriny,False,True,True,True,False,False
lasker-schueler-ichundich,True,True,False,False,False,False
lassalle-franz-von-sickingen,False,True,True,True,False,False
laube-gottsched-und-gellert,False,True,True,True,False,False
laube-monaldeschi,True,True,True,True,False,False
laube-struensee,False,True,True,True,False,False
leisewitz-julius-von-tarent,False,True,True,True,False,False
lenz-der-hofmeister,False,True,True,True,False,False
lenz-der-neue-menoza,False,True,True,True,False,False
lenz-die-freunde-machen-den-philosophen,False,True,True,True,False,False
lessing-der-freigeist,False,True,True,True,False,False
lessing-emilia-galotti,False,True,True,True,False,False
lessing-minna-von-barnhelm,False,True,True,True,False,False
lessing-miss-sara-sampson,False,True,True,True,False,False
linhart-miss-jenny-love,False,True,True,True,False,False
ludwig-der-erbfoerster,False,True,True,True,False,False
ludwig-die-makkabaeer,False,True,False,False,False,True
moeller-der-graf-von-walltron-oder-die-subordination,False,True,True,True,False,False
muellner-koenig-yngurd,False,True,True,True,False,False
neuber-das-schaeferfest,False,True,True,True,False,False
panizza-das-liebeskonzil,False,True,True,True,False,False
panizza-nero,False,True,True,False,False,False
pfeil-lucie-woodvil,False,True,True,True,False,False
platen-der-romantische-oedipus,False,True,False,False,False,False
platen-die-verhaengnisvolle-gabel,False,True,False,False,False,False
pollinger-antonio-del-bassanio,False,True,True,True,False,False
quistorp-der-hypochondrist,False,True,True,True,False,False
reitzenstein-die-negersclaven,False,True,True,True,False,False
sachs-ein-comedi-von-dem-reichen-sterbenden-menschen-der-hecastus-genannt,False,True,False,False,False,False
scheerbart-es-lebe-europa,False,True,False,False,False,False
scheerbart-herr-kammerdiener-kneetschke,False,True,False,False,False,False
scheerbart-okurirasuna,False,True,False,False,False,False
schiller-die-jungfrau-von-orleans,True,True,True,True,False,False
schiller-die-verschwoerung-des-fiesco-zu-genua,False,True,True,True,False,False
schiller-kabale-und-liebe,False,True,True,True,False,False
schiller-maria-stuart,False,True,True,True,False,False
schiller-wallensteins-tod,False,True,True,True,False,False
schlegel-dueval-und-charmille,False,True,True,True,False,False
schlegel-canut,False,True,True,True,False,False
schlegel-der-geschaeftige-muessiggaenger,False,True,True,True,False,False
schlegel-der-triumph-der-guten-frauen,False,True,True,True,False,False
schnitzler-professor-bernhardi,False,True,False,False,False,False
schuecking-elisabeth,False,True,True,True,False,False
seume-miltiades,False,True,True,True,False,False
steltzer-franziska-montenegro,False,True,True,True,False,False
sturz-julie,False,True,True,True,False,False
sudermann-der-bettler-von-syrakus,True,True,True,True,False,False
thon-adelheit-von-rastenberg,False,True,True,True,False,False
tieck-karl-von-berneck,False,True,False,False,False,True
toerring-agnes-bernauerin,False,True,True,True,False,False
uhland-ernst-herzog-von-schwaben,False,True,True,False,False,False
voss-faust,False,True,True,True,False,False
weise-masaniello,True,True,True,True,False,False
weissenthurn-das-manuscript,False,True,True,True,False,False
weissenthurn-welche-ist-die-braut,False,True,True,True,False,False
wezel-der-graf-von-wickham,False,True,True,True,False,False
wieland-lady-johanna-gray,False,True,True,True,False,False
wilbrandt-gracchus-der-volkstribun,False,True,True,True,False,False
wildgans-armut,False,True,False,False,False,False
wildgans-dies-irae,False,True,False,False,False,False
d-arien-natur-und-liebe-im-streit,False,True,True,True,False,False
