title,title_pretty,genre,acts_1_density,acts_1_diameter,acts_1_average_clustering,acts_1-2_density,acts_1-2_diameter,acts_1-2_average_clustering,acts_1-2-3_density,acts_1-2-3_diameter,acts_1-2-3_average_clustering,acts_1-2-3-4_density,acts_1-2-3-4_diameter,acts_1-2-3-4_average_clustering,acts_1-2-3-4-5_density,acts_1-2-3-4-5_diameter,acts_1-2-3-4-5_average_clustering
anonym-der-deutsche-student,Der deutsche Student,Tragedy,0.23809523809523808,3,0.0,0.32727272727272727,3,0.6028138528138528,0.3333333333333333,3,0.6961538461538462,0.22058823529411764,3,0.6437314319667261,0.17894736842105263,3,0.6426862026862027
ayrer-comedia-von-zweyen-bruedern-auss-syracusa,Comedia von zweyen Brüdern auss Syracusa,Comedy,1.0,1,1.0,0.5636363636363636,2,0.9515151515151515,0.5047619047619047,2,0.9085714285714286,0.5047619047619047,2,0.9085714285714286,0.5047619047619047,2,0.9085714285714286
beer-struensee,Struensee,Tragedy,0.26666666666666666,3,0.6916666666666667,0.16995073891625614,4,0.7543290043290043,0.1378048780487805,4,0.7781351439888026,0.12996632996632998,5,0.831303328281938,0.12280701754385964,5,0.8183610716648031
bleibtreu-ein-faust-der-that,Ein Faust der That,Tragedy,1.0,1,1.0,0.5882352941176471,2,0.948529411764706,0.8245614035087719,2,0.9380804953560372,0.8596491228070176,2,0.933952528379773,0.8300395256916996,2,0.9106144225945006
bleibtreu-weltgericht,Weltgericht,Tragedy,1.0,1,1.0,0.8947368421052632,2,0.9504643962848297,0.7922077922077922,2,0.906986718132229,0.5340909090909091,2,0.901882988345587,0.4914965986394558,2,0.9110344058518144
brachvogel-narziss,Narziß,Tragedy,0.9636363636363636,2,0.9676767676767678,0.5619047619047619,4,0.8237037037037037,0.43874643874643876,4,0.9167042833709501,0.39770114942528734,3,0.893019042149477,0.39663865546218485,3,0.8587271120532087
brandes-hans-von-zanow-oder-der-landjunker-in-berlin,Hans von Zanow oder: Der Landjunker in Berlin,Comedy,0.7142857142857143,2,0.8607142857142858,0.44871794871794873,2,0.8335830835830836,0.47435897435897434,2,0.8159507159507159,0.4857142857142857,2,0.7892918192918192,0.45588235294117646,2,0.7899159663865546
braun-von-braunthal-faust,Faust,Tragedy,0.5294117647058824,2,0.9133735545500251,0.38768115942028986,2,0.9224358974358974,0.32019704433497537,2,0.8810046275563517,0.24033613445378152,3,0.8811966838017259,0.23809523809523808,4,0.8225994684328017
braun-mutter-maria,Mutter Maria,Tragedy,1.0,1,1.0,1.0,1,1.0,0.6632747456059205,2,0.9476205159831432,0.5403361344537815,2,0.9334807161259495,0.4908424908424908,2,0.9291539427932353
brawe-brutus,Brutus,Tragedy,0.6666666666666666,2,0.5833333333333334,0.6,2,0.6,0.6,2,0.6,0.6666666666666666,2,0.6388888888888888,0.6190476190476191,2,0.7095238095238096
brawe-der-freygeist,Der Freygeist,Tragedy,0.5,3,0.0,0.4,3,0.16666666666666666,0.4666666666666667,3,0.38888888888888884,0.4666666666666667,3,0.38888888888888884,0.4666666666666667,3,0.38888888888888884
bredow-goerne-hypatia,Hypatia,Tragedy,0.32142857142857145,2,0.5,0.3181818181818182,3,0.6091269841269841,0.23529411764705882,4,0.7710550887021475,0.23529411764705882,4,0.7313251563251563,0.2833333333333333,4,0.7917204120269136
breithaupt-der-renegat,Der Renegat,Tragedy,0.6666666666666666,2,0.5833333333333334,0.4666666666666667,3,0.611111111111111,0.5238095238095238,3,0.5238095238095238,0.6190476190476191,3,0.780952380952381,0.6190476190476191,3,0.780952380952381
brentano-ponce-de-leon,Ponce de Leon,Comedy,0.44871794871794873,3,0.842002442002442,0.34558823529411764,4,0.7642210730446024,0.23333333333333334,4,0.7068318348318349,0.23076923076923078,4,0.7304288826132651,0.23123123123123124,4,0.7644662259751773
collin-balboa,Balboa,Tragedy,0.6428571428571429,3,0.725,0.6,2,0.7685714285714286,0.3619047619047619,3,0.7092544492544491,0.37142857142857144,3,0.7004665704665705,0.37142857142857144,3,0.7004665704665705
collin-coriolan,Coriolan,Tragedy,1.0,1,1.0,0.5303030303030303,2,0.9163239538239538,0.45714285714285713,2,0.7929603729603729,0.425,2,0.7598304473304474,0.425,2,0.7598304473304474
cronegk-codrus,Codrus,Tragedy,0.42857142857142855,3,0.619047619047619,0.5238095238095238,3,0.819047619047619,0.4722222222222222,3,0.783068783068783,0.5555555555555556,3,0.8154761904761905,0.6,3,0.8176190476190476
cronegk-der-misstrauische,Der Mißtrauische,Comedy,0.8,2,0.9,0.8095238095238095,2,0.8666666666666666,0.9047619047619048,2,0.8857142857142858,1.0,1,1.0,1.0,1,1.0
dehmel-michel-michael,Michel Michael,Comedy,1.0,1,1.0,1.0,1,1.0,0.8707692307692307,2,0.9299999999999999,0.7540106951871658,2,0.8946869143927968,0.7540106951871658,2,0.8946869143927968
eichendorff-der-letzte-held-von-marienburg,Der letzte Held von Marienburg,Tragedy,0.6339869281045751,1,1.0,0.42045454545454547,2,0.8863593660036347,0.3525641025641026,4,0.847243117961645,0.2627450980392157,4,0.8349654218302873,0.26262626262626265,3,0.8261051701693763
engel-eid-und-pflicht,Eid und Pflicht,Tragedy,0.6,2,0.6,0.6,2,0.6777777777777777,0.5,3,0.6833333333333333,0.4727272727272727,3,0.8181818181818182,0.509090909090909,3,0.8042568542568542
essig-der-frauenmut,Der Frauenmut,Comedy,1.0,1,1.0,0.7777777777777778,2,0.9047619047619047,0.8529411764705882,2,0.9509803921568628,0.7192982456140351,2,0.9301341589267286,0.5935828877005348,2,0.9197996359024954
essig-ueberteufel,Überteufel,Tragedy,1.0,1,1.0,1.0,1,1.0,0.9777777777777777,2,0.9777777777777779,0.8954248366013072,2,0.9477124183006536,0.8421052631578947,2,0.9216471995496762
goethe-clavigo,Clavigo,Tragedy,1.0,1,1.0,0.7777777777777778,2,0.9047619047619047,0.7777777777777778,2,0.9047619047619047,0.7777777777777778,2,0.9047619047619047,0.8444444444444444,2,0.9059523809523811
goethe-der-grosskophta,Der Großkophta,Comedy,0.5384615384615384,3,0.8056277056277057,0.40522875816993464,3,0.7513024013024013,0.25333333333333335,3,0.7992396035337213,0.23692307692307693,3,0.7575106077934132,0.21975806451612903,3,0.815043963658031
goethe-die-natuerliche-tochter,Die natürliche Tochter,Tragedy,1.0,1,1.0,0.5333333333333333,3,0.5833333333333334,0.5238095238095238,2,0.6047619047619047,0.4642857142857143,3,0.6833333333333333,0.32727272727272727,3,0.6588744588744588
goethe-egmont,Egmont,Tragedy,0.3111111111111111,1,0.8,0.43304843304843305,3,0.8986864401381085,0.43874643874643876,4,0.8684860298895387,0.35268817204301073,4,0.879702763219409,0.3655913978494624,3,0.8598487080666769
