title,title_pretty,genre,kept_characters,character_count,removed_characters,removed_characters_count,whole_density,whole_diameter,whole_average_clustering,wo1_density,wo1_diameter,wo1_average_clustering,wo2_density,wo2_diameter,wo2_average_clustering,wo3_density,wo3_diameter,wo3_average_clustering,wo4_density,wo4_diameter,wo4_average_clustering,wo5_density,wo5_diameter,wo5_average_clustering
anonym-der-deutsche-student,Der deutsche Student,Tragedy,"#hauptmann, #werber, #waker, #unterofficier, #waker_vater, #bellmann, #suessling, #rambold, #prorector, #christine, #schnurren, #list, #velten, #peruquier, #frau_wakern, #waescherin, #puf, #jude, #michel, #goerge",20,,,0.17894736842105263,3,0.6426862026862027,0.225,3,0.6256899350649351,0.16993464052287582,3,0.5778619528619529,0.25,3,0.6813131313131313,0.22058823529411764,3,0.6437314319667261,0.17894736842105263,3,0.6426862026862027
ayrer-comedia-von-zweyen-bruedern-auss-syracusa,Comedia von zweyen Brüdern auss Syracusa,Comedy,"#servus, #jahn_panser, #hospes, #thasa, #ancilla, #medicus, #socerus, #cellarius, #enucleus, #peniculus, #dieterich, #patronus, #leonora, #cocleus, #phileman",15,,,0.5047619047619047,2,0.9085714285714286,0.5384615384615384,2,0.9250749250749251,0.5636363636363636,2,0.9515151515151515,0.5047619047619047,2,0.9085714285714286,0.5047619047619047,2,0.9085714285714286,0.5047619047619047,2,0.9085714285714286
beer-struensee,Struensee,Tragedy,"#keith, #fuerst, #erster_diener_1-1, #zweiter_diener_1-1, #ranzau, #ein_officier_3-13b, #damen, #graefin_reez, #brandt, #juliane, #kammerdiener_2-18, #guldberg, #schulmeister, #johannes, #alle_3-5, #erster_diener_3-5, #koeller, #graf_struensee, #babe, #flyns, #ein_kammerherr_4-2, #hooge, #pfarrer_struensee, #alle_4-1, #zweiter_diener_3-5, #schack, #dritter_diener_3-5, #haushofmeister, #mathilde, #die_diener_1-1, #alle_bauern, #wirthin, #officier_3-13a, #svenne, #officier_5-6_bis_8, #conrad, #andreas, #detlev, #vierter_diener_1-1, #stimmen_der_soldaten, #polizei-chef, #alle_officiere_3-13, #ein_kammerherr_3-10, #page_2-19, #ein_kammerdiener_1-10, #dritter_diener_1-1, #diener_2-18, #diener_1-5, #page_4-5, #maske, #mehrere_masken, #graefin_uhlfeld, #emmy, #page_1-3, #hauptmann, #kerkermeister, #diener_1-6",57,,,0.12280701754385964,5,0.8183610716648031,0.13411764705882354,5,0.8124113903525668,0.1468599033816425,5,0.8000493467884773,0.12956810631229235,4,0.7851470880540647,0.12996632996632998,5,0.831303328281938,0.12280701754385964,5,0.8183610716648031
bleibtreu-ein-faust-der-that,Ein Faust der That,Tragedy,"#prynne, #graves, #sidney, #geschrei, #milton, #karl, #ludlow, #harrison, #bradshaw, #joyce, #ireton, #lindsay, #fairfax, #montague, #hammond, #cromwell, #berkley, #die_soldaten, #coke, #richmond, #stimme_des_henkers, #lilburn, #manchester",23,,,0.8300395256916996,2,0.9106144225945006,0.8300395256916996,2,0.9106144225945006,0.766798418972332,2,0.8961380093261908,0.8142292490118577,2,0.9121874087683753,0.8596491228070176,2,0.933952528379773,0.8300395256916996,2,0.9106144225945006
bleibtreu-weltgericht,Weltgericht,Tragedy,"#ein_anderer_5g, #bonaparte, #junot, #josefine, #barras, #eine_stimme_5i, #eine_andere_stimme_5b, #talleyrand, #henriot, #redakteur, #biron, #theroigne, #gaparins_stimme, #ein_ordonnanzoffizier, #duroc, #menou, #talma, #eine_stimme_5a, #alle-die-gaeste_4, #alle-stimmen-geschrei_1, #danton, #stimme_draussen_1, #carnot, #madame_tallien, #ein_dritter_5h, #st_just, #eine_stimme_5j, #murat, #der_betrunkene, #anderer_5e, #condorcet, #marat, #sanskulott, #frau_roland, #eine_dritte_5l, #stimme_5d, #rufe-stimmen-viele-alle_5, #eine_stimme_5f, #eine_laute_stimme, #lenchen, #theos, #die_dame, #stimme_1, #collot, #andre_stimme_1, #eine_stimme_5c, #marie, #hoche, #eine_andere_5k",49,,,0.4914965986394558,2,0.9110344058518144,0.500886524822695,2,0.919085322535676,0.509713228492137,2,0.9298417270860335,0.5178743961352656,2,0.9242073780637298,0.5340909090909091,2,0.901882988345587,0.4914965986394558,2,0.9110344058518144
brachvogel-narziss,Narziß,Tragedy,"#drei_hofdamen, #maupeou, #holbach, #narziss, #zweiter_kavalier, #boufflers, #lambert, #diderot, #pompadour, #choiseul, #ein_kavalier, #epinay, #quinault, #silhouette, #zwei_kammerdiener, #dubarry, #barjac, #terray, #grimm, #diener_4-1_und_4-2, #conti, #erster_page, #diener_1-7, #eine_dame, #sechs_hofdamen, #erster_kavalier, #zwei_gardisten, #wache, #lakai, #stimme_gardist, #gesellschaft_alle_die_anderen, #zweiter_page, #koenigin, #stimme_posten, #colette",35,,,0.39663865546218485,3,0.8587271120532087,0.41711229946524064,3,0.8564939069766534,0.3978494623655914,3,0.8859991326404989,0.4415322580645161,3,0.8639971720236771,0.39770114942528734,3,0.893019042149477,0.39663865546218485,3,0.8587271120532087
brandes-hans-von-zanow-oder-der-landjunker-in-berlin,Hans von Zanow oder: Der Landjunker in Berlin,Comedy,"#johann, #wilhelmine, #graf, #hans, #lieschen, #baron, #guerge, #frau_muellern, #aufwaerter, #fritz_fritze, #graefin, #wutzkofius, #koerner, #jude, #chevalier, #renner, #soldat",17,,,0.45588235294117646,2,0.7899159663865546,0.44166666666666665,2,0.8064484126984127,0.4485294117647059,2,0.7974323062558357,0.47619047619047616,2,0.808986568986569,0.4857142857142857,2,0.7892918192918192,0.45588235294117646,2,0.7899159663865546
braun-von-braunthal-faust,Faust,Tragedy,"#wagner, #kern, #die_diener, #die_herren, #nase, #murrner, #appeau, #le_doigt, #faust, #juanito, #rosa, #wirth, #die_buerger_1-2, #die_zofen, #mephistopheles, #die_damen, #bianca, #der_kaiser, #alle_maskenball, #robert, #crabe, #eine_stimme_aus_der_hoehe, #zunder, #dujour, #studenten, #zwitsch, #unsichtbarer_chor, #fausts_vater, #annchen, #chor_der_moenche, #weinhold, #eine_stimme_aus_der_tiefe, #die_buerger_1-5, #cosmo, #anselmo, #schatten",36,,,0.23809523809523808,4,0.8225994684328017,0.25806451612903225,4,0.7999643198884185,0.2731182795698925,4,0.8295719987370841,0.26325757575757575,4,0.7840481687371639,0.24033613445378152,3,0.8811966838017259,0.23809523809523808,4,0.8225994684328017
braun-mutter-maria,Mutter Maria,Tragedy,"#cesare, #ein_maedchen_4b, #ein_zweiter_4f, #ein_mann_4c, #ein_zweiter_4a, #ein_mann_4g, #ein_mann_4i, #eine_zweite_frau_4b, #giuseppe, #filiberta, #eine_frau_4b, #bibbiena, #ein_vierter_4a, #lucrezia, #ein_alter_diener, #ein_dritter_4f, #pietro, #ein_gast_3a, #eine_alte_dienerin, #ein_dritter_4b, #ein_junges_maedchen, #der_diener_3b, #eine_frau_4a, #ein_junger_mann_4b, #die_moenche, #ein_maedchen_4a, #ein_mann_4h, #ein_zweiter_4b, #eine_frau_4c, #eine_zweite_frau_4a, #eine_zweite_dienerin, #zwei_junge_maedchen, #fra_sebastiano, #ein_zweiter_mann_2, #ein_mann_4e, #das_kind, #ein_juengling_2b, #der_page, #ein_dritter_4a, #maria, #ein_zweiter_gast_3a, #lorenzo, #gasparo, #die_menge, #ein_zweiter_4g, #der_abt, #ein_mann_4a, #ein_dritter_4g, #ein_junger_mann_4f, #ein_alter_mann, #eine_andere_dame_3, #ein_dritter_gast_3, #ein_juengling_2c, #angelo, #dritter_soeldner, #ein_diener_3a, #ein_zweiter_gast_3b, #ein_junger_mann_4d, #ein_knabe, #eine_dritte_frau_4, #giuliano, #ein_dritter_mann_2, #ein_zweites_maedchen, #ein_zweiter_4d, #ein_page, #der_stadtknecht, #ein_andrer_mann, #sandro, #kreischende_weiberstimmen, #ein_vierter_4b, #ein_lahmer, #eine_dame_3b, #ein_maedchen_2, #viele_junge_leute, #ein_vierter_4g, #ein_gelehrter, #eine_dritte_dienerin, #eine_dienerin, #ein_zweiter_page, #ein_zweiter_juengling, #ein_mann_2a, #eine_dame_3a, #roberto, #ein_vierter_gast_3, #ein_altes_muetterchen, #ein_juengling_2a, #ein_mann_2b, #zweiter_soeldner, #vierter_soeldner, #erster_soeldner, #ein_gast_3b",91,,,0.4908424908424908,2,0.9291539427932353,0.5819620253164557,2,0.9423094542925045,0.6368530020703934,2,0.9496228930604924,0.5688329839273235,2,0.9193487445698911,0.5403361344537815,2,0.9334807161259495,0.4908424908424908,2,0.9291539427932353
brawe-brutus,Brutus,Tragedy,"#servilius, #der_tribun, #marcius, #brutus, #messala, #publius, #anton",7,,,0.6190476190476191,2,0.7095238095238096,0.5714285714285714,2,0.5571428571428572,0.6190476190476191,2,0.7095238095238096,0.6,2,0.7999999999999999,0.6666666666666666,2,0.6388888888888888,0.6190476190476191,2,0.7095238095238096
