title,title_pretty,genre,acts_1_density,acts_1_diameter,acts_1_average_clustering,acts_1-2_density,acts_1-2_diameter,acts_1-2_average_clustering,acts_1-2-3_density,acts_1-2-3_diameter,acts_1-2-3_average_clustering,acts_1-2-3-4_density,acts_1-2-3-4_diameter,acts_1-2-3-4_average_clustering,acts_1-2-3-4-5_density,acts_1-2-3-4-5_diameter,acts_1-2-3-4-5_average_clustering
a-midsummer-nights-dream,A Midsummer Night’s Dream,Comedy,0.46153846153846156,1,1.0,0.42105263157894735,2,0.9227272727272726,0.4492753623188406,4,0.8802277157540316,0.5978260869565217,3,0.8575165492831901,0.6833333333333333,2,0.8698697895634225
alls-well-that-ends-well,All’s Well That Ends Well,Comedy,0.4727272727272727,3,0.8820346320346321,0.49264705882352944,3,0.8474368768486416,0.33992094861660077,3,0.8404890685211052,0.2962962962962963,3,0.8212826491120265,0.335978835978836,3,0.8210885369360602
antony-and-cleopatra,Antony and Cleopatra,Tragedy,0.4117647058823529,2,0.9382975049641716,0.34236453201970446,4,0.8819135536250663,0.20930232558139536,4,0.8030212441600199,0.14375,4,0.8163725679912279,0.14735283228433912,4,0.8154578727081226
as-you-like-it,As You Like It,Comedy,0.6666666666666666,2,0.9166666666666666,0.3105263157894737,4,0.8109432234432233,0.2845849802371542,4,0.7757293431206476,0.30039525691699603,4,0.7740677197198936,0.291005291005291,4,0.7792977330792457
coriolanus,Coriolanus,Tragedy,0.27635327635327633,4,0.8178081782656946,0.2692307692307692,4,0.8100706513129113,0.26109936575052856,4,0.8103171887339754,0.19730639730639732,4,0.7603089870694711,0.16327453640886477,4,0.7967102632609581
cymbeline,Cymbeline,Tragedy,0.325,3,0.8692460317460318,0.48366013071895425,3,0.854954304954305,0.28307692307692306,3,0.8731311486401984,0.28078817733990147,3,0.8610252928097488,0.23780487804878048,3,0.8896406213479384
hamlet,Hamlet,Tragedy,0.6794871794871795,3,0.9067599067599067,0.5367647058823529,3,0.8451744334097275,0.5757575757575758,3,0.8628103406741178,0.3548387096774194,3,0.8579806584826146,0.3129445234708393,3,0.8572610250990879
henry-iv-part-1,"Henry IV, Part I",Tragedy,0.3888888888888889,2,0.8444444444444444,0.2923076923076923,3,0.857683342298727,0.2777777777777778,5,0.8197784358498644,0.22727272727272727,5,0.7859203086475813,0.23333333333333334,4,0.7951713400500809
henry-iv-part-2,"Henry IV, Part II",Tragedy,0.3333333333333333,2,0.9523809523809524,0.31216931216931215,2,0.9134753901560624,0.23123123123123124,2,0.862773731753406,0.21141649048625794,6,0.8759412983062013,0.20567375886524822,7,0.8416692054059854
henry-v,Henry V,Tragedy,1.0,1,1.0,0.30994152046783624,2,0.9325236167341431,0.20362903225806453,5,0.7712454212454213,0.1849894291754757,5,0.7730720984368392,0.19056429232192415,5,0.8199761970102732
henry-vi-part-1,"Henry VI, Part 1",Tragedy,0.27076923076923076,2,0.9391096083403775,0.18815331010452963,4,0.9230162076690162,0.21770682148040638,4,0.885321581288826,0.19871420222092342,3,0.8317064191665787,0.19098822324628775,3,0.8179372793578222
henry-vi-part-2,"Henry VI, Part 2",Tragedy,0.6761904761904762,2,0.9318439656564381,0.4218487394957983,2,0.8818619585602369,0.37564102564102564,3,0.8678552270069186,0.1896845694799659,4,0.8277432606437961,0.1905320813771518,4,0.8376425765792725
henry-vi-part-3,"Henry VI, Part 3",Tragedy,0.6617647058823529,3,0.9379444085326438,0.48616600790513836,3,0.8744517204875261,0.3247311827956989,3,0.8689925635246718,0.24242424242424243,4,0.8283996303516594,0.2304421768707483,4,0.8334123440596694
henry-viii,Henry VIII,Tragedy,0.475,2,0.9114583333333334,0.3076923076923077,3,0.8501381999748012,0.2709677419354839,3,0.8497703239978281,0.21904761904761905,5,0.8478601840005349,0.1961352657004831,5,0.8503819830229845
julius-caesar,Julius Caesar,Tragedy,0.41025641025641024,2,0.9450549450549451,0.4025974025974026,3,0.8278665778665779,0.3978494623655914,4,0.8783890983129798,0.2724252491694352,4,0.876130224908059,0.23686274509803923,4,0.8561205153044665
king-john,King John,Tragedy,1.0,1,1.0,0.7352941176470589,2,0.9294117647058824,0.6473684210526316,2,0.8952024291497975,0.49,3,0.8626873520132371,0.4074074074074074,3,0.8231571939930111
king-lear,King Lear,Tragedy,0.625,3,0.8900308025308026,0.6274509803921569,3,0.8560593727260394,0.5108225108225108,3,0.7943200070873868,0.38746438746438744,3,0.7492075014004839,0.39919354838709675,3,0.7876205285699329
loves-labors-lost,Love’s Labor’s Lost,Comedy,0.6666666666666666,2,0.9047619047619047,0.6,3,0.8846753246753247,0.6190476190476191,3,0.8697702297702298,0.5555555555555556,3,0.8408295408295409,0.8047619047619048,2,0.9138204989598178
macbeth,Macbeth,Tragedy,0.5128205128205128,3,0.8228327228327228,0.45751633986928103,3,0.8610059693393027,0.2953846153846154,4,0.7627226022766627,0.24420677361853832,3,0.8206139271136935,0.1797979797979798,3,0.8006458896760852
