title,title_pretty,genre,kept_characters,character_count,removed_characters,removed_characters_count,whole_density,whole_diameter,whole_average_clustering,wo1_density,wo1_diameter,wo1_average_clustering,wo2_density,wo2_diameter,wo2_average_clustering,wo3_density,wo3_diameter,wo3_average_clustering,wo4_density,wo4_diameter,wo4_average_clustering,wo5_density,wo5_diameter,wo5_average_clustering
a-midsummer-nights-dream,A Midsummer Night’s Dream,Comedy,"#Snout_MND, #Flute_MND, #FAIRIES.TITANIA.Peaseblossom_MND, #Lysander_MND, #Hippolyta_MND, #FAIRIES.TITANIA.Mustardseed_MND, #RobinGoodfellow_MND, #Hermia_MND, #Titania_MND, #FAIRIES.TITANIA.0.1_MND, #Helena_MND, #FAIRIES.TITANIA.1_MND, #Philostrate_MND, #Quince_MND, #Egeus_MND, #FAIRIES.TITANIA_MND, #Demetrius_MND, #Oberon_MND, #Snug_MND, #Starveling_MND, #Bottom_MND, #Theseus_MND, #FAIRIES.TITANIA.0.2_MND, #FAIRIES.TITANIA.Cobweb_MND, #FAIRIES.TITANIA.Mote_MND",25,,,0.6833333333333333,2,0.8698697895634225,0.6833333333333333,2,0.8698697895634225,0.8380952380952381,2,0.9041377954690647,0.6630434782608695,2,0.8814892890794762,0.5833333333333334,3,0.8514370079749,0.5978260869565217,3,0.8575165492831901
alls-well-that-ends-well,All’s Well That Ends Well,Comedy,"#LORDS.COURT.4_AWW, #King_AWW, #LORDS.COURT.2_AWW, #ATTENDANTS.KING.0.2_AWW, #Bertram_AWW, #GENTLEMEN.3_AWW, #Lafew_AWW, #Page_AWW, #Parolles_AWW, #ATTENDANTS.KING.0.1_AWW, #LORDS.DUMAINE.2_AWW, #SOLDIERS.Interpreter_AWW, #Countess_AWW, #GENTLEMEN.1_AWW, #LORDS.COURT.1_AWW, #Diana_AWW, #Fool_AWW, #LORDS.DUMAINE.1_AWW, #Mariana_AWW, #Helen_AWW, #LORDS.COURT.3_AWW, #SOLDIERS.0.1_AWW, #Widow_AWW, #SOLDIERS_AWW, #Servant_AWW, #Duke_AWW, #Steward_AWW, #GENTLEMEN.2_AWW",28,,,0.335978835978836,3,0.8210885369360602,0.36,3,0.7891560458540692,0.3442028985507246,3,0.8269759107994402,0.40942028985507245,3,0.829978015262458,0.40217391304347827,3,0.8282460526945821,0.2962962962962963,3,0.8212826491120265
antony-and-cleopatra,Antony and Cleopatra,Tragedy,"#ATTENDANTS.ANTONY_Ant, #Antony_JC, #Iras_Ant, #GUARDS.CAESAR.1_Ant, #Menas_Ant, #Agrippa_Ant, #Octavius_JC, #Taurus_Ant, #Ventidius_Ant, #Silius_Ant, #Alexas_Ant, #Mardian_Ant, #Enobarbus_Ant, #Octavia_Ant, #SOLDIERS.ANTONY.X.2_Ant, #CAPTAINS_Ant, #SERVANTS.0.1_Ant, #SERVANTS.0.2_Ant, #SOLDIERS.ANTONY.0.4_Ant, #SOLDIERS.ANTONY_Ant, #Diomedes_Ant, #GUARDS.0.2_Ant, #Maecenas_Ant, #MESSENGERS.CAESAR.2_Ant, #Eros_Ant, #Thidias_Ant, #MESSENGERS.ANTONY.3_Ant, #MESSENGERS.ANTONY.1_Ant, #Boy_Ant, #Lepidus_JC, #Pompey_Ant, #Charmian_Ant, #SOLDIERS.CAESAR.X.1_Ant, #Varrius_Ant, #MESSENGERS.X.4_Ant, #Canidius_Ant, #Cleopatra_Ant, #Dolabella_Ant, #GUARDS.CAESAR.0.1_Ant, #Soothsayer_Ant, #MESSENGERS.ANTONY.2_Ant, #MESSENGERS.X.1_Ant, #Demetrius_Ant, #SOLDIERS.ANTONY.X.1_Ant, #Seleucus_Ant, #Gallus_Ant, #Proculeius_Ant, #Ambassador_Ant, #Philo_Ant, #GUARDS.Dercetus_Ant, #SERVANTS.X.1_Ant, #SERVANTS.X.2_Ant, #GUARDS.CAESAR.0.2_Ant, #MESSENGERS.X.2_Ant, #ATTENDANTS.CAESAR_Ant, #SOLDIERS.ANTONY.X.3_Ant, #LADIES_Ant, #SOLDIERS.ANTONY.0.2_Ant, #SOLDIERS.ANTONY.0.1_Ant, #GUARDS.0.3_Ant, #SOLDIERS.ANTONY.0.3_Ant, #CAPTAINS.0.1_Ant, #Scarus_Ant, #MESSENGERS.X.5_Ant, #Countryman_Ant, #MESSENGERS.X.3_Ant, #MESSENGERS.CAESAR.1_Ant, #GUARDS.0.1_Ant, #WATCHMEN.Sentry_Ant, #WATCHMEN.1_Ant, #GUARDS_Ant, #SERVANTS_Ant, #Egyptian_Ant, #WATCHMEN.2_Ant",74,,,0.14735283228433912,4,0.8154578727081226,0.16363636363636364,4,0.8048380916910974,0.14837576821773485,4,0.8122345363069958,0.18138551031200423,4,0.8483715898550088,0.20754716981132076,4,0.8103556764420099,0.14375,4,0.8163725679912279
as-you-like-it,As You Like It,Comedy,"#Dennis_AYL, #Oliver_AYL, #Phoebe_AYL, #Jaques_AYL, #SecondBrother_AYL, #DukeSenior_AYL, #Audrey_AYL, #William_AYL, #Adam_AYL, #Charles_AYL, #Rosalind_AYL, #Celia_AYL, #Orlando_AYL, #DukeFrederick_AYL, #LORDS.SENIOR.Amiens_AYL, #Hymen_AYL, #Silvius_AYL, #Touchstone_AYL, #Corin_AYL, #LORDS.SENIOR.0.1_AYL, #OliverMartext_AYL, #LORDS.SENIOR.0.2_AYL, #LORDS.FREDERICK.LeBeau_AYL, #LORDS.FREDERICK.0.1_AYL, #LORDS.FREDERICK.0.2_AYL, #SERVANTS.2_AYL, #SERVANTS.1_AYL, #LORDS.SENIOR_AYL",28,,,0.291005291005291,4,0.7792977330792457,0.29333333333333333,5,0.7928502739090975,0.3333333333333333,3,0.8148246157437334,0.2934472934472934,4,0.7726594272345906,0.2857142857142857,4,0.7733772238499129,0.30039525691699603,4,0.7740677197198936
coriolanus,Coriolanus,Tragedy,"#LORDS.VOLSCIAN.0.3_Cor, #CONSPIRATORS_Cor, #MESSENGERS.X.2_Cor, #SOLDIERS.ROMAN_Cor, #MESSENGERS.X.4_Cor, #Coriolanus_Cor, #AEDILES_Cor, #Menenius_Cor, #CITIZENS.ROMAN_Cor, #TRIBUNES.Brutus_Cor, #SENATORS.ROMAN.0.1_Cor, #SENATORS.ROMAN.0.2_Cor, #CITIZENS.ROMAN.5_Cor, #CITIZENS.ROMAN.2_Cor, #OFFICERS.2_Cor, #Gentlewoman_Cor, #Valeria_Cor, #SENATORS.ROMAN_Cor, #Cominius_Cor, #CITIZENS.ROMAN.1_Cor, #CITIZENS.ROMAN.7_Cor, #TRIBUNES.Sicinius_Cor, #CITIZENS.ROMAN.0.3_Cor, #CITIZENS.ROMAN.0.1_Cor, #CITIZENS.ROMAN.0.2_Cor, #SOLDIERS.ROMAN.0.2_Cor, #AEDILES.X.2_Cor, #SENATORS.VOLSCIAN.0.1_Cor, #SENATORS.VOLSCIAN_Cor, #Virgilia_Cor, #CITIZENS.VOLSCIAN_Cor, #WATCHMEN.2_Cor, #Aufidius_Cor, #CONSPIRATORS.0.3_Cor, #CONSPIRATORS.0.2_Cor, #LORDS.VOLSCIAN.0.1_Cor, #Volumnia_Cor, #Lartius_Cor, #YoungMartius_Cor, #MESSENGERS.TRIBUNES.1_Cor, #MESSENGERS.TRIBUNES.2_Cor, #Herald_Cor, #CITIZENS.ROMAN.4_Cor, #CITIZENS.ROMAN.3_Cor, #OFFICERS.1_Cor, #CITIZENS.ROMAN.6_Cor, #SOLDIERS.ROMAN.0.1_Cor, #WATCHMEN.1_Cor, #LORDS.VOLSCIAN_Cor, #NOBLES.0.1_Cor, #AEDILES.X.3_Cor, #CONSPIRATORS.0.1_Cor, #MESSENGERS.X.3_Cor, #MESSENGERS.X.1_Cor, #LORDS.VOLSCIAN.0.2_Cor, #SENATORS.VOLSCIAN.0.2_Cor, #CITIZENS.ROMAN.8_Cor, #SOLDIERS.VOLSCIAN.Lieutenant_Cor, #SOLDIERS.ROMAN.Lieutenant_Cor, #SOLDIERS.ROMAN.0.3_Cor, #SERVANTS.3_Cor, #SERVANTS.2_Cor, #SERVANTS.1_Cor, #Adrian_Cor, #Nicanor_Cor, #SOLDIERS.VOLSCIAN.0.1_Cor, #CITIZENS.ANTIUM.1_Cor",67,,,0.16327453640886477,4,0.7967102632609581,0.21663172606568834,3,0.8255960605461532,0.17777777777777778,4,0.7679914857593019,0.16589861751152074,4,0.7940318395750688,0.19358741681790684,4,0.8459253440086411,0.19730639730639732,4,0.7603089870694711
cymbeline,Cymbeline,Tragedy,"#Pisanio_Cym, #Arviragus_Cym, #Posthumus_Cym, #LADIES.QUEEN.0.1_Cym, #Queen_Cym, #Iachimo_Cym, #Soothsayer_Cym, #Lucius_Cym, #Guiderius_Cym, #Jupiter_Cym, #GHOSTS.BROTHERS.1_Cym, #Cloten_Cym, #SOLDIERS.ROMAN.0.1_Cym, #Belarius_Cym, #Imogen_Cym, #ATTENDANTS.CLOTEN.2_Cym, #ATTENDANTS.0.1_Cym, #MESSENGERS.1_Cym, #Cymbeline_Cym, #ATTENDANTS.1_Cym, #GHOSTS.Mother_Cym, #JAILERS.1_Cym, #GHOSTS.Father_Cym, #MESSENGERS.2_Cym, #MUSICIANS_Cym, #Cornelius_Cym, #GHOSTS.BROTHERS.2_Cym, #SENATORS.2_Cym, #TRIBUNES.0.1_Cym, #ATTENDANTS.2_Cym, #ATTENDANTS.0.2_Cym, #ATTENDANTS.3_Cym, #SOLDIERS.BRITON.0.2_Cym, #LADIES.QUEEN_Cym, #JAILERS.2_Cym, #SOLDIERS.BRITON.0.1_Cym, #ATTENDANTS.CLOTEN.1_Cym, #Philario_Cym, #LADIES.IMOGEN_Cym, #SENATORS.1_Cym, #Frenchman_Cym",41,,,0.23780487804878048,3,0.8896406213479384,0.26426426426426425,3,0.8987557525314963,0.2213225371120108,4,0.8961300920537246,0.27927927927927926,3,0.8845592845592845,0.24561403508771928,3,0.9036857978828289,0.28078817733990147,3,0.8610252928097488
hamlet,Hamlet,Tragedy,"#Barnardo_Ham, #Horatio_Ham, #Gertrude_Ham, #Polonius_Ham, #Claudius_Ham, #Hamlet_Ham, #FOLLOWERS.LAERTES_Ham, #MESSENGERS.1_Ham, #Marcellus_Ham, #Fortinbras_Ham, #ATTENDANTS_Ham, #Voltemand_Ham, #Cornelius_Ham, #ATTENDANTS.GUARDS_Ham, #PLAYERS.Prologue_Ham, #PLAYERS.King_Ham, #Guildenstern_Ham, #PLAYERS.1_Ham, #Laertes_Ham, #MESSENGERS.2_Ham, #Doctor_Ham, #Francisco_Ham, #Reynaldo_Ham, #Rosencrantz_Ham, #Osric_Ham, #AMBASSADORS_Ham, #Ophelia_Ham, #ATTENDANTS.1_Ham, #PLAYERS.0.1_Ham, #Ghost_Ham, #PLAYERS.Lucianus_Ham, #SOLDIERS.FORTINBRAS.Captain_Ham, #GravediggersCompanion_Ham, #ATTENDANTS.2_Ham, #Gravedigger_Ham, #SAILORS.0.1_Ham, #ATTENDANTS.0.1_Ham, #PLAYERS.Queen_Ham",38,,,0.3129445234708393,3,0.8572610250990879,0.33511586452762926,3,0.8663681999149128,0.33174603174603173,3,0.864823071507423,0.3087121212121212,3,0.8402885725020113,0.43448275862068964,3,0.8565562570289093,0.3548387096774194,3,0.8579806584826146
henry-iv-part-1,"Henry IV, Part I",Tragedy,"#Sheriff_1H4, #DRAWERS.Francis_1H4, #Peto_1H4, #TRAVELERS.GENTLEMEN.0.1_1H4, #Gadshill_1H4, #TRAVELERS.CARRIERS_1H4, #Worcester_1H4, #HenryIV_1H4, #TRAVELERS.CARRIERS.X_1H4, #MistressQuickly_1H4, #Chamberlain_1H4, #TRAVELERS.CARRIERS.1_1H4, #MESSENGERS.2_1H4, #Douglas_1H4, #Bedford_H5, #Bardolph_1H4, #Hotspur_R2, #MESSENGERS.1_1H4, #Northumberland_R2, #Falstaff_1H4, #Vernon_1H4, #Blunt_1H4, #Westmoreland_1H4, #Ostler_1H4, #TRAVELERS.CARRIERS.2_1H4, #TRAVELERS.GENTLEMEN_1H4, #HenryV_H5, #MESSENGERS.X_1H4, #Poins_1H4, #Vintner_1H4, #SERVANTS.HOTSPUR.1_1H4, #LadyPercy_1H4, #Mortimer_1H4, #Glendower_1H4, #SirMichael_1H4, #Archbishop_1H4",36,,,0.23333333333333334,4,0.7951713400500809,0.24033613445378152,4,0.7971148776035993,0.3116883116883117,3,0.7428751803751804,0.24777183600713013,4,0.7976082826702021,0.26515151515151514,4,0.8578587104902894,0.22727272727272727,5,0.7859203086475813
henry-iv-part-2,"Henry IV, Part II",Tragedy,"#Bardolph_1H4, #Wart_2H4, #HenryV_H5, #Warwick_2H4, #Pistol_2H4, #Falstaff_1H4, #DRAWERS.1_2H4, #Poins_1H4, #Shallow_2H4, #Davy_2H4, #GROOMS.2_2H4, #GROOMS.1_2H4, #ChiefJustice_2H4, #DRAWERS.Francis_1H4, #OFFICERS.Snare_2H4, #MESSENGERS.Gower_2H4, #DRAWERS.X_2H4, #SERVANTS.FALSTAFF.1_2H4, #Feeble_2H4, #Mouldy_2H4, #Hastings_2H4, #Mowbray_2H4, #DollTearsheet_2H4, #MistressQuickly_1H4, #Gloucester_2H4, #HenryIV_1H4, #Bedford_H5, #LordBardolph_2H4, #Westmoreland_1H4, #Bullcalf_2H4, #MESSENGERS.1_2H4, #Silence_2H4, #BEADLES.0.1_2H4, #DRAWERS.Will_2H4, #Northumberland_R2, #LadyPercy_1H4, #OFFICERS.Fang_2H4, #Morton_2H4, #Shadow_2H4, #Colevile_2H4, #Archbishop_1H4, #Clarence_2H4, #Peto_1H4, #Porter_2H4, #Travers_2H4, #LadyNorthumberland_2H4, #SERVANTS.CHIEFJUSTICE.1_2H4, #Harcourt_2H4",48,,,0.20567375886524822,7,0.8416692054059854,0.23920265780730898,4,0.8658285467447296,0.2132132132132132,5,0.8463321331742384,0.22369878183831673,7,0.8366864556687595,0.20824524312896406,4,0.8413071105021569,0.21141649048625794,6,0.8759412983062013
henry-v,Henry V,Tragedy,"#HenryV_H5, #Warwick_2H4, #Fluellen_H5, #SOLDIERS.ENGLISH.Bates_H5, #Katherine_H5, #Grandpre_H5, #Orleans_H5, #Governor_H5, #ATTENDANTS.ENGLISH_H5, #Exeter_H5, #Grey_H5, #Pistol_2H4, #MESSENGERS.X.2_H5, #KingOfFrance_H5, #Brittany_H5, #Erpingham_H5, #Gower_H5, #Bourbon_H5, #HERALDS.1_H5, #Alice_H5, #Westmoreland_1H4, #Montjoy_H5, #Salisbury_H5, #Jamy_H5, #Dauphin_H5, #Constable_H5, #Bedford_H5, #Gloucester_2H4, #Boy_H5, #SOLDIERS.FRENCH.LeFer_H5, #SOLDIERS.ENGLISH.Court_H5, #Bardolph_1H4, #MacMorris_H5, #Nym_H5, #SOLDIERS.ENGLISH.Williams_H5, #QueenOfFrance_H5, #Burgundy_H5, #Scroop_H5, #Rambures_H5, #BishopOfEly_H5, #MESSENGERS.X.3_H5, #BishopOfCanterbury_H5, #York_H5, #MESSENGERS.X.1_H5, #MistressQuickly_1H4, #Cambridge_H5, #AMBASSADORS.0.1_H5",47,,,0.19056429232192415,5,0.8199761970102732,0.20507399577167018,5,0.8117900109590995,0.21022067363530778,5,0.823940371020203,0.2067363530778165,5,0.850051915966703,0.2218487394957983,5,0.8342558841718506,0.1849894291754757,5,0.7730720984368392
