id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"leander","Leander","MALE","false","10","62","1646",,"7","29","0","0.8181818181818182","0.3267236355019903"
"hanswurst","Hanswurst","MALE","false","17","129","3776",,"7","43","0","0.8181818181818182","0.3267236355019903"
"odoardo","Odoardo","MALE","false","21","150","5484",,"9","49","0.09259259259259259","1","0.3680342685749896"
"riepel","Riepel","MALE","false","11","49","1109",,"9","39","0.09259259259259259","1","0.3680342685749896"
"angela","Angela","FEMALE","false","15","55","1681",,"7","44","0","0.8181818181818182","0.3267236355019903"
"colombina","Colombina","FEMALE","false","13","48","1477",,"7","41","0","0.8181818181818182","0.3267236355019903"
"anselmo","Anselmo","MALE","false","12","50","1125",,"9","40","0.09259259259259259","1","0.36803426857498955"
"maegera","Mägera","FEMALE","false","9","44","2721",,"7","27","0","0.8181818181818182","0.3267236355019903"
"richter","Richter","MALE","false","2","5","257",,"4","5","0","0.6428571428571429","0.17307608368175853"
"schullmeister","Schullmeister","MALE","false","2","5","313",,"4","5","0","0.6428571428571429","0.17307608368175853"
