id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"miss_ellen","Miss Ellen","FEMALE","false","8","55","2045",,"10","22","0.08797939951786105","0.6","0.15606685671075457"
"steele","Steele","MALE","false","9","58","3329",,"17","28","0.14617576156037693","0.7105263157894737","0.3354755732802926"
"savage","Savage","MALE","false","18","99","5077",,"22","42","0.4117795310103001","0.84375","0.36774650723014374"
"viscount","Viscount","MALE","false","3","25","755",,"7","12","0.006059609905763754","0.54","0.11081948504294757"
"lord_winchester","Lord Winchester","MALE","false","6","22","354",,"10","24","0.01931843085689239","0.6","0.16355239098708776"
"lady","Lady","FEMALE","false","9","81","2373",,"12","29","0.0663269778654394","0.6428571428571429","0.1748758690360716"
"lord_berwick","Lord Berwick","MALE","false","6","24","341",,"10","24","0.01931843085689239","0.6","0.16355239098708776"
"bedienter_der_lady","Bedienter der Lady","MALE","false","3","14","150",,"7","9","0.008547008547008548","0.54","0.10294096333105839"
"lord_tyrconnel","Lord Tyrconnel","MALE","false","8","48","2157",,"10","21","0.14902476440937978","0.6","0.14868464130991216"
"maennliche_stimme","Männliche Stimme (Schauspieler)","MALE","false","1","2","14",,"5","5","0","0.42857142857142855","0.07101924648499287"
"haushofmeister","Haushofmeister","MALE","false","1","5","121",,"1","1","0","0.38028169014084506","0.01441568608141329"
"oberrichter","Oberrichter","MALE","false","1","4","168",,"3","3","0","0.5","0.07868892544497513"
"erster_bedienter","Erster Bedienter","MALE","false","1","1","11",,"2","2","0","0.38571428571428573","0.015131464848361607"
"zweiter_bedienter","Zweiter Bedienter","MALE","false","1","1","10",,"2","2","0","0.38571428571428573","0.015131464848361607"
"dritter_bedienter","Dritter Bedienter","MALE","false","1","2","99",,"1","1","0","0.46551724137931033","0.033967987233759836"
"erste_maske","Erste Maske","MALE","false","1","1","4",,"10","10","0","0.5510204081632653","0.24881260968181163"
"zweite_maske","Zweite Maske","MALE","false","1","1","2",,"10","10","0","0.5510204081632653","0.24881260968181163"
"dritte_maske","Dritte Maske","MALE","false","1","1","12",,"10","10","0","0.5510204081632653","0.24881260968181163"
"vierte_maske","Vierte Maske","MALE","false","1","1","1",,"10","10","0","0.5510204081632653","0.24881260968181163"
"fuenfte_maske","Fünfte Maske","MALE","false","1","1","1",,"10","10","0","0.5510204081632653","0.24881260968181163"
"sechste_maske","Sechste Maske","MALE","false","1","1","1",,"10","10","0","0.5510204081632653","0.24881260968181163"
"achte_maske","Achte Maske","MALE","false","1","1","1",,"10","10","0","0.5510204081632653","0.24881260968181163"
"neunte_maske","Neunte Maske","MALE","false","1","1","2",,"10","10","0","0.5510204081632653","0.24881260968181163"
"zehnte_maske","Zehnte Maske","MALE","false","1","1","1",,"10","10","0","0.5510204081632653","0.24881260968181163"
"alle_4-2-4","Alle (IV/2/4)","UNKNOWN","true","1","1","2",,"7","7","0","0.5625","0.13947190435889914"
"toms","Toms","MALE","false","4","16","509",,"5","9","0.03561253561253561","0.5192307692307693","0.06695683201238203"
"kitty","Kitty","FEMALE","false","4","18","441",,"5","9","0.03561253561253561","0.5192307692307693","0.06695683201238203"
"bursche","Bursche","MALE","false","1","3","45",,"2","2","0","0.35064935064935066","0.012369415693718959"
