id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"hero","Hero","FEMALE","false","5","231","6342",,"10","27","0","1","0.30151134457776363"
"janthe","Janthe","FEMALE","false","5","46","805",,"10","27","0","1","0.30151134457776363"
"priester","Priester","MALE","false","5","179","3476",,"10","27","0","1","0.30151134457776363"
"vater","Vater","MALE","false","1","13","235",,"10","10","0","1","0.30151134457776363"
"mutter","Mutter","FEMALE","false","1","12","158",,"10","10","0","1","0.30151134457776363"
"der_sklave","Der Sklave","MALE","false","1","1","1",,"10","10","0","1","0.30151134457776363"
"naukleros","Naukleros","MALE","false","4","77","3102",,"10","23","0","1","0.30151134457776363"
"tempelhueter","Tempelhüter","MALE","false","4","53","816",,"10","23","0","1","0.30151134457776363"
"die_priester","Die Priester","MALE","true","1","3","9",,"10","10","0","1","0.30151134457776363"
"das_volk","Das Volk","UNKNOWN","true","1","3","9",,"10","10","0","1","0.30151134457776363"
"leander","Leander","MALE","false","4","88","1193",,"10","23","0","1","0.30151134457776363"
