id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"foersterin","Försterin","FEMALE","false","25","176","2731",,"10","65","0.01288156288156288","0.7272727272727273","0.31617634578224"
"weiler","Weiler","MALE","false","6","59","1731",,"7","19","0.0032203907203907207","0.5925925925925926","0.22787718638662918"
"andres","Andres","MALE","false","10","76","805",,"13","38","0.1476037851037851","0.8421052631578947","0.34729939057462433"
"marie","Marie","FEMALE","false","7","57","1124",,"7","18","0.005051892551892552","0.6153846153846154","0.23370985742627962"
"robert","Robert","MALE","false","9","79","1382",,"12","24","0.20537240537240542","0.8","0.31623944588146896"
"foerster","Förster","MALE","false","23","303","6997",,"10","66","0.01288156288156288","0.7272727272727273","0.31617634578224"
"stein","Stein","MALE","false","13","119","1608",,"9","31","0.055036630036630035","0.6956521739130435","0.2770044140519441"
"moeller","Möller","MALE","false","9","50","1073",,"12","27","0.15076312576312573","0.8","0.30571928401285087"
"wilkens","Wilkens","MALE","false","8","33","908",,"10","30","0.01288156288156288","0.7272727272727273","0.31617634578224"
"pastor","Pastor","MALE","false","10","53","632",,"10","32","0.07045177045177045","0.7272727272727273","0.2993871983050799"
"buchjaeger","Buchjäger","MALE","false","2","13","276",,"2","3","0","0.5","0.06774508657893714"
"wilhelm","Wilhelm","MALE","false","6","28","561",,"8","19","0.004410866910866911","0.6666666666666666","0.2631917801129583"
"frei","Frei","MALE","false","3","25","632",,"4","7","0","0.5333333333333333","0.09526480231891589"
"wirt","Wirt","MALE","false","3","16","160",,"4","7","0","0.5333333333333333","0.09526480231891588"
"lindenschmied","Lindenschmied","MALE","false","4","20","275",,"5","9","0.01111111111111111","0.5714285714285714","0.12632688480634408"
"kathrine","Kathrine","FEMALE","false","1","7","98",,"1","1","0","0.45714285714285713","0.03444542911770175"
"bastian","Bastian","MALE","false","1","4","26",,"2","2","0","0.4444444444444444","0.06278158014793553"
