id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"selima","Selima","FEMALE","false","7","15","599",,"8","14","0","0.8333333333333334","0.3266674496808133"
"seth","Seth","MALE","false","10","58","1231",,"10","20","0.16666666666666669","1","0.3453460289321927"
"adam","Adam","MALE","false","14","72","2971",,"10","23","0.16666666666666669","1","0.3453460289321927"
"der_todesengel","Der Todesengel","UNKNOWN","false","1","1","77",,"2","2","0","0.5555555555555556","0.08512015576455147"
"kain","Kain","MALE","false","2","14","358",,"2","3","0","0.5555555555555556","0.08512015576455147"
"eva","Eva","FEMALE","false","4","19","506",,"8","12","0","0.8333333333333334","0.3266674496808133"
"heman","Heman","MALE","false","1","1","24",,"8","8","0","0.8333333333333334","0.3266674496808133"
"eine_mutter","Eine Mutter","FEMALE","false","1","1","10",,"8","8","0","0.8333333333333334","0.3266674496808133"
"noch_eine","Noch eine","FEMALE","false","1","1","11",,"8","8","0","0.8333333333333334","0.3266674496808133"
"die_dritte","Die dritte","FEMALE","false","1","1","12",,"8","8","0","0.8333333333333334","0.3266674496808133"
"sunim","Sunim","MALE","false","1","1","11",,"8","8","0","0.8333333333333334","0.3266674496808133"
