id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"lieschen","Lieschen","FEMALE","false","18","106","2081",,"14","50","0.12222222222222222","0.9375","0.3328582880935754"
"gretchen","Gretchen","FEMALE","false","7","50","914",,"8","20","0.03015873015873016","0.6818181818181818","0.19749182887826897"
"capitain","Capitain","MALE","false","18","116","2980",,"15","52","0.17301587301587304","1","0.34080290318439327"
"miller","Miller","MALE","false","14","50","1995",,"14","44","0.12222222222222223","0.9375","0.3328582880935754"
"buchdrucker","Buchdrucker","MALE","false","1","3","24",,"3","3","0","0.5555555555555556","0.08725918232915757"
"cornet","Cornet","MALE","false","5","28","715",,"3","4","0","0.5555555555555556","0.08725918232915755"
"weigenand","Weigenand","MALE","false","8","36","669",,"6","18","0","0.625","0.18160259869663334"
"eppelmeier","Eppelmeier","MALE","false","5","35","723",,"11","29","0.019047619047619046","0.7894736842105263","0.3045119647341704"
"dappelius","Dappelius","MALE","false","3","18","370",,"9","18","0","0.7142857142857143","0.2699970180758633"
"knorzheimer","Knorzheimer","MALE","false","5","39","996",,"11","24","0.019047619047619046","0.7894736842105263","0.3045119647341704"
"schmuttler","Schmuttler","MALE","false","2","12","243",,"9","15","0","0.7142857142857143","0.2699970180758633"
"leimpfann","Leimpfann","MALE","false","1","5","113",,"9","9","0","0.7142857142857143","0.2699970180758633"
"mehrere_andere","Mehrere Andere","UNKNOWN","true","1","0","4",,"9","9","0","0.7142857142857143","0.2699970180758633"
"eine_stimme","Eine Stimme","UNKNOWN","false","1","1","2",,"9","9","0","0.7142857142857143","0.2699970180758633"
"pompier","Pompier","MALE","false","1","1","6",,"4","4","0","0.5769230769230769","0.11204066887862203"
"tambour","Tambour","MALE","false","1","1","3",,"4","4","0","0.5769230769230769","0.11204066887862203"
