id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"lefevre","Lefêvre","MALE","false","15","106","2260",,"12","49","0.07314484126984126","0.8","0.3297211942068384"
"germain","Germain","MALE","false","4","9","127",,"3","7","0","0.5","0.09856194366452123"
"chapelle","Chapelle","MALE","false","12","91","1489",,"11","46","0.043283730158730174","0.7619047619047619","0.31753980442985663"
"matthieu","Matthieu","MALE","false","6","45","1094",,"9","18","0.04216269841269841","0.6956521739130435","0.26415444102657076"
"madeleine","Madeleine","FEMALE","false","13","98","2194",,"10","30","0.04818121693121693","0.7272727272727273","0.2793834075291345"
"la_roquette","La Roquette","MALE","false","15","180","3352",,"12","47","0.15682539682539684","0.8","0.3234957111396662"
"armande","Armande","FEMALE","false","4","64","1117",,"8","16","0.009259259259259259","0.6666666666666666","0.24416590720824524"
"moliere","Molière","MALE","false","11","85","3140",,"13","33","0.13876984126984127","0.8421052631578947","0.3385320529183723"
"dubois","Dubois","MALE","false","8","34","530",,"9","36","0.01577380952380952","0.6956521739130435","0.2699122565456513"
"lionne","Lionne","MALE","false","10","63","854",,"9","40","0.041435185185185186","0.6956521739130435","0.2530804942731411"
"bedienter","Bedienter","MALE","false","1","1","4",,"4","4","0","0.5517241379310345","0.12670629594160107"
"delarive","Delarive","MALE","false","11","44","513",,"9","37","0.03139880952380952","0.6956521739130435","0.26775866939934523"
"lakai","Lakai","MALE","false","3","3","21",,"3","7","0","0.48484848484848486","0.08907667032511207"
"ludwig","Ludwig","MALE","false","8","132","2947",,"11","31","0.058098544973544976","0.7619047619047619","0.31662795720559433"
"offizier","Offizier","MALE","false","1","4","21",,"2","2","0","0.48484848484848486","0.06410451813123004"
"louison","Louison","FEMALE","false","1","3","56",,"1","1","0","0.45714285714285713","0.03440850611346084"
"ein_theaterdiener","Ein Theaterdiener","MALE","false","1","1","8",,"4","4","0","0.5517241379310345","0.12610341911752268"
