id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"hochfeld","Hochfeld","MALE","false","20","176","2415",,"13","63","0.053846153846153856","0.9333333333333333","0.307578996145502"
"faustin","Faustin","MALE","false","9","70","1110",,"11","30","0.005494505494505495","0.8235294117647058","0.28630395562439803"
"eulalia","Eulalia","FEMALE","false","9","40","566",,"13","38","0.053846153846153856","0.9333333333333333","0.307578996145502"
"regine","Regine","FEMALE","false","8","53","506",,"11","32","0.005494505494505495","0.8235294117647058","0.286303955624398"
"haller","Haller","MALE","false","4","27","299",,"9","18","0","0.7368421052631579","0.24364192494866618"
"hupfer","Herr von Hupfer","MALE","false","4","49","719",,"11","22","0.005494505494505495","0.8235294117647058","0.28630395562439803"
"jakob","Jakob","MALE","false","3","5","14",,"9","15","0","0.7368421052631579","0.24364192494866618"
"robert","Robert","MALE","false","15","61","1252",,"13","54","0.07765567765567766","0.9333333333333333","0.3051539723945519"
"glatt","Glatt","MALE","false","8","44","680",,"12","36","0.017216117216117217","0.875","0.30032302917843606"
"sebastian","Sebastian","MALE","false","19","196","4070",,"14","57","0.1252747252747253","1","0.3124099393616178"
"klotilde","Klotilde","FEMALE","false","13","55","1063",,"10","38","0.007326007326007326","0.7777777777777778","0.25908910866642176"
"apollonia","Apollonia","FEMALE","false","7","44","723",,"9","19","0","0.7368421052631579","0.24507003511238368"
"kapellmeister","Kapellmeister","MALE","false","1","5","31",,"2","2","0","0.5384615384615384","0.05708945299764455"
"graf_von_flambourg","Graf von Flambourg","MALE","false","1","1","2",,"3","3","0","0.56","0.08574714494420242"
"wellenschlag","Wellenschlag","MALE","false","4","29","319",,"6","15","0","0.6363636363636364","0.16567008261035257"
