id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"sittig","Sittig","MALE","false","15","157","2289",,"10","38","0.09801587301587301","0.8571428571428571","0.38041494333168346"
"rat","Rat","MALE","false","6","41","558",,"7","22","0.011255411255411256","0.7058823529411765","0.31036831781398744"
"raetin","Rätin","FEMALE","false","12","81","811",,"8","31","0.03145743145743146","0.75","0.33275730339896115"
"caecilie","Cäcilie","FEMALE","false","21","125","1134",,"8","43","0.03145743145743146","0.75","0.33275730339896115"
"fritz","Fritz","MALE","false","2","7","39",,"5","9","0","0.5714285714285714","0.23019886853546942"
"unruh","Unruh","MALE","false","14","79","1390",,"6","24","0.049783549783549784","0.6666666666666666","0.2245787252221383"
"katharine","Katharine","FEMALE","false","20","234","2951",,"9","43","0.06266233766233766","0.8","0.3580259577467098"
"ernestine","Ernestine","FEMALE","false","10","48","324",,"4","21","0","0.5714285714285714","0.17799025882032934"
"baron","Baron","MALE","false","26","309","5085",,"10","47","0.1737012987012987","0.8571428571428571","0.3624958260133132"
"samuel","Samuel","MALE","false","2","3","49",,"2","3","0","0.5","0.07883251869252758"
"babette","Babette","FEMALE","false","3","9","79",,"4","5","0","0.5714285714285714","0.18912301348310445"
"praesident","Präsident","MALE","false","6","58","927",,"8","13","0.17803030303030304","0.75","0.31470588138630723"
"kammerdiener","Kammerdiener","MALE","false","1","4","10",,"1","1","0","0.4444444444444444","0.04225866556386805"
