id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"plutzerkern","Plutzerkern","MALE","false","6","5","110",,"4","9","0.001422475106685633","0.35514018691588783","0.05151349940651778"
"zuwag","Zuwag","MALE","false","4","2","71",,"3","7","0","0.35185185185185186","0.03090519923065033"
"zech","Zech","MALE","false","4","1","69",,"3","7","0","0.35185185185185186","0.030905199230650326"
"friedrich","Friedrich","MALE","false","16","23","264",,"8","24","0","0.4810126582278481","0.1108417586593848"
"anton","Anton","MALE","false","7","6","114",,"8","14","0","0.4810126582278481","0.1108417586593848"
"sepherl","Sepherl","FEMALE","false","26","47","476",,"15","91","0.13153717627401834","0.5205479452054794","0.2655705084689727"
"christoph","Christoph","MALE","false","13","12","232",,"12","63","0.02624014992436045","0.5","0.2526553607577557"
"nettel","Nettel","FEMALE","false","10","1","119",,"11","58","0.002769310664047506","0.4935064935064935","0.24845357488071804"
"seppel","Seppel","MALE","false","12","3","107",,"11","63","0.002769310664047506","0.4935064935064935","0.24845357488071804"
"resi","Resi","FEMALE","false","10","1","107",,"11","58","0.002769310664047506","0.4935064935064935","0.24845357488071804"
"goldfuchs","Goldfuchs","MALE","false","32","98","1051",,"14","46","0.08466436361173206","0.5588235294117647","0.16454117346716784"
"damian","Damian","MALE","false","67","149","2542",,"15","113","0.0961273987589777","0.5671641791044776","0.2856424266437494"
"johann","Johann","MALE","false","57","139","3408",,"17","70","0.24286586655007708","0.59375","0.17037588895375902"
"salerl","Salerl","FEMALE","false","29","55","962",,"12","57","0.08253824569614043","0.5507246376811594","0.25072195738393926"
"bonbon","Bonbon","MALE","false","18","36","404",,"13","30","0.05225420225420225","0.5588235294117647","0.16359656677854448"
"schlucker","Schlucker","MALE","false","40","109","1536",,"14","100","0.036344649502544256","0.5205479452054794","0.27363775784145505"
"zins","Zins","MALE","false","14","61","1047",,"18","36","0.20937643042906207","0.6551724137931034","0.3061651992023465"
"emilie","Emilie","FEMALE","false","25","69","572",,"13","40","0.23700929227245013","0.5757575757575758","0.14717436239366558"
"fanny","Fanny","FEMALE","false","35","71","822",,"9","43","0.02776474355421724","0.5428571428571428","0.1625556922115642"
"adolf","Adolf","MALE","false","35","79","780",,"13","51","0.0665342717974297","0.5671641791044776","0.2620419522003595"
"frau_von_steinfels","Frau von Steinfels","FEMALE","false","1","1","5",,"2","2","0","0.37254901960784315","0.01434482224376421"
"herr_von_steinfels","Herr von Steinfels","MALE","false","3","4","14",,"2","2","0","0.37254901960784315","0.01434482224376421"
"frau_von_wachsweich","Frau von Wachsweich","FEMALE","false","1","1","3",,"2","2","0","0.37254901960784315","0.01434482224376421"
"herr_von_wachsweich","Herr von Wachsweich","MALE","false","1","1","5",,"2","2","0","0.37254901960784315","0.01434482224376421"
"chor_der_gaeste","Chor der Gäste","UNKNOWN","false","4","5","35",,"2","3","0","0.4","0.027684114054524065"
"aspik","Aspik","MALE","false","4","2","78",,"4","11","0","0.3877551020408163","0.020627443965866844"
"francois","François","MALE","false","5","3","86",,"4","13","0","0.3877551020408163","0.020627443965866844"
"kuechenjungen_und_maegde","Küchenjungen und Mägde","UNKNOWN","false","3","0","51",,"4","10","0","0.3877551020408163","0.020627443965866844"
"meridon","Meridon","MALE","false","5","6","88",,"4","12","0","0.3877551020408163","0.020627443965866844"
"wilm","Wilm","MALE","false","2","10","108",,"2","4","0","0.36893203883495146","0.04967019022185458"
"wermuth","Wermuth","MALE","false","3","5","21",,"2","6","0","0.3958333333333333","0.029744772141161665"
"einige_herren","Einige Herren","MALE","false","1","1","8",,"2","2","0","0.38","0.02914267581495879"
"ein_herr","Ein Herr","MALE","false","1","2","14",,"4","4","0","0.4367816091954023","0.05716854840517141"
"grob","Grob","MALE","false","7","10","162",,"9","24","0","0.4470588235294118","0.20210648614336008"
"trumpf","Trumpf","MALE","false","7","3","88",,"9","24","0","0.4470588235294118","0.20210648614336008"
"beamter","Beamter","MALE","false","2","13","189",,"4","7","0","0.4","0.09652796164677538"
"zwei_bediente","Zwei Bediente","MALE","false","4","6","33",,"8","14","0","0.4810126582278481","0.1108417586593848"
"ein_waechter","Ein Wächter","MALE","false","1","1","15",,"8","8","0","0.4810126582278481","0.1108417586593848"
"zweiter_waechter","Zweiter Wächter","MALE","false","1","0","7",,"8","8","0","0.4810126582278481","0.1108417586593848"
