id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"diener_1a","Diener","MALE","false","1","3","77",,"14","14","0","0.6521739130434783","0.20774197921939572"
"repnin","Repnín","MALE","false","1","31","564",,"14","14","0","0.6521739130434783","0.20774197921939572"
"galizin","Galízin","MALE","false","2","27","374",,"20","25","0.020689655172413793","0.75","0.26217542998628063"
"fiodor","Fiódor","MALE","false","2","33","328",,"20","25","0.020689655172413793","0.75","0.2621754299862806"
"ksenja","Ksénja","FEMALE","false","4","68","1074",,"23","33","0.061609195402298846","0.8108108108108109","0.27532993399159356"
"boris","Borís","MALE","false","5","198","5373",,"30","41","0.4075862068965516","1","0.2896568233076578"
"maria","Maria","FEMALE","false","3","25","273",,"22","31","0.03747126436781609","0.7894736842105263","0.2723152653688187"
"christian","Christian","MALE","false","1","4","50",,"14","14","0","0.6521739130434783","0.20774197921939572"
"diener_1b","Diener","MALE","true","1","1","3",,"14","14","0","0.6521739130434783","0.20774197921939572"
"simeon","Simeon","MALE","false","3","17","221",,"22","31","0.03747126436781609","0.7894736842105263","0.2723152653688187"
"der_bote_1a","Der Bote","MALE","false","1","1","18",,"14","14","0","0.6521739130434783","0.20774197921939572"
"bassmanof","Bassmánof","MALE","false","1","4","76",,"14","14","0","0.6521739130434783","0.20774197921939572"
"erster_bojar_1","Erster Bojar (I. Akt)","MALE","false","1","1","8",,"14","14","0","0.6521739130434783","0.20774197921939572"
"bote_1b","Bote","MALE","false","1","3","59",,"14","14","0","0.6521739130434783","0.20774197921939572"
"bote_1c","Bote","MALE","false","1","2","4",,"14","14","0","0.6521739130434783","0.20774197921939572"
"irina","Irína","FEMALE","false","1","3","15",,"11","11","0","0.6122448979591837","0.15131656289890072"
"arzt","Arzt","MALE","false","1","5","151",,"11","11","0","0.6122448979591837","0.15131656289890072"
"schuiski","Schuiski","MALE","false","2","23","343",,"13","17","0.0064367816091954015","0.6382978723404256","0.1614563982814389"
"moench","Mönch","MALE","false","1","22","436",,"11","11","0","0.6122448979591837","0.15131656289890072"
"erster_bojar_2","Erster Bojar (II. Akt)","MALE","false","1","2","11",,"11","11","0","0.6122448979591837","0.15131656289890072"
"zweiter_bojar","Zweiter Bojar","MALE","false","1","2","8",,"11","11","0","0.6122448979591837","0.15131656289890072"
"ilja","Iljá","MALE","false","1","25","466",,"6","6","0","0.5555555555555556","0.0855058402483857"
"eine_stimme","Eine Stimme","MALE","false","1","3","14",,"6","6","0","0.5555555555555556","0.0855058402483857"
"die_menge_geschrei_stimmen","Die Menge/Geschrei/Stimmen","UNKNOWN","true","1","15","291",,"8","8","0","0.5769230769230769","0.03451631038666735"
"der_irre","Der Irre","MALE","false","2","20","458",,"9","10","0.008045977011494253","0.5882352941176471","0.0508414821871464"
"der_rotbart","Der Rotbart","MALE","false","1","8","278",,"8","8","0","0.5769230769230769","0.03451631038666735"
"der_schwarzbart","Der Schwarzbart","MALE","false","1","8","202",,"8","8","0","0.5769230769230769","0.03451631038666735"
"der_weissbart","Der Weißbart","MALE","false","1","5","81",,"8","8","0","0.5769230769230769","0.03451631038666735"
"einer_4a","Einer","MALE","false","1","1","4",,"8","8","0","0.5769230769230769","0.03451631038666735"
"einer_4b","Einer","MALE","false","1","2","18",,"8","8","0","0.5769230769230769","0.03451631038666735"
"zweiter","Zweiter","MALE","false","1","3","15",,"8","8","0","0.5769230769230769","0.03451631038666735"
