id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"bezirksamtmann","Bezirksamtmann","MALE","false","7","134","1688",,"13","33","0","1","0.26726124191242434"
"frau_bezirksamtmann","Frau Bezirksamtmann","FEMALE","false","6","74","649",,"13","26","0","1","0.26726124191242434"
"babette","Babette","FEMALE","false","2","8","40",,"13","15","0","1","0.26726124191242434"
"assessor","Assessor","MALE","false","5","56","535",,"13","30","0","1","0.26726124191242434"
"lampl","Lampl","MALE","false","4","121","1950",,"13","28","0","1","0.26726124191242434"
"sedlmaier","Sedlmaier","MALE","false","3","26","272",,"13","25","0","1","0.26726124191242434"
"hahnrieder","Hahnrieder","MALE","false","3","45","842",,"13","25","0","1","0.26726124191242434"
"haeberlein","Häberlein","MALE","false","2","23","385",,"13","20","0","1","0.26726124191242434"
"grubhofer","Grubhofer","MALE","false","2","28","328",,"13","20","0","1","0.26726124191242434"
"merkl","Merkl","MALE","false","2","37","449",,"13","20","0","1","0.26726124191242434"
"peter_neusigl","Peter Neusigl","MALE","false","1","27","472",,"13","13","0","1","0.26726124191242434"
"frau_neusigl","Frau Neusigl","FEMALE","false","1","47","1090",,"13","13","0","1","0.26726124191242434"
"anna","Anna","FEMALE","false","1","1","3",,"13","13","0","1","0.26726124191242434"
"regierungsdirektor_steinbeissel","Regierungsdirektor Steinbeißel","MALE","false","1","2","8",,"13","13","0","1","0.26726124191242434"
