id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"koenig","König","MALE","false","5","32","1090",,"3","9","0","0.5882352941176471","0.3074554504590474"
"herzog","Herzog","MALE","false","7","81","3772",,"5","11","0.18888888888888888","0.6666666666666666","0.3822475876099026"
"graf","Graf","MALE","false","3","7","237",,"3","6","0","0.5882352941176471","0.3074554504590474"
"eugenie","Eugenie","FEMALE","false","18","166","6394",,"8","22","0.5222222222222223","0.8333333333333334","0.5412030553711831"
"sekretaer","Sekretär","MALE","false","4","45","1544",,"3","3","0.06666666666666667","0.5555555555555556","0.22303159184923496"
"hofmeisterin","Hofmeisterin","FEMALE","false","13","103","2306",,"5","15","0.15555555555555556","0.6666666666666666","0.35947013076843626"
"weltgeistlicher","Weltgeistlicher","MALE","false","2","36","1261",,"2","2","0","0.45454545454545453","0.15118804100328598"
"gerichtsrat","Gerichtsrat","MALE","false","4","71","1913",,"2","5","0","0.5263157894736842","0.22497010320865665"
"gouverneur","Gouverneur","MALE","false","1","10","269",,"2","2","0","0.5263157894736842","0.22497010320865665"
"aebtissin","Äbtissin","FEMALE","false","1","5","166",,"2","2","0","0.5263157894736842","0.22497010320865665"
"moench","Mönch","MALE","false","1","10","678",,"1","1","0","0.47619047619047616","0.135181341006524"
