id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"erster_schreiber","Erster Schreiber","MALE","false","1","1","2",,"5","5","0","0.42028985507246375","0.049803741115129724"
"zweiter_schreiber","Zweiter Schreiber","MALE","false","1","1","2",,"5","5","0","0.42028985507246375","0.049803741115129724"
"die_anderen_1-1","Die Anderen","MALE","true","1","1","0",,"5","5","0","0.42028985507246375","0.049803741115129724"
"schrauber","Schrauber","MALE","false","9","74","1170",,"10","30","0.04823587742306954","0.6041666666666666","0.12910011281856368"
"faehnlein","Fähnlein","MALE","false","7","91","2051",,"10","25","0.04823587742306954","0.6041666666666666","0.12910011281856368"
"hammer","Doktor Hammer","MALE","false","18","137","2580",,"13","36","0.1856044612202248","0.6444444444444445","0.16377851311072503"
"hermine","Hermine","FEMALE","false","10","73","1362",,"14","31","0.18004019789734077","0.6590909090909091","0.1537429746438934"
"zaenker","Zänker","MALE","false","3","17","228",,"9","11","0.019640458064103385","0.5","0.08621373237572467"
"alwine","Alwine","FEMALE","false","9","65","1209",,"14","30","0.18004019789734077","0.6590909090909091","0.1537429746438934"
"ein_teil_der_gesellschaft","Ein Teil der Gesellschaft","UNKNOWN","true","1","1","4",,"8","8","0","0.4461538461538462","0.07193841163895945"
"die_andern_1-10","Die Andern","UNKNOWN","true","1","1","7",,"8","8","0","0.4461538461538462","0.07193841163895945"
"rost","Rost","MALE","false","1","3","25",,"8","8","0","0.4461538461538462","0.07193841163895945"
"rellmann","Rellmann","MALE","false","1","1","5",,"8","8","0","0.4461538461538462","0.07193841163895945"
"einige_vorwiegend_frauenstimmen","Einige, vorwiegend Frauenstimmen","UNKNOWN","true","1","1","7",,"8","8","0","0.4461538461538462","0.07193841163895945"
"alle_1-10","Alle (I/10)","UNKNOWN","true","1","1","8",,"8","8","0","0.4461538461538462","0.07193841163895945"
"seitzer","Seitzer","MALE","false","1","2","32",,"10","10","0","0.48333333333333334","0.2593370744251068"
"frau_seitzer","Frau Seitzer","FEMALE","false","1","2","15",,"10","10","0","0.48333333333333334","0.2593370744251068"
"taterl","Taterl","MALE","false","1","1","65",,"10","10","0","0.48333333333333334","0.2593370744251068"
"frau_xandl","Frau Xandl","FEMALE","false","6","67","1441",,"13","19","0.0665024630541872","0.5576923076923077","0.2960090708773005"
"arbeiter","Arbeiter","MALE","false","1","2","22",,"10","10","0","0.48333333333333334","0.25933707442510684"
"bursche","Bursche","MALE","false","1","3","16",,"10","10","0","0.48333333333333334","0.2593370744251068"
"sein_weib","Sein Weib","FEMALE","false","1","1","3",,"10","10","0","0.48333333333333334","0.25933707442510684"
"adalgise","Adalgise","FEMALE","false","1","3","18",,"10","10","0","0.48333333333333334","0.25933707442510684"
"frau_holler","Frau Holler","FEMALE","false","1","9","55",,"10","10","0","0.48333333333333334","0.2593370744251068"
"thomas","Thomas Hammer","MALE","false","15","183","6704",,"17","43","0.3667615635595931","0.7073170731707317","0.3453157683540488"
"dienstmann","Dienstmann","MALE","false","1","1","19",,"10","10","0","0.48333333333333334","0.2593370744251068"
"ein_strolch","Ein Strolch","MALE","false","1","4","53",,"1","1","0","0.3972602739726027","0.01563840240683498"
"florian","Florian","MALE","false","6","29","513",,"6","15","0.0012315270935960591","0.4915254237288136","0.11507635626850875"
"alte_hammer","Die alte Hammer","FEMALE","false","10","103","3315",,"8","26","0.01208176060392809","0.58","0.14187769646326415"
"jette","Jette","FEMALE","false","1","3","145",,"2","2","0","0.4084507042253521","0.029360488982561675"
