id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"wendla","Wendla","FEMALE","false","7","109","1878",,"6","9","0.1859403761504602","0.5384615384615384","0.035500024185636365"
"frau_bergmann","Frau Bergmann","FEMALE","false","3","48","1026",,"3","5","0","0.36082474226804123","0.003083747013122586"
"melchior","Melchior","MALE","false","8","149","2541",,"24","32","0.5112991863412032","0.7608695652173914","0.22058560339086067"
"otto","Otto","MALE","false","3","17","135",,"16","25","0.021007069494464466","0.603448275862069","0.2768743197583017"
"moritz","Moritz Stiefel","MALE","false","5","106","3976",,"12","18","0.04197879151660664","0.5645161290322581","0.18402317891235068"
"georg","Georg","MALE","false","3","13","89",,"16","25","0.021007069494464466","0.603448275862069","0.2768743197583017"
"robert","Robert","MALE","false","3","13","106",,"16","25","0.021007069494464466","0.603448275862069","0.2768743197583017"
"ernst","Ernst","MALE","false","3","20","243",,"14","18","0.016195144724556496","0.5833333333333334","0.2542581630229943"
"martha","Martha","FEMALE","false","2","36","483",,"14","14","0.08498399359743898","0.5223880597014925","0.23017832950107758"
"thea","Thea","FEMALE","false","1","22","225",,"2","2","0","0.4069767441860465","0.019662262734945087"
"laemmermeier","Lämmermeier","MALE","false","1","7","54",,"8","8","0","0.5223880597014925","0.14589151795064573"
"haenschen_rilow","Hänschen Rilow","MALE","false","4","22","983",,"16","21","0.021007069494464466","0.603448275862069","0.2768743197583017"
"knochenbruch","Knochenbruch","MALE","false","2","3","38",,"16","20","0.021007069494464466","0.603448275862069","0.2768743197583017"
"hungergurt","Hungergurt","MALE","false","2","2","27",,"13","14","0.018354008269974655","0.5645161290322581","0.18231516220102065"
"frau_gabor","Frau Gabor","FEMALE","false","3","20","1262",,"3","3","0.05714285714285715","0.4605263157894737","0.030109325124878135"
"ilse","Ilse","FEMALE","false","2","31","867",,"13","13","0.0033740162731759372","0.5147058823529411","0.23905789498620808"
"sonnenstich","Sonnenstich","MALE","false","2","28","925",,"18","18","0.07317527010804321","0.625","0.2718326510018525"
"knueppeldick","Knüppeldick","MALE","false","1","1","20",,"6","6","0","0.5072463768115942","0.06418694278756866"
"zungenschlag","Zungenschlag","MALE","false","1","3","94",,"6","6","0","0.5072463768115942","0.06418694278756866"
"habebald","Habebald","MALE","false","1","8","24",,"6","6","0","0.5072463768115942","0.06418694278756865"
"fliegentod","Fliegentod","MALE","false","1","2","62",,"6","6","0","0.5072463768115942","0.06418694278756866"
"pastor_kahlbauch","Pastor Kahlbauch","MALE","false","1","2","151",,"12","12","0","0.4861111111111111","0.2263771892089263"
"rentier_stiefel","Rentier Stiefel","MALE","false","1","2","33",,"12","12","0","0.4861111111111111","0.2263771892089263"
"onkel_probst","Onkel Probst","MALE","false","1","2","33",,"12","12","0","0.4861111111111111","0.2263771892089263"
"freund_ziegenmelker","Freund Ziegenmelker","MALE","false","1","2","47",,"12","12","0","0.4861111111111111","0.2263771892089263"
"herr_gabor","Herr Gabor","MALE","false","1","10","801",,"1","1","0","0.3181818181818182","0.002228351310810106"
"diethelm","Diethelm","MALE","false","1","2","30",,"7","7","0","0.47297297297297297","0.02936579167318636"
"reinhold","Reinhold","MALE","false","1","1","13",,"7","7","0","0.47297297297297297","0.02936579167318636"
"ruprecht","Ruprecht","MALE","false","1","5","17",,"7","7","0","0.47297297297297297","0.02936579167318636"
"helmuth","Helmuth","MALE","false","1","6","19",,"7","7","0","0.47297297297297297","0.02936579167318636"
"gaston","Gaston","MALE","false","1","2","20",,"7","7","0","0.47297297297297297","0.02936579167318636"
"dr_prokrustes","Dr. Prokrustes","MALE","false","1","2","50",,"7","7","0","0.47297297297297297","0.02936579167318636"
"der_schlossermeister","Der Schlossermeister","MALE","false","1","1","6",,"7","7","0","0.47297297297297297","0.02936579167318636"
"dr_brausepulver","Dr. von Brausepulver","MALE","false","1","3","221",,"3","3","0","0.36082474226804123","0.003083747013122586"
"ina","Ina","FEMALE","false","1","3","104",,"3","3","0","0.36082474226804123","0.003083747013122586"
"der_vermummte_herr","Der vermummte Herr","MALE","false","1","22","451",,"2","2","0","0.44871794871794873","0.02994440622605085"
