id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"silva","De Silva","MALE","false","14","95","3331",,"11","38","0.11569444444444442","0.7619047619047619","0.3650292187802273"
"jochai","Jochai","MALE","false","10","49","1266",,"7","28","0.01111111111111111","0.64","0.28823813720892144"
"diener_1-2","Diener (I/2)","MALE","false","1","1","24",,"3","3","0","0.5517241379310345","0.14280083926633988"
"uriel","Uriel","MALE","false","16","103","4297",,"15","42","0.3997222222222222","0.9411764705882353","0.4242985409557602"
"santos","Santos","MALE","false","7","37","892",,"11","26","0.12666666666666665","0.7619047619047619","0.3647424726465781"
"manasse","Manasse","MALE","false","10","46","1442",,"7","24","0.01388888888888889","0.64","0.2875149622455165"
"simon","Simon","MALE","false","3","5","45",,"3","4","0","0.5333333333333333","0.13662015250829876"
"judith","Judith","FEMALE","false","11","69","1469",,"9","28","0.06777777777777777","0.6956521739130435","0.3191115092849191"
"alle_2-7","Alle (II/7)","UNKNOWN","true","1","3","4",,"6","6","0","0.6153846153846154","0.27152835490606375"
"ruben","Ruben","MALE","false","3","19","279",,"4","6","0.008888888888888889","0.5714285714285714","0.14034904965930145"
"esther","Esther","FEMALE","false","2","16","321",,"4","6","0.0020833333333333333","0.5517241379310345","0.13500965593998934"
"joel","Joel","MALE","false","2","6","73",,"4","6","0.0020833333333333333","0.5517241379310345","0.13500965593998934"
"diener_4-1","Diener (IV/1)","MALE","false","1","2","18",,"2","2","0","0.47058823529411764","0.09671043852996569"
"akiba","Akiba","MALE","false","1","10","656",,"4","4","0","0.5714285714285714","0.17951222502132927"
"embden","Embden","MALE","false","2","3","22",,"5","8","0.0020833333333333333","0.5925925925925926","0.20051776833455784"
"alle_4-6","Alle (IV/6)","UNKNOWN","true","1","1","6",,"4","4","0","0.5714285714285714","0.17951222502132927"
"baruch","Baruch","MALE","false","1","7","228",,"1","1","0","0.5","0.05622888928942644"
