id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"theobald","Theobald","MALE","false","14","63","1169",,"13","28","0.03409961685823754","0.6382978723404256","0.20957779837345483"
"agnes","Agnes","FEMALE","false","27","177","3524",,"18","56","0.11126436781609195","0.7142857142857143","0.24185336697659685"
"knippeldollinger","Knippeldollinger","MALE","false","4","24","380",,"10","15","0.0005747126436781609","0.5882352941176471","0.16951067871851436"
"barbara","Barbara","FEMALE","false","2","23","453",,"10","11","0.0005747126436781609","0.5882352941176471","0.1695106787185144"
"caspar_bernauer","Caspar Bernauer","MALE","false","15","70","1512",,"10","32","0.0005747126436781609","0.5882352941176471","0.16951067871851436"
"albrecht","Albrecht","MALE","false","19","188","4808",,"25","59","0.18697865353037768","0.8571428571428571","0.332417545790037"
"buergermeister","Bürgermeister","MALE","false","5","11","302",,"9","18","0","0.5769230769230769","0.1548125828364553"
"nothhafft_von_wernberg","Nothhafft von Wernberg","MALE","false","12","36","585",,"20","43","0.06724685276409413","0.75","0.29231545672051"
"frauenhoven","Rolf von Frauenhoven","MALE","false","10","31","566",,"19","42","0.051001642036124804","0.7317073170731707","0.2877316858161454"
"toerring","Törring","MALE","false","12","53","1216",,"15","37","0.023968253968253965","0.6666666666666666","0.23497384876080069"
"ein_knappe","Ein Knappe","MALE","false","1","1","0",,"4","4","0","0.5","0.08654152267577253"
"martha","Martha","FEMALE","false","1","1","23",,"9","9","0","0.5769230769230769","0.1548125828364553"
"ernst","Ernst","MALE","false","13","104","4456",,"16","28","0.04749863163656267","0.6666666666666666","0.218888597792977"
"stachus","Stachus","MALE","false","3","11","233",,"2","3","0","0.45454545454545453","0.0376683703520304"
"preising","Preising","MALE","false","12","101","2398",,"22","33","0.17096880131362888","0.7894736842105263","0.28054623805184226"
"kastellan","Kastellan","MALE","false","3","6","199",,"3","4","0","0.5172413793103449","0.06535924005926179"
"marschall_von_pappenheim","Marschall von Pappenheim","MALE","false","4","24","196",,"15","20","0.033141762452107267","0.6666666666666666","0.22697907196847295"
"pienzenau","Pienzenau","MALE","false","2","1","1",,"8","11","0","0.5660377358490566","0.11436041565504285"
"otto_von_bern","Otto von Bern","MALE","false","2","1","1",,"8","11","0","0.5660377358490566","0.11436041565504285"
"ignaz_von_seyboltstorff","Ignaz von Seyboltstorff","MALE","false","2","1","1",,"8","11","0","0.5660377358490566","0.11436041565504285"
"schildknapp","Ein Schildknapp","MALE","false","1","1","0",,"8","8","0","0.5660377358490566","0.11436041565504285"
"hans_von_laeubelfing","Hans von Läubelfing","MALE","false","1","1","16",,"8","8","0","0.5660377358490566","0.11436041565504285"
"der_kastellan","Der Kastellan","MALE","false","1","3","54",,"2","2","0","0.42857142857142855","0.03404753899981084"
"die_knechte","Die Knechte","MALE","true","1","1","0",,"6","6","0","0.5555555555555556","0.10753273031629189"
"die_reisigen","Die Reisigen","MALE","true","2","1","10",,"14","15","0.01693486590038314","0.6521739130434783","0.2318251027252022"
"emeran_nusperger_zu_kalmperg","Emeran Nusperger zu Kalmperg","MALE","false","1","3","0",,"3","3","0","0.5172413793103449","0.04261426484997846"
"ein_haescher","Ein Häscher","MALE","false","1","1","0",,"3","3","0","0.5172413793103449","0.04261426484997846"
"einige_andere_alle_stimmen","Einige/Andere/Alle/Stimmen","UNKNOWN","true","3","7","31",,"9","11","0","0.5769230769230769","0.1602261473531719"
"der_herold","Der Herold","MALE","false","1","6","239",,"9","9","0","0.5769230769230769","0.1602261473531719"
"die_ritter","Die Ritter","MALE","true","1","1","7",,"9","9","0","0.5769230769230769","0.1602261473531719"
"der_legat","Der Legat","MALE","false","1","1","0",,"9","9","0","0.5769230769230769","0.1602261473531719"
