id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"selma","Selma","FEMALE","false","5","88","591",,"19","48","0.0205003248862898","1","0.25334906924363987"
"karl","Karl","MALE","false","5","424","5755",,"19","48","0.0205003248862898","1","0.2533490692436399"
"oberst","Oberst","MALE","false","4","113","1653",,"12","33","0.0011695906432748538","0.7307692307692307","0.16634883548550494"
"frau_weber_mutter","Frau Weber/Mutter","FEMALE","false","5","292","3228",,"19","48","0.0205003248862898","1","0.25334906924363987"
"hecht","Hecht","MALE","false","4","131","1347",,"17","37","0.009096816114359977","0.9047619047619048","0.2358220554584946"
"mariechen_marie","Mariechen/Marie","FEMALE","false","4","93","797",,"12","33","0.0011695906432748538","0.7307692307692307","0.16634883548550494"
"luestling","Lüstling","MALE","false","5","123","2114",,"19","48","0.0205003248862898","1","0.25334906924363987"
"brigitte","Brigitte","FEMALE","false","3","60","785",,"19","34","0.0205003248862898","1","0.25334906924363987"
"johanna","Johanna","FEMALE","false","4","190","2383",,"19","42","0.0205003248862898","1","0.25334906924363987"
"lothar_weber_vater","Lothar Weber/Vater","MALE","false","3","116","1210",,"19","34","0.0205003248862898","1","0.2533490692436399"
"alle_gaeste_die_gesellschaft_rufe","Alle/Alle Gäste/Rufe/Die Gesellschaft/Taktmäßige Rufe (IV. Aufzug)","UNKNOWN","true","1","9","33",,"15","15","0","0.8260869565217391","0.2167442092167765"
"brautvater","Brautvater","MALE","false","1","2","7",,"15","15","0","0.8260869565217391","0.2167442092167765"
"ruf","Ruf (aus der Gesellschaft)","UNKNOWN","false","1","1","5",,"15","15","0","0.8260869565217391","0.2167442092167765"
"bleich","Bleich","MALE","false","2","10","47",,"19","26","0.0205003248862898","1","0.25334906924363987"
"brautmutter","Brautmutter","FEMALE","false","1","1","6",,"15","15","0","0.8260869565217391","0.2167442092167765"
"poebel","Pöbel (draußen)","UNKNOWN","true","1","1","3",,"15","15","0","0.8260869565217391","0.2167442092167765"
"frau_hecht","Frau Hecht","FEMALE","false","1","31","754",,"15","15","0","0.8260869565217391","0.2167442092167765"
"beamter","Beamter","MALE","false","1","6","59",,"15","15","0","0.8260869565217391","0.2167442092167765"
"weib","Weib","FEMALE","false","1","16","104",,"11","11","0","0.7037037037037037","0.15282623356049513"
"stimme","Stimme","MALE","false","1","1","4",,"11","11","0","0.7037037037037037","0.15282623356049513"
