id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"chor_der_maedchen","Chor der Mädchen","FEMALE","true","1","3","58",,"8","8","0","0.5833333333333334","0.10960181427213139"
"chor_der_juenglinge","Chor der Jünglinge","MALE","true","1","3","22",,"8","8","0","0.5833333333333334","0.10960181427213139"
"rupert","Rupert","MALE","false","5","134","1892",,"23","33","0.1034832451499118","0.8484848484848485","0.27732642048728673"
"ottokar","Ottokar","MALE","false","6","227","4019",,"19","28","0.05211640211640212","0.7567567567567568","0.25723971325863704"
"eustache","Eustache","FEMALE","false","5","86","1687",,"24","33","0.14448853615520282","0.875","0.2795652953524665"
"jeronimus","Jeronimus","MALE","false","5","125","2039",,"21","29","0.12698412698412695","0.8","0.24003659552353476"
"kirchenvogt","Kirchenvogt","MALE","false","1","20","383",,"8","8","0","0.5833333333333334","0.10960181427213139"
"ein_diener_1-1","Ein Diener (I/1)","MALE","false","1","1","5",,"8","8","0","0.5833333333333334","0.10960181427213139"
"johann","Johann","MALE","false","4","65","1309",,"19","28","0.03703703703703703","0.7567567567567568","0.2602237683894514"
"sylvius","Sylvius","MALE","false","2","38","392",,"17","20","0.023280423280423276","0.717948717948718","0.2454546568917005"
"agnes","Agnes","FEMALE","false","6","177","2107",,"18","31","0.03267195767195767","0.7368421052631579","0.2506775868876946"
"gertrude","Gertrude","FEMALE","false","5","72","1081",,"18","31","0.03267195767195767","0.7368421052631579","0.2506775868876946"
"sylvester","Sylvester","MALE","false","5","126","2813",,"18","31","0.03267195767195767","0.7368421052631579","0.2506775868876946"
"gaertner","Gärtner","MALE","false","1","6","74",,"7","7","0","0.5384615384615384","0.09524882941478914"
"ein_knappe","Ein Knappe","MALE","false","1","1","7",,"7","7","0","0.5384615384615384","0.09524882941478911"
"aldoebern","Aldöbern","MALE","false","1","14","253",,"7","7","0","0.5384615384615384","0.09524882941478911"
"theistiner","Theistiner","MALE","false","3","18","324",,"14","19","0.0010582010582010583","0.6666666666666666","0.22758723203190384"
"ein_diener_2-3","Ein Diener (II/3)","MALE","false","1","2","33",,"5","5","0","0.5185185185185185","0.08352789810200204"
"santing","Santing","MALE","false","4","39","478",,"19","25","0.05903880070546737","0.7567567567567568","0.24991281412573327"
"ein_diener_3-2","Ein Diener (III/2)","MALE","false","1","3","42",,"6","6","0","0.56","0.08057307059904356"
"der_wanderer","Der Wanderer","MALE","false","1","5","94",,"6","6","0","0.56","0.08057307059904356"
"zweiter_wanderer","Zweiter Wanderer","MALE","false","1","2","16",,"6","6","0","0.56","0.08057307059904356"
"die_kammerzofe","Die Kammerzofe","FEMALE","false","1","8","124",,"4","4","0","0.5","0.05765995364553255"
"ein_diener_4-1","Ein Diener (IV/1)","MALE","false","1","2","5",,"4","4","0","0.5","0.057659953645532544"
"barnabe","Barnabe","FEMALE","false","3","50","747",,"13","17","0","0.6511627906976745","0.2125778618992264"
"ursula","Ursula","FEMALE","false","2","16","170",,"13","15","0","0.6511627906976745","0.2125778618992264"
"fintenring","Fintenring","MALE","false","1","13","209",,"2","2","0","0.4827586206896552","0.03580499884525645"
"ein_ritter","Ein Ritter","MALE","false","1","1","20",,"13","13","0","0.6511627906976745","0.2125778618992264"
"alle_5-1","Alle (V/1)","UNKNOWN","true","1","1","6",,"13","13","0","0.6511627906976745","0.2125778618992264"
