id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"aspermonte","Aspermonte","MALE","false","6","67","1404",,"5","10","0.023015873015873017","0.5357142857142857","0.34014901201705217"
"julius","Julius","MALE","false","15","120","4504",,"9","19","0.384920634920635","0.7142857142857143","0.4684980612218848"
"guido","Guido","MALE","false","11","63","2686",,"7","14","0.1865079365079365","0.6","0.40827119501164716"
"erzbischof","Erzbischof","MALE","false","6","37","688",,"4","8","0.03492063492063492","0.5","0.23629977625494805"
"der_fuerst","Der Fürst","MALE","false","13","77","3571",,"7","14","0.31587301587301586","0.6521739130434783","0.3306491495961975"
"caecilia","Cäcilia","FEMALE","false","4","33","620",,"5","5","0.22619047619047616","0.5769230769230769","0.2176750192475419"
"aebtissin","Äbtissin","FEMALE","false","4","23","192",,"2","5","0","0.45454545454545453","0.12801518356758068"
"blanka","Blanka","FEMALE","false","6","41","1609",,"4","6","0.04761904761904762","0.5","0.17699469673325186"
"porzia","Porzia","FEMALE","false","1","4","225",,"1","1","0","0.375","0.04317001236152429"
"ein_alter_bauer","Ein alter Bauer","MALE","false","1","4","92",,"2","2","0","0.4838709677419355","0.15848764262463952"
"ein_bedienter_4-5","Ein Bedienter (IV/5)","MALE","false","1","2","25",,"1","1","0","0.38461538461538464","0.08096821996305877"
"einer_von_den_bewaffneten","Einer von den Bewaffneten","MALE","false","1","1","8",,"4","4","0","0.5","0.3010418114264964"
"marcellus","Marcellus","MALE","false","1","1","3",,"4","4","0","0.5","0.3010418114264964"
"arzt","Arzt","MALE","false","1","4","40",,"1","1","0","0.40540540540540543","0.0655746917671978"
"nonne","Nonne","FEMALE","false","1","3","63",,"2","2","0","0.39473684210526316","0.07827224507166322"
"ein_bedienter_5-5","Ein Bedienter (V/5)","MALE","false","1","1","5",,"2","2","0","0.42857142857142855","0.11243760408923736"
