id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"fiebig","Fiebig","MALE","false","5","276","7445",,"15","35","0.055192743764172346","1","0.30601440236866384"
"hahn","Hahn","MALE","false","5","94","836",,"15","35","0.055192743764172346","1","0.3060144023686639"
"frau_fiebig","Frau Fiebig","FEMALE","false","1","28","322",,"6","6","0","0.625","0.14131211315085307"
"anna","Anna","FEMALE","false","1","10","69",,"6","6","0","0.625","0.1413121131508531"
"meischen","Meischen","FEMALE","false","4","51","983",,"14","28","0.041360544217687076","0.9375","0.29262325656847843"
"gehrke","Gehrke","MALE","false","5","140","3253",,"15","35","0.055192743764172346","1","0.30601440236866384"
"werner","Werner","MALE","false","5","150","2359",,"15","35","0.055192743764172346","1","0.30601440236866384"
"junge","Junge","MALE","false","2","21","171",,"9","15","0.00272108843537415","0.7142857142857143","0.20883850955928038"
"styczinski","Styczinski","MALE","false","3","21","257",,"13","25","0.0199546485260771","0.8823529411764706","0.2838177915925073"
"bellermann","Bellermann","MALE","false","3","39","718",,"13","25","0.0199546485260771","0.8823529411764706","0.2838177915925073"
"gendarm","Gendarm","MALE","false","1","5","53",,"8","8","0","0.6818181818181818","0.19544736375909488"
"amtsvorsteher","Amtsvorsteher","MALE","false","1","14","424",,"10","10","0","0.75","0.23867513691463854"
"schwabe","Schwabe","MALE","false","1","12","76",,"10","10","0","0.75","0.23867513691463857"
"naphtali","Naphtali","MALE","false","1","21","246",,"10","10","0","0.75","0.23867513691463857"
"dienstmann","Dienstmann","MALE","false","1","5","82",,"10","10","0","0.75","0.23867513691463857"
"waschfrau","Waschfrau","FEMALE","false","1","1","21",,"7","7","0","0.6521739130434783","0.17050685790206205"
