id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"bolland","Bolland","MALE","false","6","74","934",,"9","29","0.0010416666666666667","0.6153846153846154","0.31404139912582324"
"beermann","Beermann","MALE","false","18","302","3373",,"13","44","0.396875","0.8421052631578947","0.34092899798973525"
"wasner","Wasner","MALE","false","5","59","1116",,"10","17","0.10104166666666667","0.7272727272727273","0.32322037024051486"
"effie","Effie","FEMALE","false","3","15","114",,"9","16","0.0010416666666666667","0.6153846153846154","0.31404139912582324"
"frau_bolland","Frau Bolland","FEMALE","false","3","23","249",,"9","17","0.0010416666666666667","0.6153846153846154","0.31404139912582324"
"fraeulein_koch-pinneberg","Fräulein Koch-Pinneberg","FEMALE","false","1","3","19",,"8","8","0","0.5925925925925926","0.2853774193697623"
"dobler","Dobler","MALE","false","4","25","329",,"9","21","0.0010416666666666667","0.6153846153846154","0.3140413991258232"
"frau_beermann","Frau Beermann","FEMALE","false","8","66","945",,"9","30","0.0010416666666666667","0.6153846153846154","0.31404139912582324"
"hauser","Hauser","MALE","false","4","91","1070",,"10","18","0.034375","0.64","0.3214703496434479"
"frau_lund","Frau Lund","FEMALE","false","4","60","833",,"8","18","0","0.5925925925925926","0.2853774193697623"
"stroebel","Ströbel","MALE","false","10","260","3252",,"7","17","0.2375","0.64","0.09138248834624726"
"reisacher","Reisacher","MALE","false","5","23","144",,"4","9","0.061111111111111095","0.5714285714285714","0.05230544581137388"
"praesident","Präsident","MALE","false","3","66","1024",,"2","3","0","0.41025641025641024","0.015790938604277806"
"hauteville","Madame Hauteville","FEMALE","false","1","68","900",,"3","3","0","0.42105263157894735","0.01806158682397985"
"schutzmann","Schutzmann","MALE","false","1","1","6",,"3","3","0","0.42105263157894735","0.01806158682397985"
"schmettau","Schmettau","MALE","false","2","34","804",,"3","4","0.030555555555555555","0.5517241379310345","0.05003479759167183"
"betty","Betty","FEMALE","false","2","2","18",,"2","3","0","0.48484848484848486","0.07396204910278578"
