id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"sir_john","Sir John","MALE","false","7","66","1208",,"11","33","0.004451566951566952","0.8666666666666667","0.295523899420149"
"liddy","Liddy","FEMALE","false","18","163","1820",,"12","45","0.07496438746438747","0.9285714285714286","0.3003691294550508"
"der_knabe","Der Knabe","MALE","false","2","23","293",,"2","2","0","0.52","0.05642800682607422"
"samuel","Samuel","MALE","false","14","141","2414",,"12","51","0.05787037037037037","0.9285714285714286","0.3023040149247075"
"mistriss_smith","Mistriss Smith","FEMALE","false","9","71","1409",,"11","42","0.004451566951566952","0.8666666666666667","0.295523899420149"
"gurli","Gurli","FEMALE","false","17","182","2719",,"11","61","0.004451566951566952","0.8666666666666667","0.295523899420149"
"visitator","Visitator","MALE","false","11","47","1321",,"11","39","0.04202279202279202","0.8666666666666667","0.2808976972998424"
"musaffery","Musaffery","MALE","false","7","38","445",,"10","23","0.0014245014245014244","0.8125","0.2734202691049911"
"kaberdar","Kaberdar","MALE","false","12","136","2984",,"12","46","0.07496438746438747","0.9285714285714286","0.3003691294550508"
"jack","Jack","MALE","false","13","38","1067",,"11","50","0.004451566951566952","0.8666666666666667","0.295523899420149"
"robert","Robert","MALE","false","11","104","1611",,"11","46","0.004451566951566952","0.8666666666666667","0.295523899420149"
"fazir","Fazir","MALE","false","8","49","1311",,"9","28","0","0.7647058823529411","0.24930075371122726"
"maester_strussel","Mäster Strussel","MALE","false","3","42","436",,"3","6","0","0.5416666666666666","0.07896082139891457"
"maester_staff","Mäster Staff","MALE","false","8","52","578",,"10","36","0.034188034188034185","0.8125","0.25742032181170094"
