id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"wallenstein","Wallenstein","MALE","false","33","261","9072","Q153545","19","79","0.266527945489046","0.7111111111111111","0.3136932233783788"
"seni","Seni","MALE","false","3","11","169",,"10","12","0.015284178187403992","0.5333333333333333","0.21295779381221575"
"terzky","Terzky","MALE","false","20","74","969",,"12","54","0.024600885686630467","0.5925925925925926","0.2568273094306455"
"illo","Illo","MALE","false","15","66","1198",,"12","53","0.023807234892979673","0.5925925925925926","0.24931963382411698"
"wrangel","Wrangel","MALE","false","1","26","708",,"1","1","0","0.42105263157894735","0.029361760349597383"
"graefin","Gräfin Terzky","FEMALE","false","21","123","2992",,"20","61","0.2000724923400445","0.7272727272727273","0.36959638166972636"
"kammerdiener","Kammerdiener","MALE","false","3","6","31",,"8","10","0.013304757386825697","0.5333333333333333","0.18109306339807552"
"octavio","Octavio","MALE","false","7","78","1426",,"10","12","0.1509131878557875","0.5714285714285714","0.15862321993631662"
"max","Max","MALE","false","7","43","2127",,"9","21","0.01685972287253122","0.5818181818181818","0.19737477342655152"
"adjutant","Adjutant","MALE","false","1","2","5",,"1","1","0","0.367816091954023","0.014847156525271708"
"isolani","Isolani","MALE","false","1","20","339",,"1","1","0","0.367816091954023","0.014847156525271708"
"buttler","Buttler","MALE","false","16","162","2470",,"15","35","0.15542660612632145","0.6274509803921569","0.25821344893897746"
"bedienter_2-6","Bedienter (II/6)","MALE","false","1","1","14",,"2","2","0","0.4050632911392405","0.039015987832897454"
"thekla","Thekla","FEMALE","false","13","90","1385",,"9","28","0.06413224991854025","0.5245901639344263","0.1691617639019929"
"herzogin","Herzogin","FEMALE","false","12","44","708",,"10","43","0.012743373864697392","0.5714285714285714","0.20802623875116516"
"page_3-6","Page (III/6)","MALE","false","1","1","7",,"5","5","0","0.47761194029850745","0.13080281627983428"
"gefreiter","Gefreiter","MALE","false","2","14","411",,"4","5","0.006989247311827957","0.463768115942029","0.06076952452864608"
"zweiter_kuerassier","Zweiter Kürassier","MALE","false","1","1","4",,"3","3","0","0.43243243243243246","0.03866928382443924"
"dritter_kuerassier","Dritter Kürassier","MALE","false","1","3","15",,"3","3","0","0.43243243243243246","0.03866928382443924"
"neumann","Neumann","MALE","false","1","1","26",,"5","5","0","0.47761194029850745","0.12523807948975463"
"gordon","Gordon","MALE","false","13","80","1771",,"16","34","0.10247526429926809","0.64","0.30136981124368506"
"buergermeister","Bürgermeister","MALE","false","2","7","74",,"10","11","0.02275585637480798","0.5517241379310345","0.21307641833392052"
"neubrunn","Neubrunn","MALE","false","5","28","207",,"8","12","0.0551553844900619","0.5161290322580645","0.1522686072858073"
"hauptmann","Hauptmann","MALE","false","1","13","408",,"2","2","0","0.3516483516483517","0.030086046690337303"
"stallmeister","Stallmeister","MALE","false","1","6","31",,"2","2","0","0.3516483516483517","0.030086046690337303"
"geraldin","Geraldin","MALE","false","1","1","4",,"1","1","0","0.3902439024390244","0.024168831307625746"
"macdonald","Macdonald","MALE","false","3","27","251",,"5","10","0.001008064516129032","0.45714285714285713","0.09286677155606507"
"deveroux","Deveroux","MALE","false","3","40","520",,"5","10","0.001008064516129032","0.45714285714285713","0.09286677155606507"
"page_5-10","Page (V/10)","MALE","false","1","1","3",,"8","8","0","0.48484848484848486","0.1641274676854326"
"kammerfrau","Kammerfrau","FEMALE","false","1","1","4",,"8","8","0","0.48484848484848486","0.1641274676854326"
"erster_bedienter","Erster Bedienter","MALE","false","1","1","6",,"8","8","0","0.48484848484848486","0.1641274676854326"
"zweiter_bedienter","Zweiter Bedienter","MALE","false","1","1","7",,"8","8","0","0.48484848484848486","0.1641274676854326"
"hinter_der_szene","Hinter der Szene","UNKNOWN","false","1","1","10",,"8","8","0","0.48484848484848486","0.1641274676854326"
