id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"chor_der_alten_zauberer","Chor der alten Zauberer","MALE","false","1","1","30",,"2","2","0","0.3816793893129771","0.0340193842027963"
"stellaris","Stellaris","MALE","false","7","27","324",,"18","30","0.10206334481844685","0.6024096385542169","0.26671187276336694"
"mystifax","Mystifax","MALE","false","3","6","91",,"12","17","0.009753158406219632","0.43478260869565216","0.16418162290517882"
"lumpazi","Lumpazi","MALE","false","1","11","233",,"9","9","0","0.4032258064516129","0.1280554034163273"
"fludribus","Fludribus","MALE","false","1","5","62",,"9","9","0","0.4032258064516129","0.1280554034163273"
"die_soehne","Die Söhne","MALE","false","1","5","21",,"9","9","0","0.4032258064516129","0.1280554034163273"
"die_vaeter","Die Väter","MALE","false","1","1","1",,"9","9","0","0.4032258064516129","0.1280554034163273"
"hilaris","Hilaris","MALE","false","3","6","55",,"16","24","0.05979247283328913","0.5882352941176471","0.25858018598874216"
"fortuna","Fortuna","FEMALE","false","3","7","249",,"16","24","0.05979247283328913","0.5882352941176471","0.25858018598874216"
"alle_1-2","Alle (I/2)","UNKNOWN","false","1","1","1",,"9","9","0","0.4032258064516129","0.1280554034163273"
"brillantine","Brillantine","FEMALE","false","2","1","4",,"11","15","0.004256559766763849","0.43103448275862066","0.16169230853501226"
"amorosa","Amorosa","FEMALE","false","2","6","95",,"11","15","0.009763318314338723","0.5555555555555556","0.21172905395172378"
"chor","Chor","UNKNOWN","false","4","8","104",,"17","25","0.05756409576817742","0.5952380952380952","0.24795364083280472"
"leim","Leim","MALE","false","17","128","2441",,"26","55","0.14548202137998062","0.6756756756756757","0.2959489263319293"
"knieriem","Knieriem","MALE","false","19","110","2054",,"27","55","0.12511626468769324","0.684931506849315","0.3040981935187548"
"zwirn","Zwirn","MALE","false","26","201","2796",,"39","77","0.4826867214418235","0.819672131147541","0.34825156897584664"
"alle_1-5","Alle (I/5)","UNKNOWN","false","1","1","6",,"6","6","0","0.4854368932038835","0.09884464100029641"
"fassel","Fassel","MALE","false","1","9","106",,"6","6","0","0.4854368932038835","0.09884464100029641"
"hannerl","Hannerl","FEMALE","false","2","3","27",,"7","10","0.0006122448979591836","0.49019607843137253","0.1059711834358914"
"handwerksbursch","Handwerksbursch","MALE","false","1","2","3",,"6","6","0","0.4854368932038835","0.09884464100029641"
"pantsch","Pantsch","MALE","false","2","11","119",,"6","9","0.0005102040816326531","0.49504950495049505","0.10917520131879518"
"stimmen","Stimmen (von außen)","UNKNOWN","false","1","1","5",,"4","4","0","0.47619047619047616","0.08348956874153748"
"sepherl","Sepherl","FEMALE","false","2","6","63",,"6","9","0.00040816326530612246","0.4854368932038835","0.09739056725235988"
"hausierer","Hausierer","MALE","false","1","10","86",,"4","4","0","0.47619047619047616","0.08128781206186295"
"alle_1-8","Alle (I/8)","UNKNOWN","false","1","1","1",,"4","4","0","0.47619047619047616","0.08128781206186295"
"alle_weiber","Alle Weiber","FEMALE","false","1","1","5",,"5","5","0","0.4807692307692308","0.08963613576925679"
"ein_zimmermann","Ein Zimmermann","MALE","false","1","1","7",,"5","5","0","0.4807692307692308","0.08963613576925679"
"alle_1-10","Alle (I/10)","UNKNOWN","false","1","6","22",,"5","5","0","0.49019607843137253","0.10306586916568193"
"fremder","Fremder","MALE","false","2","4","32",,"2","2","0.00020408163265306123","0.3401360544217687","0.013406820844585318"
"gertraud","Gertraud","FEMALE","false","4","11","120",,"5","6","0.019280855199222544","0.4854368932038835","0.08049661196438349"
"hobelmann","Hobelmann","MALE","false","7","55","914",,"7","14","0.028960155490767737","0.49504950495049505","0.08931279523446878"
"peppi","Peppi","FEMALE","false","4","19","243",,"6","10","0.008551992225461614","0.49019607843137253","0.0883317492678767"
"alle_2-7","Alle (II/7)","UNKNOWN","false","1","4","8",,"4","4","0","0.42016806722689076","0.04059631002140296"
"strudl","Strudl","MALE","false","1","1","15",,"4","4","0","0.42016806722689076","0.04059631002140296"
"erster_bedienter","Erster Bedienter","MALE","false","2","7","54",,"7","8","0.0036734693877551023","0.4807692307692308","0.0523915558483136"
"erster_gesell","Erster Gesell","MALE","false","1","3","16",,"4","4","0","0.4672897196261682","0.037562949646603325"
"zweiter_gesell","Zweiter Gesell","MALE","false","1","2","13",,"4","4","0","0.4672897196261682","0.037562949646603325"
