id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"schladritz","Schladritz","MALE","false","17","155","1809",,"13","101","0.002331002331002331","1","0.2721432660150802"
"gottsched","Gottsched","MALE","false","29","348","4797","Q76442","13","152","0.002331002331002331","1","0.2721432660150802"
"frau_gottsched","Frau Gottsched","FEMALE","false","28","176","2056","Q65863","13","149","0.002331002331002331","1","0.2721432660150802"
"bolza","Graf Bolza","MALE","false","18","114","2069","Q15977488","13","105","0.002331002331002331","1","0.2721432660150802"
"gottfried","Gottfried","MALE","false","3","36","549",,"11","21","0","0.8666666666666667","0.2350142353622696"
"gellert","Gellert","MALE","false","21","187","3773","Q60584","13","128","0.002331002331002331","1","0.2721432660150802"
"cato","Cato","MALE","false","24","179","4112",,"13","138","0.002331002331002331","1","0.2721432660150802"
"wilhelmine","Wilhelmine","FEMALE","false","14","67","896",,"13","93","0.002331002331002331","1","0.2721432660150802"
"graefin","Gräfin","FEMALE","false","13","56","920",,"13","99","0.002331002331002331","1","0.2721432660150802"
"katharina","Katharina","FEMALE","false","9","46","713",,"13","67","0.002331002331002331","1","0.2721432660150802"
"siegmund","Siegmund","MALE","false","7","74","1676",,"13","59","0.002331002331002331","1","0.2721432660150802"
"prinz","Prinz Heinrich","MALE","false","3","73","2236","Q50993","13","32","0.002331002331002331","1","0.2721432660150802"
"zastrow","Zastrow","MALE","false","2","17","289",,"12","21","0","0.9285714285714286","0.2550360558491541"
"wedell","Wedell","MALE","false","2","2","10",,"12","21","0","0.9285714285714286","0.2550360558491541"
