id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"lieschen","Lieschen","FEMALE","false","14","45","1850",,"25","60","0.030058614183444562","0.6146788990825688","0.21618370114213506"
"faust","Faust","MALE","false","24","149","4966","Q76918","49","107","0.23063832744972496","0.788235294117647","0.275664185030955"
"gesang_hoellischer_geister","Gesang höllischer Geister","UNKNOWN","true","1","1","192",,"3","3","0","0.475177304964539","0.03234439339476822"
"mephistopheles","Mephistopheles","MALE","false","12","67","3235",,"32","53","0.16455251618073868","0.6568627450980392","0.14130338263399722"
"valentin","Valentin","MALE","false","22","130","3070",,"51","112","0.2810945599955099","0.8072289156626506","0.2827450518884967"
"unsichtbare_gute_geister","Unsichtbare gute Geister","UNKNOWN","true","6","9","488",,"19","28","0.028035409989277022","0.5826086956521739","0.09971092353139069"
"selige_knaben","Selige Knaben","MALE","true","3","10","121",,"23","28","0.022256355634917364","0.6036036036036037","0.21260505540817246"
"karlchen","Karlchen","MALE","false","2","2","21",,"7","10","0.0013001371210326434","0.48905109489051096","0.052159312678856325"
"fritzchen","Fritzchen","MALE","false","2","3","27",,"7","10","0.0013001371210326434","0.48905109489051096","0.052159312678856325"
"gustelchen","Gustelchen","MALE","false","1","1","2",,"4","4","0","0.4407894736842105","0.023408437431331124"
"eine_tiefe_furchtbare_bassstimme","Eine tiefe, furchtbare Bassstimme","UNKNOWN","false","1","3","107",,"2","2","0","0.44666666666666666","0.02512587734502389"
"kaminfeger","Kaminfeger","MALE","false","1","1","25",,"3","3","0","0.4962962962962963","0.039569912025215086"
"mutter_a","Mutter A","FEMALE","false","3","12","467",,"9","16","0.0006525812495961748","0.536","0.06421434943313453"
"mutter_b","Mutter B","FEMALE","false","3","2","198",,"9","16","0.0006525812495961748","0.536","0.06421434943313453"
"mutter_c","Mutter C","FEMALE","false","3","2","204",,"9","16","0.0006525812495961748","0.536","0.06421434943313453"
"helena","Helena","FEMALE","false","2","10","361","Q164061","4","5","0","0.5037593984962406","0.03542994113511573"
"euphorion","Euphorion","MALE","false","1","5","208",,"4","4","0","0.5037593984962406","0.03542994113511573"
"maennchen","Männchen","MALE","false","1","2","52",,"3","3","0","0.4962962962962963","0.03051928355980264"
"der_bauer","Der Bauer","MALE","false","2","6","158",,"6","8","0.0005427408412483039","0.5114503816793893","0.039013553050680064"
"die_gestalt","Die Gestalt","MALE","false","1","3","96",,"5","5","0","0.5075757575757576","0.03753024838857068"
"der_mann_mit_stierkopf","Der Mann mit Stierkopf","MALE","false","1","1","35",,"5","5","0","0.5075757575757576","0.03753024838857068"
"stimme_2-8","Stimme (II/8)","UNKNOWN","false","1","2","18",,"6","6","0","0.5075757575757576","0.04147724401348354"
"schemen","Schemen","UNKNOWN","false","1","8","748",,"6","6","0","0.5075757575757576","0.04147724401348354"
"hund","Der große Hund","MALE","false","2","2","323",,"12","15","0.002360491912730719","0.5491803278688525","0.07067940054046759"
"fuchs","Der kleine Fuchs","MALE","false","2","2","307",,"12","15","0.002360491912730719","0.5491803278688525","0.07067940054046759"
"katzen","Eine Meute rotgestreifter Katzen","UNKNOWN","true","2","1","45",,"12","15","0.002360491912730719","0.5491803278688525","0.07067940054046759"
"erster_mann","Erster Mann","MALE","false","1","1","87",,"8","8","0","0.5193798449612403","0.05734667319953071"
"zweiter_mann","Zweiter Mann","MALE","false","1","1","112",,"8","8","0","0.5193798449612403","0.05734667319953071"
"chorus_mysticus","Chorus Mysticus","UNKNOWN","true","2","2","50",,"24","26","0.013116432790788292","0.5982142857142857","0.21446681158534842"
"stimme_des_herrn","Stimme des Herrn","MALE","false","1","7","109",,"2","2","0","0.40119760479041916","0.007607132176461985"
"erzengel_michael","Erzengel Michael","MALE","false","1","1","159",,"2","2","0","0.40119760479041916","0.007607132176461985"
"baerbelchen","Bärbelchen/Bärbel","FEMALE","false","11","38","773",,"36","65","0.11597407818574713","0.6836734693877551","0.246535188189787"
"dr_marianus","Dr. Marianus","MALE","false","6","38","1693",,"27","47","0.04374683058536517","0.6261682242990654","0.22128544980620585"
"pater_ecstaticus","Pater Ecstaticus","MALE","false","3","5","320",,"18","31","0","0.5630252100840336","0.1946834294476716"
"pater_profundus","Pater Profundus","MALE","false","3","5","334",,"18","31","0","0.5630252100840336","0.1946834294476716"
"pater_seraphicus","Pater Seraphicus","MALE","false","3","7","382",,"18","31","0","0.5630252100840336","0.1946834294476716"
"seismos","Seismos","MALE","false","1","1","19",,"10","10","0","0.5","0.0507546994946924"
"thales","Thales","MALE","false","1","1","11",,"10","10","0","0.5","0.0507546994946924"
"nereide","Nereide","FEMALE","false","1","1","19",,"10","10","0","0.5","0.0507546994946924"
"zwei_tritonen","Zwei Tritonen","UNKNOWN","true","1","1","43",,"10","10","0","0.5","0.0507546994946924"
"pindaros","Pindaros","MALE","false","1","1","14",,"10","10","0","0.5","0.0507546994946924"
"werner","Werner","MALE","false","1","1","30",,"10","10","0","0.5","0.0507546994946924"
"lyell","Lyell","MALE","false","1","1","29",,"10","10","0","0.5","0.0507546994946924"
"priesnitz","Priesnitz","MALE","false","1","2","102",,"10","10","0","0.5","0.0507546994946924"
"homunculus","Homunculus","MALE","false","1","1","86",,"2","2","0","0.42138364779874216","0.012312244079942284"
"chor_a","Chor A","UNKNOWN","true","1","2","23",,"18","18","0","0.5630252100840336","0.1946834294476716"
"chor_b","Chor B","UNKNOWN","true","1","2","23",,"18","18","0","0.5630252100840336","0.1946834294476716"
"stiefel_a","Stiefel A","UNKNOWN","false","1","2","30",,"18","18","0","0.5630252100840336","0.19468342944767159"
"stiefel_b","Stiefel B","UNKNOWN","false","1","2","29",,"18","18","0","0.5630252100840336","0.1946834294476716"
"stiefelknecht","Stiefelknecht","MALE","false","1","2","17",,"18","18","0","0.5630252100840336","0.19468342944767159"
"null","Null","UNKNOWN","false","1","1","14",,"18","18","0","0.5630252100840336","0.1946834294476716"
"juenglingsgeister","Jünglingsgeister","MALE","true","1","1","1",,"18","18","0","0.5630252100840336","0.1946834294476716"
"vollendetere_frauengeister","Vollendetere Frauengeister","FEMALE","true","1","1","3",,"18","18","0","0.5630252100840336","0.1946834294476716"
"greisengeister","Greisengeister","MALE","true","1","1","3",,"18","18","0","0.5630252100840336","0.1946834294476716"
"denkerke","Denkerke","MALE","false","2","52","2458",,"11","19","0","0.48201438848920863","0.05005026926041209"
"gruebelwitz","Grübelwitz","MALE","false","2","16","492",,"11","19","0","0.48201438848920863","0.05005026926041209"
"broesamle","Brösamle","MALE","false","2","16","648",,"11","19","0","0.48201438848920863","0.05005026926041209"
"hascherl","Hascherl","MALE","false","2","8","311",,"11","19","0","0.48201438848920863","0.05005026926041209"
"deuterke","Deuterke","MALE","false","2","16","537",,"11","19","0","0.48201438848920863","0.05005026926041209"
"scharrer","Scharrer","MALE","false","2","8","455",,"11","19","0","0.48201438848920863","0.05005026926041209"
"karrer","Karrer","MALE","false","2","12","473",,"11","19","0","0.48201438848920863","0.05005026926041209"
"mr_wedge","Mr. Wedge","MALE","false","1","8","324",,"11","11","0","0.48201438848920863","0.05005026926041209"
