id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"danton","Danton","MALE","false","2","107","1493",,"18","25","0.0014439608854502472","0.6153846153846154","0.04664640395935547"
"talleyrand","Talleyrand","MALE","false","5","70","819",,"48","76","0.16272182309416358","1","0.21269103901202951"
"henriot","Henriot","MALE","false","2","32","363",,"18","25","0.0014439608854502472","0.6153846153846154","0.04664640395935547"
"theroigne","Theroigne","MALE","false","2","28","270",,"18","25","0.0014439608854502472","0.6153846153846154","0.04664640395935547"
"barras","Barras","MALE","false","5","129","1401",,"48","76","0.16272182309416358","1","0.21269103901202943"
"collot","Collot","MALE","false","3","55","758",,"21","35","0.005585298271468483","0.64","0.05621747000284962"
"alle-stimmen-geschrei_1","Alle/Stimmen/Geschrei (I. Akt)","UNKNOWN","true","1","9","51",,"16","16","0","0.6","0.038480117038539104"
"hoche","Hoche","MALE","false","2","27","253",,"18","25","0.0014439608854502472","0.6153846153846154","0.04664640395935547"
"biron","Biron","MALE","false","2","12","228",,"20","26","0.004092981486598508","0.631578947368421","0.05508274952221153"
"marie","Marie","FEMALE","false","1","18","224",,"16","16","0","0.6","0.038480117038539104"
"st_just","St. Just","MALE","false","3","62","721",,"21","35","0.005585298271468483","0.64","0.05621747000284962"
"frau_roland","Frau Roland","MALE","false","1","22","248",,"16","16","0","0.6","0.038480117038539104"
"condorcet","Condorcet","MALE","false","2","20","215",,"20","26","0.004092981486598508","0.631578947368421","0.05508274952221153"
"marat","Marat","MALE","false","1","21","483",,"16","16","0","0.6","0.038480117038539104"
"sanskulott","Ein Sanskulott","MALE","false","2","8","71",,"20","26","0.004092981486598508","0.631578947368421","0.05508274952221153"
"andre_stimme_1","Andre Stimme","MALE","false","1","1","4",,"16","16","0","0.6","0.038480117038539104"
"stimme_1","Stimme","MALE","false","1","1","3",,"16","16","0","0.6","0.038480117038539104"
"madame_tallien","Madame Tallien","FEMALE","false","4","24","200",,"42","60","0.08748522458628837","0.8888888888888888","0.20476223111441877"
"stimme_draussen_1","Stimme (draußen)","MALE","false","1","3","7",,"9","9","0","0.5517241379310345","0.033042771658635534"
"theos","Theos","FEMALE","false","1","13","195",,"10","10","0","0.5581395348837209","0.040746334834238535"
"lenchen","Lenchen","FEMALE","false","1","12","249",,"10","10","0","0.5581395348837209","0.040746334834238535"
"bonaparte","Bonaparte","MALE","false","3","124","1647",,"37","51","0.04543439716312057","0.8135593220338984","0.19721990384341836"
"carnot","Carnot","MALE","false","2","53","524",,"30","41","0.0035460992907801413","0.7272727272727273","0.18488540722960956"
"die_dame","Die Dame","FEMALE","false","1","3","24",,"14","14","0","0.5853658536585366","0.08830018698919889"
"der_betrunkene","Der Betrunkene","MALE","false","1","1","32",,"14","14","0","0.5853658536585366","0.08830018698919889"
"redakteur","Redakteur","MALE","false","2","16","167",,"30","41","0.0035460992907801413","0.7272727272727273","0.18488540722960956"
"menou","Menou","MALE","false","2","21","167",,"30","41","0.0035460992907801413","0.7272727272727273","0.18488540722960956"
"josefine","Josefine","FEMALE","false","2","70","689",,"30","41","0.0035460992907801413","0.7272727272727273","0.18488540722960956"
"junot","Junot","MALE","false","2","18","109",,"30","41","0.0035460992907801413","0.7272727272727273","0.18488540722960956"
"duroc","Duroc","MALE","false","2","14","74",,"30","41","0.0035460992907801413","0.7272727272727273","0.18488540722960956"
"murat","Murat","MALE","false","2","22","182",,"30","41","0.0035460992907801413","0.7272727272727273","0.18488540722960956"
"talma","Talma","MALE","false","2","10","224",,"30","41","0.0035460992907801413","0.7272727272727273","0.18488540722960956"
"alle-die-gaeste_4","Alle/Die Gäste (IV. Akt)","UNKNOWN","true","1","4","12",,"14","14","0","0.5853658536585366","0.08830018698919889"
"rufe-stimmen-viele-alle_5","Rufe/(Viele) Stimmen/Alle (V. Akt)","UNKNOWN","true","1","19","61",,"27","27","0","0.6956521739130435","0.17578871373001376"
"eine_stimme_5a","Eine Stimme","MALE","false","1","1","3",,"27","27","0","0.6956521739130435","0.17578871373001376"
"eine_andere_stimme_5b","Eine andere Stimme","MALE","false","1","1","6",,"27","27","0","0.6956521739130435","0.17578871373001376"
"eine_stimme_5c","Eine Stimme","MALE","false","1","1","11",,"27","27","0","0.6956521739130435","0.17578871373001376"
"stimme_5d","Stimme","MALE","false","1","1","9",,"27","27","0","0.6956521739130435","0.17578871373001376"
"anderer_5e","Anderer","MALE","false","1","1","5",,"27","27","0","0.6956521739130435","0.17578871373001376"
"eine_stimme_5f","Eine Stimme","MALE","false","1","1","6",,"27","27","0","0.6956521739130435","0.17578871373001376"
"ein_anderer_5g","Ein Anderer","MALE","false","1","1","3",,"27","27","0","0.6956521739130435","0.17578871373001376"
"ein_dritter_5h","Ein Dritter","MALE","false","1","1","3",,"27","27","0","0.6956521739130435","0.17578871373001376"
"eine_stimme_5i","Eine Stimme","MALE","false","1","1","8",,"27","27","0","0.6956521739130435","0.17578871373001376"
"gaparins_stimme","Gaparin's Stimme","UNKNOWN","false","1","1","1",,"27","27","0","0.6956521739130435","0.17578871373001376"
"eine_stimme_5j","Eine Stimme","MALE","false","1","1","5",,"27","27","0","0.6956521739130435","0.17578871373001376"
"eine_andere_5k","Eine Andere","MALE","false","1","1","3",,"27","27","0","0.6956521739130435","0.17578871373001376"
"eine_dritte_5l","Eine Dritte","MALE","false","1","1","8",,"27","27","0","0.6956521739130435","0.17578871373001376"
"eine_laute_stimme","Eine laute Stimme","MALE","false","1","1","2",,"27","27","0","0.6956521739130435","0.17578871373001376"
"ein_ordonnanzoffizier","Ein Ordonnanzoffizier","MALE","false","1","1","22",,"27","27","0","0.6956521739130435","0.17578871373001376"
