id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"frau_von_wichmann","Frau von Wichmann","FEMALE","false","14","45","1308",,"6","17","0.05185185185185185","0.75","0.4117014180908861"
"julie","Julie","FEMALE","false","16","66","3515",,"6","19","0.05185185185185185","0.75","0.4117014180908861"
"wohlau","Herr von Wohlau","MALE","false","20","70","2283",,"7","23","0.274074074074074","0.8181818181818182","0.4247979825716868"
"der_capitain","Der Capitain","MALE","false","5","30","1839",,"3","6","0","0.5294117647058824","0.23924972579689177"
"peter","Peter","MALE","false","10","38","644",,"6","9","0.25","0.75","0.35886690039944985"
"werneck","Werneck","MALE","false","3","14","449",,"2","4","0","0.5","0.09806866269289614"
"belmont","Belmont","MALE","false","7","39","1361",,"3","6","0.03333333333333333","0.5294117647058824","0.1527673250725448"
"dalton","Dalton","FEMALE","false","9","34","1105",,"5","13","0.005555555555555556","0.6923076923076923","0.3732192378271398"
"woldemar","Woldemar","MALE","false","7","36","1340",,"5","8","0.08333333333333333","0.6923076923076923","0.3400690873598357"
"der_bediente","Der Bediente","MALE","false","2","2","53",,"1","1","0","0.47368421052631576","0.08142341995101081"
