id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"isabella","Isabella","FEMALE","false","12","98","5394",,"8","28","0.013524955436720141","0.6538461538461539","0.3265787390951093"
"diego","Diego","MALE","false","4","31","524",,"6","9","0.005013368983957219","0.6071428571428571","0.2509799113706891"
"erster_chor","Erster Chor","MALE","true","8","34","999",,"8","24","0.019607843137254905","0.6538461538461539","0.3147310898100656"
"zweiter_chor","Zweiter Chor","MALE","true","6","27","424",,"9","18","0.06082887700534759","0.68","0.32987837893556965"
"chor","Der ganze Chor","MALE","true","15","56","1985",,"16","37","0.6140151515151514","0.9444444444444444","0.41798700803406247"
"einer_aus_dem_chor_1-3","Einer aus dem Chor (I/3)","MALE","false","1","1","120",,"4","4","0","0.5666666666666667","0.162807725482244"
"ein_zweiter_1-3","Ein Zweiter (I/3)","MALE","false","1","1","98",,"4","4","0","0.5666666666666667","0.16280772548224395"
"don_manuel","Don Manuel","MALE","false","9","91","2455",,"8","22","0.03380124777183601","0.6538461538461539","0.32112512061905235"
"don_cesar","Don Cesar","MALE","false","13","90","3435",,"8","32","0.03380124777183601","0.6538461538461539","0.32112512061905235"
"bote_1-6","Bote (I/6)","MALE","false","1","4","79",,"3","3","0","0.4473684210526316","0.12915699546603182"
"einer_aus_dem_chor_1-8","Einer aus dem Chor (I/8)","MALE","false","1","2","201",,"3","3","0","0.53125","0.07563133529944911"
"ein_zweiter_1-8","Ein Zweiter (I/8)","MALE","false","1","2","180",,"3","3","0","0.53125","0.07563133529944911"
"ein_dritter_1-8","Ein Dritter (I/8)","MALE","false","1","2","201",,"3","3","0","0.53125","0.07563133529944911"
"beatrice","Beatrice","FEMALE","false","10","61","1778",,"8","22","0.013524955436720141","0.6538461538461539","0.3265787390951093"
"einer_aus_dem_chor_3-5","Einer aus dem Chor (III/5)","MALE","false","1","2","91",,"3","3","0","0.53125","0.07563133529944911"
"ein_zweiter_3-5","Ein Zweiter (III/5)","MALE","false","1","2","101",,"3","3","0","0.53125","0.07563133529944911"
"ein_dritter_3-5","Ein Dritter (III/5)","MALE","false","1","2","217",,"3","3","0","0.53125","0.07563133529944911"
"bote_4-2_und_4-3","Bote (IV/2–3)","MALE","false","2","6","126",,"4","5","0","0.5483870967741935","0.1756578374895808"
