id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"kissling","Kißling","MALE","false","12","73","1027",,"18","48","0.16695906432748542","0.95","0.30494663643362435"
"kellner_1-1","Kellner (I/1)","MALE","false","1","1","2",,"3","3","0","0.5277777777777778","0.04317003010693814"
"groeber","Gröber","MALE","false","5","23","238",,"7","12","0.014230019493177388","0.59375","0.12409709205624801"
"jean","Jean","MALE","false","2","13","75",,"7","8","0.014619883040935672","0.59375","0.10802221199290538"
"bernhardy","Bernhardy","MALE","false","7","66","1349",,"13","24","0.025438596491228066","0.76","0.2556175575639471"
"josephine","Josephine","FEMALE","false","7","62","942",,"14","30","0.03635477582846003","0.7916666666666666","0.26485049675800443"
"erster_gast_2-2","Erster Gast (II/2)","MALE","false","1","1","2",,"5","5","0","0.5588235294117647","0.09557733087785292"
"eugen","Eugen","MALE","false","6","60","686",,"13","30","0.025438596491228066","0.76","0.2556175575639471"
"ulrike","Ulrike","FEMALE","false","17","100","1001",,"15","50","0.04873294346978557","0.8260869565217391","0.28242048640030865"
"ida","Ida","FEMALE","false","12","59","436",,"15","45","0.04873294346978557","0.8260869565217391","0.2824204864003087"
"franziska","Franziska","FEMALE","false","4","14","267",,"15","24","0.04873294346978557","0.8260869565217391","0.2824204864003087"
"kellner_2-3","Kellner (II/3)","MALE","false","1","2","5",,"3","3","0","0.48717948717948717","0.06810304800042521"
"alfred","Alfred","MALE","false","11","97","1219",,"15","43","0.03235867446393762","0.8260869565217391","0.28658659764535654"
"klapproth","Klapproth","MALE","false","23","256","3882",,"15","65","0.03235867446393762","0.8260869565217391","0.28658659764535654"
"erster_gast_2-5","Erster Gast (II/5)","MALE","false","1","2","21",,"8","8","0","0.6333333333333333","0.16525267680921682"
"zweiter_gast","Zweiter Gast","MALE","false","1","1","11",,"8","8","0","0.6333333333333333","0.16525267680921682"
"blumenmaedchen","Blumenmädchen","FEMALE","false","1","2","2",,"8","8","0","0.6333333333333333","0.16525267680921682"
"schoeller","Schöller","MALE","false","7","44","817",,"12","28","0.008966861598440547","0.7307692307692307","0.24970239989073167"
"amalie","Amalie","FEMALE","false","5","30","597",,"11","19","0","0.7037037037037037","0.24046946069667427"
"friederike","Friederike","FEMALE","false","2","17","132",,"11","13","0","0.7037037037037037","0.24046946069667427"
