id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"speth","Speth","MALE","false","8","171","3181",,"7","11","0.2777777777777778","0.8181818181818182","0.30041383760916396"
"frau_speth","Frau Speth","FEMALE","false","1","34","801",,"1","1","0","0.47368421052631576","0.045235004792841906"
"willibald","Willibald","MALE","false","5","153","1997",,"7","16","0.022222222222222223","0.8181818181818182","0.36679582371548725"
"ein_diener","Ein Diener","MALE","false","3","7","51",,"7","10","0.022222222222222223","0.8181818181818182","0.36679582371548725"
"ida","Ida","FEMALE","false","6","57","603",,"7","18","0.022222222222222223","0.8181818181818182","0.36679582371548725"
"claudine","Claudine Briesen","FEMALE","false","3","87","1823",,"6","13","0","0.6923076923076923","0.3274807778562156"
"frau_von_austen","Frau von Austen","FEMALE","false","4","25","493",,"6","15","0","0.6923076923076923","0.3274807778562156"
"sonderrath","Sonderrath","MALE","false","5","126","1473",,"7","16","0.022222222222222223","0.8181818181818182","0.36679582371548725"
"seybold","Seybold","MALE","false","6","93","1061",,"8","16","0.13333333333333333","0.9","0.38020804384405427"
"frau_von_thielen","Frau von Thielen","FEMALE","false","1","10","84",,"2","2","0","0.5625","0.10248482326417432"
