id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"frau_ermischer","Frau Ermischer","FEMALE","false","1","71","1211",,"8","8","0","0.625","0.12296434637833513"
"maari","Maari","FEMALE","false","1","16","127",,"8","8","0","0.625","0.12296434637833513"
"ermischer","Ermischer","MALE","false","4","176","2308",,"20","41","0.03771929824561404","1","0.2673049504642901"
"ulbrich","Ulbrich","MALE","false","4","81","1250",,"20","41","0.03771929824561404","1","0.26730495046429004"
"seifert","Seifert","MALE","false","4","118","1481",,"20","41","0.03771929824561404","1","0.26730495046429004"
"weigel","Gendarm Weigel","MALE","false","4","144","2311",,"20","41","0.03771929824561404","1","0.26730495046429004"
"neubert","Neubert","MALE","false","4","95","1557",,"20","41","0.03771929824561404","1","0.26730495046429004"
"frau_neubert","Frau Neubert","FEMALE","false","2","24","658",,"15","21","0.010526315789473682","0.8","0.2128471118464717"
"neumerkel","Neumerkel","MALE","false","4","70","1101",,"20","41","0.03771929824561404","1","0.26730495046429004"
"heinerle","Heinerle","MALE","false","1","5","156",,"13","13","0","0.7407407407407407","0.19818592644222188"
"fraenzel","Fränzel","FEMALE","false","1","1","94",,"13","13","0","0.7407407407407407","0.19818592644222188"
"liesel","Liesel","FEMALE","false","1","0","88",,"13","13","0","0.7407407407407407","0.19818592644222188"
"frau_schoenherr","Frau Schönherr","FEMALE","false","2","52","825",,"14","21","0.0029239766081871348","0.7692307692307693","0.2096736427759265"
"gertrud","Gertrud","FEMALE","false","1","9","64",,"13","13","0","0.7407407407407407","0.19818592644222188"
"schoenherr","Meister Schönherr","MALE","false","2","70","1090",,"18","25","0.018421052631578942","0.9090909090909091","0.25264376506004027"
"frau_ulbrich","Frau Ulbrich","FEMALE","false","3","17","249",,"18","33","0.018421052631578942","0.9090909090909091","0.25264376506004027"
"frau_seifert","Frau Seifert","FEMALE","false","2","134","2024",,"13","20","0.002339181286549708","0.7407407407407407","0.1926950032910404"
"die_waldarbeiter","Die Waldarbeiter","MALE","true","1","2","88",,"12","12","0","0.7142857142857143","0.18019519706909515"
"ein_bauer","Ein Bauer","MALE","false","1","1","18",,"12","12","0","0.7142857142857143","0.18019519706909515"
"die_schnitzler_schnitzlersleute","Die Schnitzler/Schnitzlersleute","MALE","true","1","1","63",,"12","12","0","0.7142857142857143","0.18019519706909515"
"die_bauern","Die Bauern","MALE","true","1","4","111",,"12","12","0","0.7142857142857143","0.18019519706909515"
