id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"die_maedchen","Die Mädchen","FEMALE","false","2","3","54",,"7","10","0.014778325123152709","0.40349974266598043","0.06271567478575531"
"die_bauernbursche","Die Bauernbursche","MALE","false","1","2","49",,"4","4","0","0.2970822281167109","0.02730581253563075"
"christoph","Christoph","MALE","false","2","8","71",,"7","10","0.014778325123152709","0.40349974266598043","0.06271567478575531"
"hanns","Hanns","MALE","false","2","4","29",,"7","10","0.014778325123152709","0.40349974266598043","0.06271567478575531"
"hannerl","Hannerl","FEMALE","false","2","4","36",,"7","10","0.014778325123152709","0.40349974266598043","0.06271567478575531"
"salome","Salome","FEMALE","false","10","84","1971",,"12","19","0.3620689655172414","0.5752017608217168","0.24066341219486495"
"seppel","Seppel","MALE","false","1","2","18",,"6","6","0","0.3975659229208925","0.060035215450728555"
"alle_1-2","Alle (I/2)","UNKNOWN","false","1","1","7",,"6","6","0","0.3975659229208925","0.060035215450728555"
"flora","Flora","FEMALE","false","23","124","1820",,"17","54","0.235960591133005","0.6758620689655173","0.37790660888212757"
"plutzerkern","Plutzerkern","MALE","false","13","58","794",,"8","23","0.14388341543513958","0.4827586206896552","0.14947765122582463"
"titus","Titus","MALE","false","49","306","7070",,"17","77","0.19716748768472908","0.6758620689655173","0.3775891274583538"
"marquis","Marquis","MALE","false","6","42","739",,"6","11","0","0.4431882419446015","0.20387967567369136"
"constantia","Constantia","FEMALE","false","19","101","1234",,"15","49","0.12450738916256153","0.6436781609195402","0.3616370906090452"
"erster_knecht_1-22","Erster Knecht (I/22)","MALE","false","1","1","4",,"3","3","0","0.4224137931034483","0.12159167101969529"
"die_knechte_1-23","Die Knechte (I/23)","MALE","false","1","3","8",,"4","4","0","0.42911877394636017","0.13644240823328227"
"chor_1-23","Chor (I/23)","UNKNOWN","false","1","1","19",,"4","4","0","0.42911877394636017","0.13644240823328227"
"chor_2-1","Chor (II/1)","UNKNOWN","false","1","1","51",,"4","4","0","0.33793103448275863","0.030152665685254796"
"erster_knecht_2-1","Erster Knecht (II/1)","MALE","false","1","3","27",,"4","4","0","0.33793103448275863","0.030152665685254796"
"alle_2-1","Alle (II/1)","UNKNOWN","false","1","2","7",,"4","4","0","0.33793103448275863","0.030152665685254796"
"die_knechte_2-1_und_2-2","Die Knechte (II/1 und II/2)","MALE","false","2","3","13",,"5","6","0.03879310344827586","0.4505747126436782","0.06724751343348258"
"frau_von_cypressenburg","Frau von Cypressenburg","FEMALE","false","16","88","1027",,"11","43","0.032758620689655175","0.5517241379310345","0.3082432635655793"
"emma","Emma","FEMALE","false","4","7","145",,"6","10","0","0.4431882419446015","0.20387967567369136"
"chor_2-23","Chor (II/23)","UNKNOWN","false","1","1","32",,"0","0","0","0","1.3007053731956104E-31"
"alle_2-24_bis_2-27","Alle (II/24 bis II/27)","UNKNOWN","false","4","8","17",,"8","17","0.001970443349753695","0.45821157218001174","0.2439047987762777"
"herr_von_platt","Herr von Platt","MALE","false","2","5","42",,"6","8","0","0.4431882419446015","0.20387967567369136"
"chor_der_gesellschaft","Chor der Gesellschaft","UNKNOWN","false","1","1","13",,"6","6","0","0.4431882419446015","0.20387967567369136"
"georg","Georg","MALE","false","3","15","219",,"3","4","0","0.4431882419446015","0.09849965606542442"
"spund","Spund","MALE","false","5","55","1005",,"7","16","0.015599343185550082","0.5100845803513337","0.21053508615198713"
"konrad","Konrad","MALE","false","3","5","70",,"2","4","0","0.4096133751306165","0.06401302148177561"
"notarius","Notarius","MALE","false","1","0","3",,"6","6","0","0.5006385696040868","0.20425164573080473"
