id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"erster_engel","Erster Engel","UNKNOWN","false","2","23","251",,"11","13","0.007751937984496123","0.3620364550597109","0.000005143396288203102"
"zweiter_engel","Zweiter Engel","UNKNOWN","false","2","19","225",,"11","13","0.007751937984496123","0.3620364550597109","0.000005143396288203101"
"dritter_engel","Dritter Engel","UNKNOWN","false","2","40","338",,"11","13","0.007751937984496123","0.3620364550597109","0.000005143396288203102"
"zwei_aeltere_engel","Zwei ältere Engel","UNKNOWN","true","1","2","11",,"3","3","0","0.2309542902967121","0.000001270633864174867"
"gott_vater","Gott Vater","MALE","false","5","55","742",,"22","27","0.09007013658176449","0.5152057245080501","0.000010222792924556792"
"cherubim","Cherubim","UNKNOWN","false","4","29","217",,"21","24","0.07050572166851235","0.49612403100775193","0.000010089975384539888"
"ein_engel_1-2a","Ein Engel","UNKNOWN","false","1","1","2",,"11","11","0","0.34347048300536676","0.0000064614271238040264"
"ein_engel_1-2b","Ein Engel","UNKNOWN","false","1","1","2",,"11","11","0","0.34347048300536676","0.0000064614271238040264"
"ein_engel_1-2c","Ein Engel","UNKNOWN","false","1","1","2",,"11","11","0","0.34347048300536676","0.0000064614271238040264"
"ein_engel_1-2d","Ein Engel","UNKNOWN","false","1","1","2",,"11","11","0","0.34347048300536676","0.0000064614271238040264"
"ein_engel_1-2e","Ein Engel","UNKNOWN","false","1","1","2",,"11","11","0","0.34347048300536676","0.0000064614271238040264"
"ein_engel_1-2f","Ein Engel","UNKNOWN","false","1","1","2",,"11","11","0","0.34347048300536676","0.0000064614271238040264"
"ein_engel_1-2g","Ein Engel","UNKNOWN","false","1","1","2",,"11","11","0","0.34347048300536676","0.0000064614271238040264"
"ein_engel_1-2h","Ein Engel","UNKNOWN","false","1","1","2",,"11","11","0","0.34347048300536676","0.0000064614271238040264"
"verschiedene_engel_alle_engel_1-2","Verschiedene Engel/Alle Engel (I/2)","UNKNOWN","true","1","3","35",,"11","11","0","0.34347048300536676","0.0000064614271238040264"
"ein_engel_1-2i","Ein Engel","UNKNOWN","false","1","1","2",,"11","11","0","0.34347048300536676","0.0000064614271238040264"
"bote","Bote","MALE","false","1","1","212",,"2","2","0","0.27906976744186046","0.0000016727006809869338"
"die_vorauseilenden_aelteren_juengeren_engel_1-5","Die vorauseilenden Engel/Die Engel/Die älteren Engel/Die jüngeren Engel
              (I/5)","UNKNOWN","true","1","4","23",,"10","10","0","0.35250917992656056","0.0000050467237748067755"
"maria","Maria","FEMALE","false","3","62","845",,"12","15","0.022517534145441123","0.37209302325581395","0.000005223202646473863"
"christus","Christus","MALE","false","2","20","284",,"11","13","0.0033222591362126234","0.3620364550597109","0.000005179541314823679"
"maria_magdalena","Maria Magdalena","FEMALE","false","1","2","10",,"10","10","0","0.35250917992656056","0.0000050467237748067755"
"chor_der_apostel","Chor der Apostel","MALE","true","1","1","11",,"10","10","0","0.35250917992656056","0.0000050467237748067755"
"die_maertyrer","Die Märtyrer","UNKNOWN","true","1","0","7",,"10","10","0","0.35250917992656056","0.0000050467237748067755"
"don_gioffre","Don Gioffre","MALE","false","1","7","80",,"16","16","0","0.37209302325581395","0.24253562493119943"
"der_papst","Der Papst","MALE","false","1","19","333",,"16","16","0","0.37209302325581395","0.24253562493119943"
"donna_sancia","Donna Sancia","FEMALE","false","1","2","18",,"16","16","0","0.37209302325581395","0.24253562493119943"
"lucrezia","Lucrezia","FEMALE","false","1","7","51",,"16","16","0","0.37209302325581395","0.24253562493119943"
"francesco_borgia","Francesco Borgia","MALE","false","1","3","23",,"16","16","0","0.37209302325581395","0.24253562493119943"
"don_giovanni","Don Giovanni","MALE","false","1","3","34",,"16","16","0","0.37209302325581395","0.24253562493119943"
"cesare","Cesare","MALE","false","1","1","1",,"16","16","0","0.37209302325581395","0.24253562493119943"
"erster_edelmann","Erster Edelmann","MALE","false","1","4","35",,"16","16","0","0.37209302325581395","0.24253562493119943"
"zweiter_edelmann","Zweiter Edelmann","MALE","false","1","4","17",,"16","16","0","0.37209302325581395","0.24253562493119943"
"dritter_edelmann","Dritter Edelmann","MALE","false","1","7","131",,"16","16","0","0.37209302325581395","0.24253562493119943"
"burcard","Burcard","MALE","false","1","1","22",,"16","16","0","0.37209302325581395","0.24253562493119943"
"chor_mehrstimmiges_graduale","Chor (mehrstimmiges Graduale)","UNKNOWN","true","1","1","52",,"16","16","0","0.37209302325581395","0.24253562493119943"
"eines_der_maedchen","Eines der Mädchen","FEMALE","false","1","1","6",,"16","16","0","0.37209302325581395","0.24253562493119943"
"die_kurtisane","Die Kurtisane","FEMALE","false","1","1","13",,"16","16","0","0.37209302325581395","0.24253562493119943"
"schlussgesang_der_vesper","Schlußgesang der Vesper","UNKNOWN","true","1","1","48",,"16","16","0","0.37209302325581395","0.24253562493119943"
"rodrigo_borgia","Rodrigo Borgia","MALE","false","1","1","19",,"16","16","0","0.37209302325581395","0.24253562493119943"
"die_maedchen","Die Mädchen","FEMALE","true","1","1","4",,"16","16","0","0.37209302325581395","0.24253562493119943"
"teufel","Teufel","MALE","false","4","58","3661",,"4","5","0.005167958656330749","0.29767441860465116","0.0000017457131653534534"
"lesender_engel","Lesender Engel","UNKNOWN","false","1","4","325",,"2","2","0","0.2309542902967121","5.738711577233104E-7"
"priester","Priester","MALE","false","1","10","79",,"1","1","0","0.023255813953488372","1.8993263125584366E-39"
"die_anwesenden","Die Anwesenden (V/1)","UNKNOWN","true","1","1","1",,"1","1","0","0.023255813953488372","1.8993263125584366E-39"
