id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"sir_william","Sir William","MALE","false","7","23","1707",,"5","9","0.14814814814814814","0.625","0.30851243154006464"
"waitwell","Waitwell","MALE","false","7","41","1496",,"4","10","0.058888888888888886","0.5263157894736842","0.24179712184793115"
"der_wirt","Der Wirt","MALE","false","1","7","261",,"2","2","0","0.43478260869565216","0.11176622840765349"
"mellefont","Mellefont","MALE","false","24","201","6409",,"7","37","0.26888888888888896","0.7692307692307693","0.44485190598834656"
"norton","Norton","MALE","false","11","46","813",,"4","17","0.005555555555555556","0.5882352941176471","0.3094463325905449"
"betty","Betty","FEMALE","false","9","20","394",,"5","18","0.07777777777777779","0.6666666666666666","0.3590943944170404"
"sara","Sara","FEMALE","false","22","166","7397",,"6","34","0.11185185185185186","0.7142857142857143","0.41117498336706093"
"marwood","Marwood","FEMALE","false","15","155","5974",,"6","22","0.2003703703703704","0.6666666666666666","0.3608165522623341"
"hannah","Hannah","FEMALE","false","4","16","207",,"4","7","0.039629629629629626","0.5555555555555556","0.2307856588220565"
"der_bediente","Der Bediente","MALE","false","1","2","36",,"2","2","0","0.43478260869565216","0.12015360728694321"
"arabella","Arabella","FEMALE","false","3","13","309",,"3","6","0","0.5263157894736842","0.2105021271305871"
