id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"der_prinz","Der Prinz","MALE","false","17","157","4002",,"8","20","0.46717171717171724","0.75","0.3207610631164816"
"der_kammerdiener","Der Kammerdiener","MALE","false","2","6","33",,"1","2","0","0.4444444444444444","0.05575792046031643"
"conti","Conti","MALE","false","2","24","604",,"1","2","0","0.4444444444444444","0.05575792046031643"
"marinelli","Marinelli","MALE","false","19","221","4343",,"9","30","0.24696969696969698","0.8","0.44898463593218985"
"camillo_rota","Camillo Rota","MALE","false","1","6","78",,"1","1","0","0.4444444444444444","0.05575792046031643"
"claudia","Claudia","FEMALE","false","13","73","1581",,"7","19","0.045454545454545456","0.6","0.38292603187412255"
"pirro","Pirro","MALE","false","4","25","263",,"5","7","0.026515151515151516","0.5454545454545454","0.2719436343371554"
"odoardo","Odoardo","MALE","false","12","108","2441",,"6","15","0.05505050505050505","0.6666666666666666","0.3542503929627512"
"angelo","Angelo","MALE","false","2","28","487",,"2","2","0","0.48","0.1253177208861109"
"emilia","Emilia","FEMALE","false","7","64","1702",,"6","13","0.055050505050505044","0.6666666666666666","0.35136470604573183"
"appiani","Appiani","MALE","false","5","48","852",,"4","8","0.003787878787878788","0.5217391304347826","0.25295849315698954"
"battista","Battista","MALE","false","4","11","152",,"4","7","0.012121212121212123","0.6","0.26144507771860326"
"orsina","Orsina","FEMALE","false","6","64","2111",,"4","8","0.012121212121212123","0.6","0.2619466686163179"
