id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"stimmen_der_soldaten","Stimmen der Soldaten","MALE","false","1","1","6",,"6","6","0","0.32032019704433495","0.0013410717536375975"
"erster_diener_1-1","Erster Diener (I/1)","MALE","false","1","10","373",,"6","6","0","0.32032019704433495","0.0013410717536375975"
"die_diener_1-1","Die Diener (I/1)","MALE","false","1","3","22",,"6","6","0","0.32032019704433495","0.0013410717536375975"
"detlev","Detlev","MALE","false","3","25","865",,"14","14","0.19538651824366104","0.4644642857142857","0.008052547415666656"
"dritter_diener_1-1","Dritter Diener (I/1)","MALE","false","1","7","300",,"6","6","0","0.32032019704433495","0.0013410717536375975"
"vierter_diener_1-1","Vierter Diener (I/1)","MALE","false","1","3","43",,"6","6","0","0.32032019704433495","0.0013410717536375975"
"zweiter_diener_1-1","Zweiter Diener (I/1)","MALE","false","1","4","173",,"6","6","0","0.32032019704433495","0.0013410717536375975"
"graf_struensee","Graf Struensee","MALE","false","29","173","6964","Q61879","16","42","0.46629457843743544","0.5338669950738916","0.03382485857011342"
"koeller","Köller","MALE","false","15","72","2064","Q11971832","17","36","0.10636157493300348","0.4788291605301915","0.009652747839563549"
"page_1-3","Page (I/3)","MALE","false","1","1","5",,"2","2","0","0.34151785714285715","0.0033794174197153554"
"polizei-chef","Polizei-Chef","MALE","false","1","2","33",,"2","2","0","0.34151785714285715","0.003379417419715355"
"diener_1-5","Diener (I/5)","MALE","false","1","1","5",,"2","2","0","0.3248001998001998","0.0017440296989849155"
"ranzau","Ranzau","MALE","false","14","87","3141","Q11999684","19","34","0.18915378272521122","0.48890977443609024","0.009540489479407154"
"diener_1-6","Diener (I/6)","MALE","false","1","1","12",,"1","1","0","0.32032019704433495","0.0008669196702054654"
"ein_kammerdiener_1-10","Ein Kammerdiener (I/10)","MALE","false","1","1","2",,"1","1","0","0.32032019704433495","0.0008669196702054654"
"pfarrer_struensee","Pfarrer Struensee","MALE","false","3","31","880","Q351016","12","13","0.2857142857142857","0.4038819875776397","0.2909815266780657"
"mathilde","Mathilde","FEMALE","false","21","106","3845","Q57668","11","36","0.054455782312925166","0.4074248120300752","0.0072106472833018175"
"graefin_uhlfeld","Gräfin Uhlfeld","FEMALE","false","7","16","252",,"6","18","0.006425479282622141","0.39030612244897955","0.005757564839088856"
"graefin_reez","Gräfin Reez","FEMALE","false","2","3","25",,"4","5","0","0.36004983388704315","0.004675261971206205"
"brandt","Graf Brandt","MALE","false","5","16","300",,"4","12","0.002680890538033396","0.38385478158205427","0.004978903666843701"
"hauptmann","Hauptmann","MALE","false","2","11","551",,"3","5","0","0.3572802197802198","0.00419930058139277"
"damen","Damen der Königin","FEMALE","false","2","2","4",,"4","6","0","0.36004983388704315","0.004675261971206205"
"keith","Keith","MALE","false","6","18","825",,"5","11","0.007421150278293139","0.3870535714285714","0.005193142252831822"
"schack","Schack","MALE","false","4","35","751",,"5","8","0.0025252525252525255","0.3572802197802198","0.0034832627913557695"
"juliane","Juliane","FEMALE","false","12","66","2418","Q57637","17","29","0.08417130488559053","0.4147002551020408","0.00801489094096326"
"guldberg","Guldberg","MALE","false","7","26","476","Q951499","13","25","0.023569367140795695","0.3870535714285714","0.00585058948795042"
"kammerdiener_2-18","Kammerdiener (II/18)","MALE","false","1","3","52",,"5","5","0","0.3466151385927505","0.003304382163231843"
"diener_2-18","Ein Diener (II/18)","MALE","false","1","4","35",,"5","5","0","0.3466151385927505","0.0033043821632318423"
"page_2-19","Page (II/19)","MALE","false","1","1","3",,"4","4","0","0.34404761904761905","0.003004080025672165"
"haushofmeister","Haushofmeister","MALE","false","1","6","215",,"4","4","0","0.07142857142857142","1.2101997489640338E-25"
"erster_diener_3-5","Erster Diener (III/5)","MALE","false","1","5","137",,"4","4","0","0.07142857142857142","1.2101997489640338E-25"
"zweiter_diener_3-5","Zweiter Diener (III/5)","MALE","false","1","6","47",,"4","4","0","0.07142857142857142","1.2101997489640338E-25"
"dritter_diener_3-5","Dritter Diener (III/5)","MALE","false","1","2","13",,"4","4","0","0.07142857142857142","1.2101997489640338E-25"
"alle_3-5","Alle (III/5)","UNKNOWN","false","1","1","1",,"4","4","0","0.07142857142857142","1.2101997489640338E-25"
"fuerst","Russischer Fürst","MALE","false","2","4","129",,"6","6","0.004411461554318698","0.36004983388704315","0.0039157524550568635"
"maske","Maske","MALE","false","1","15","173",,"2","2","0","0.34151785714285715","0.0033794174197153554"
"ein_kammerherr_3-10","Ein Kammerherr (III/10)","MALE","false","1","1","8",,"2","2","0","0.34151785714285715","0.0033794174197153554"
"mehrere_masken","Mehrere Masken","UNKNOWN","false","1","1","16",,"3","3","0","0.32940729483282677","0.002275740477731711"
"officier_3-13a","Officier (III/13)","MALE","false","1","3","19",,"7","7","0","0.36862244897959184","0.004565615717881076"
"ein_officier_3-13b","Ein Officier (III/13)","MALE","false","1","1","23",,"7","7","0","0.36862244897959184","0.004565615717881077"
"alle_officiere_3-13","Alle Officiere","MALE","false","1","1","3",,"7","7","0","0.36862244897959184","0.004565615717881076"
"schulmeister","Schulmeister","MALE","false","1","25","970",,"11","11","0","0.29965437788018434","0.28816492511883834"
"alle_4-1","Alle (IV/1)","UNKNOWN","false","1","7","24",,"11","11","0","0.29965437788018434","0.28816492511883834"
"svenne","Svenne","MALE","false","1","8","221",,"11","11","0","0.29965437788018434","0.28816492511883834"
