id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"kunrad","Kunrad","MALE","false","4","28","1699",,"19","30","0.06017543859649125","0.9523809523809523","0.2595351591310244"
"heinrich","Heinrich","MALE","false","2","5","96",,"16","19","0.015789473684210527","0.8333333333333334","0.24372535547579366"
"gisela","Gisela","FEMALE","false","4","37","1953",,"19","30","0.06017543859649125","0.9523809523809523","0.2595351591310244"
"ernst","Ernst","MALE","false","6","59","2073",,"19","35","0.08105263157894738","0.9523809523809523","0.2574883025730217"
"hermann","Hermann","MALE","false","1","2","11",,"4","4","0","0.5555555555555556","0.06610738234564552"
"mangold","Mangold","MALE","false","4","26","781",,"18","29","0.038245614035087715","0.9090909090909091","0.25551245888359386"
"warmann","Warmann","MALE","false","3","22","1004",,"17","24","0.023157894736842106","0.8695652173913043","0.25051734790497265"
"die_fürsten","Die Fürsten","MALE","true","1","1","6",,"6","6","0","0.5882352941176471","0.08886078344451065"
"die_bischoefe","Die Bischöfe","MALE","true","1","1","6",,"6","6","0","0.5882352941176471","0.08886078344451065"
"hugo","Hugo","MALE","false","3","16","729",,"17","23","0.03964912280701754","0.8695652173913043","0.247646020627603"
"odo","Odo","MALE","false","1","10","157",,"3","3","0","0.5405405405405406","0.04845112732102286"
"werner","Werner","MALE","false","5","39","2719",,"16","28","0.022807017543859644","0.8333333333333334","0.24265090964898173"
"pilger","Pilger","MALE","false","1","4","165",,"5","5","0","0.5714285714285714","0.08208800822462699"
"adalbert","Adalbert","MALE","false","4","40","1539",,"16","27","0.011578947368421055","0.8333333333333334","0.24469776620698444"
"warin","Warin","MALE","false","3","6","435",,"15","22","0","0.8","0.2397026552283632"
"wache","Wache","MALE","false","2","2","26",,"15","18","0","0.8","0.2397026552283632"
"kriegsleute","Kriegsleute","MALE","true","2","4","14",,"15","19","0","0.8","0.2397026552283632"
"ein_kriegsmann","Ein Kriegsmann","MALE","false","1","10","62",,"15","15","0","0.8","0.2397026552283632"
"andrer_kriegsmann","Andrer Kriegsmann","MALE","false","1","9","38",,"15","15","0","0.8","0.2397026552283632"
"dritter_kriegsmann","Dritter Kriegsmann","MALE","false","1","6","42",,"15","15","0","0.8","0.2397026552283632"
"ein_ritter","Ein Ritter","MALE","false","1","1","7",,"15","15","0","0.8","0.2397026552283632"
