id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"baron","Baron","MALE","false","24","140","2642",,"12","56","0.21969696969696967","1","0.3801016072203761"
"krabbe","Krabbe","MALE","false","25","144","2990",,"12","52","0.21969696969696967","1","0.38010160722037606"
"pellmann","Pellmann","MALE","false","2","7","124",,"2","4","0","0.5454545454545454","0.09690832517635273"
"emma","Emma","FEMALE","false","13","73","1652",,"8","29","0.015151515151515152","0.75","0.3221224071167634"
"fritze","Fritze","MALE","false","7","41","1136",,"7","16","0","0.7058823529411765","0.30158417401042953"
"gustav","Gustav","MALE","false","3","32","793",,"4","5","0","0.6","0.18165234786331086"
"julius","Julius","MALE","false","16","109","2117",,"9","39","0.03535353535353535","0.8","0.34266064022309733"
"julius_krabbe","Julius Krabbe","MALE","false","11","74","1340",,"8","30","0.015151515151515152","0.75","0.32212240711676343"
"eweline","Eweline","FEMALE","false","11","60","996",,"8","25","0.025252525252525256","0.75","0.31711148267689593"
"barbara","Barbara","FEMALE","false","7","30","1325",,"7","19","0","0.7058823529411765","0.30158417401042953"
"magister","Magister","MALE","false","2","7","277",,"2","4","0","0.5454545454545454","0.09690832517635273"
"gottlieb","Gottlieb","MALE","false","4","17","598",,"4","9","0","0.6","0.18165234786331086"
"klara","Klara","FEMALE","false","3","9","61",,"3","6","0","0.5714285714285714","0.13733249166658187"
