id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"miller","Miller","MALE","false","13","100","3769",,"5","27","0","0.48484848484848486","0.29054090935506455"
"millerin","Millerin","FEMALE","false","7","35","561",,"5","17","0","0.48484848484848486","0.29054090935506455"
"wurm","Wurm","MALE","false","6","96","2019",,"7","11","0.06916666666666667","0.5161290322580645","0.32487927821082807"
"luise","Luise","FEMALE","false","12","176","4347",,"6","21","0.1011111111111111","0.6153846153846154","0.33612810591917786"
"ferdinand","Ferdinand","MALE","false","16","201","6061",,"8","27","0.26013888888888886","0.6666666666666666","0.38547810541406297"
"praesident","Präsident von Walter","MALE","false","10","137","2857",,"8","19","0.18986111111111112","0.5925925925925926","0.3646306139181028"
"ein_kammerdiener_1-5","Ein Kammerdiener (I/5)","MALE","false","1","1","3",,"2","2","0","0.3902439024390244","0.1177268369639117"
"hofmarschall","Hofmarschall von Kalb","MALE","false","4","61","1122",,"6","7","0.1727777777777778","0.6153846153846154","0.2725675702880383"
"sophie","Sophie","FEMALE","false","4","22","384",,"7","10","0.06041666666666667","0.5161290322580645","0.20734387935509624"
"lady","Lady Milford","FEMALE","false","6","79","3407",,"9","12","0.3465277777777777","0.64","0.3125825837150494"
"kammerdiener_2-2","Kammerdiener (II/2)","MALE","false","1","8","249",,"3","3","0","0.42105263157894735","0.10705143488726038"
"bedienter","Bedienter","MALE","false","1","3","12",,"3","3","0","0.42105263157894735","0.10705143488726038"
"kammerdiener_3-1","Kammerdiener (III/1)","MALE","false","1","3","15",,"2","2","0","0.3902439024390244","0.1177268369639117"
"kammerdiener_4-1","Kammerdiener (IV/1)","MALE","false","1","2","15",,"1","1","0","0.41025641025641024","0.06581662401228691"
"ein_kammerdiener_4-6","Ein Kammerdiener (IV/6)","MALE","false","1","1","2",,"2","2","0","0.41025641025641024","0.08877321218778877"
"kammerdiener_4-9","Kammerdiener (IV/9)","MALE","false","1","1","14",,"4","4","0","0.47058823529411764","0.1631721076005665"
"alle_bediente","Alle Bediente","UNKNOWN","false","1","1","3",,"4","4","0","0.47058823529411764","0.1631721076005665"
