id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"sophie","Sophie","FEMALE","false","1","83","1127",,"8","8","0","0.6538461538461539","0.20787215497635844"
"lieschen","Lieschen Bode","FEMALE","false","2","74","1969",,"11","13","0.044117647058823525","0.7391304347826086","0.274908434508023"
"hanna","Hanna","FEMALE","false","3","247","3532",,"17","21","0.3529411764705882","1","0.3932767622902161"
"eine_tiefe_bassstimme","Eine tiefe Baßstimme","MALE","false","1","1","24",,"8","8","0","0.6538461538461539","0.20787215497635844"
"eine_singende_stimme","Eine singende Stimme","MALE","false","1","1","12",,"8","8","0","0.6538461538461539","0.20787215497635844"
"konrad","Konrad","MALE","false","2","75","1310",,"11","13","0.044117647058823525","0.7391304347826086","0.274908434508023"
"eduard","Eduard","MALE","false","1","43","638",,"8","8","0","0.6538461538461539","0.20787215497635844"
"verschiedene_die_stimmen","Verschiedene/Die Stimmen (I. Akt)","MALE","true","1","2","16",,"8","8","0","0.6538461538461539","0.20787215497635844"
"eine_breite_stimme","Eine breite Stimme","MALE","false","1","1","2",,"8","8","0","0.6538461538461539","0.20787215497635844"
"bernhard","Bernhard","MALE","false","2","105","1752",,"11","13","0.044117647058823525","0.7391304347826086","0.274908434508023"
"freudenberg","Freudenberg","MALE","false","1","31","908",,"8","8","0","0.6538461538461539","0.20787215497635844"
"die_zuschneiderin","Die Zuschneiderin","FEMALE","false","1","17","92",,"8","8","0","0.6538461538461539","0.20787215497635844"
"eine_arbeiterin","Eine Arbeiterin","FEMALE","false","1","5","52",,"8","8","0","0.6538461538461539","0.20787215497635844"
"der_alte_vernier","Der alte Vernier","MALE","false","1","48","1569",,"8","8","0","0.6538461538461539","0.20787215497635844"
"der_hausdiener","Der Hausdiener","MALE","false","1","4","1",,"8","8","0","0.6538461538461539","0.20787215497635844"
"viele_stimmen","Viele Stimmen (II. Akt)","UNKNOWN","true","1","1","3",,"8","8","0","0.6538461538461539","0.20787215497635844"
"alexander","Alexander Könitz","MALE","false","2","98","2575",,"11","13","0.044117647058823525","0.7391304347826086","0.274908434508023"
"hedwig","Hedwig","FEMALE","false","1","16","44",,"5","5","0","0.5862068965517241","0.15654010672582994"
