id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"joab","Joab","MALE","false","5","27","994",,"13","23","0.059076923076923075","0.6666666666666666","0.28860212768669286"
"herodes","Herodes","MALE","false","19","223","7443",,"18","46","0.2326153846153847","0.7647058823529411","0.33525692156762477"
"judas","Judas","MALE","false","2","14","396",,"9","9","0.27076923076923076","0.5909090909090909","0.12682128199356177"
"sameas","Sameas","MALE","false","3","46","1218",,"7","8","0.012923076923076924","0.5777777777777777","0.1739217514644611"
"serubabel","Serubabel","MALE","false","1","3","49",,"5","5","0","0.5416666666666666","0.12100555530729687"
"titus","Titus","MALE","false","9","64","1439",,"18","37","0.1797948717948718","0.7647058823529411","0.3523083519824851"
"ein_diener_1-3","Ein Diener (I/3)","MALE","false","1","1","2",,"2","2","0","0.48148148148148145","0.05771538726789699"
"mariamne","Mariamne","FEMALE","false","19","203","5830",,"15","49","0.09415384615384613","0.6341463414634146","0.273787787964897"
"ein_diener_1-5","Ein Diener (I/5)","MALE","false","1","1","2",,"2","2","0","0.4727272727272727","0.05095125073898623"
"joseph","Joseph","MALE","false","6","77","922",,"10","16","0.03292307692307691","0.5652173913043478","0.2024091754811189"
"alexandra","Alexandra","FEMALE","false","14","129","2945",,"17","38","0.08625641025641025","0.6666666666666666","0.33753063089159174"
"ein_diener_2-4","Ein Diener (II/4)","MALE","false","1","1","2",,"3","3","0","0.4406779661016949","0.07711169878572016"
"ein_diener_2-5","Ein Diener (II/5)","MALE","false","1","2","10",,"5","5","0","0.5098039215686274","0.12206509953980849"
"philo","Philo","MALE","false","1","4","6",,"5","5","0","0.5098039215686274","0.12206509953980849"
"salome","Salome","FEMALE","false","12","50","1580",,"13","38","0.022256410256410255","0.6046511627906976","0.29466880147600166"
"soemus","Soemus","MALE","false","6","37","900",,"6","16","0","0.52","0.17019189255389644"
"ein_bote","Ein Bote","MALE","false","1","5","62",,"2","2","0","0.48148148148148145","0.05771538726789699"
"moses","Moses","MALE","false","1","8","122",,"4","4","0","0.3939393939393939","0.01679380195333194"
"artaxerxes","Artaxerxes","MALE","false","1","9","423",,"4","4","0","0.3939393939393939","0.01679380195333194"
"jehu","Jehu","MALE","false","1","3","39",,"4","4","0","0.3939393939393939","0.01679380195333194"
"silo","Silo","MALE","false","1","9","82",,"4","4","0","0.3939393939393939","0.01679380195333194"
"stimmen_im_hintergrund","Stimmen im Hintergrund","UNKNOWN","true","1","1","2",,"4","4","0","0.49056603773584906","0.1192406418149105"
"aaron","Aaron","MALE","false","1","6","122",,"6","6","0","0.52","0.17836000234728314"
"ein_diener_5-8","Ein Diener (V/8)","MALE","false","1","2","32",,"8","8","0","0.5416666666666666","0.21295635583440314"
"erster_koenig","Erster König","MALE","false","1","9","66",,"8","8","0","0.5416666666666666","0.21295635583440314"
"zweiter_koenig","Zweiter König","MALE","false","1","6","52",,"8","8","0","0.5416666666666666","0.21295635583440314"
"dritter_koenig","Dritter König","MALE","false","1","5","64",,"8","8","0","0.5416666666666666","0.21295635583440314"
