id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"rhamnes","Rhamnes","MALE","false","14","113","1671",,"7","28","0.062499999999999986","0.8181818181818182","0.40100167998658853"
"melitta","Melitta","FEMALE","false","13","122","1615",,"8","23","0.25","0.9","0.4001010539605193"
"geschrei-volk","Geschrei/Volk","UNKNOWN","true","2","4","17",,"5","6","0.011574074074074072","0.6923076923076923","0.313837315861904"
"sappho","Sappho","FEMALE","false","21","152","5658","Q17892","7","31","0.062499999999999986","0.8181818181818182","0.40100167998658853"
"einer_aus_dem_volke","Einer aus dem Volke","MALE","false","1","2","35",,"4","4","0","0.6","0.25546297219137915"
"phaon","Phaon","MALE","false","14","151","4465","Q595876","7","25","0.1111111111111111","0.8181818181818182","0.3796583658102001"
"eucharis","Eucharis","FEMALE","false","8","37","1030",,"5","14","0.05092592592592592","0.6923076923076923","0.2794873260850186"
"maedchen","Mädchen","FEMALE","true","1","1","2",,"2","2","0","0.5294117647058824","0.11608865939441027"
"ruf_von_drinnen","Ruf von drinnen","UNKNOWN","false","1","2","2",,"2","2","0","0.5625","0.13319966830577915"
"ein_landmann","Ein Landmann","MALE","false","3","15","199",,"5","9","0.006944444444444444","0.6923076923076923","0.3179416491727759"
