id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"diether","Diether","MALE","false","12","133","1079",,"5","22","0.011695906432748537","0.5588235294117647","0.17939344074687422"
"kaethe","Käthe","FEMALE","false","17","204","2425",,"4","26","0.005847953216374269","0.5428571428571428","0.15941128323103998"
"wagner","Wagner","MALE","false","12","84","1656",,"8","25","0.032651072124756333","0.6333333333333333","0.33915218557477417"
"faust","Faust","MALE","false","30","348","5888","Q76918","18","45","0.7007797270955166","0.95","0.4829030276042468"
"choralartiger_gesang","Choralartiger Gesang","UNKNOWN","true","1","3","33",,"1","1","0","0.5","0.07030414446160785"
"der_fremde","Der Fremde","MALE","false","9","108","1185",,"8","16","0.07602339181286549","0.6333333333333333","0.3234787138078546"
"dumpfe_stimme","Dumpfe Stimme","UNKNOWN","false","1","6","96",,"1","1","0","0.5","0.07030414446160785"
"studenten","Studenten","MALE","true","1","2","24",,"6","6","0","0.59375","0.29609530264784995"
"erster_student","Erster Student","MALE","false","1","16","286",,"6","6","0","0.59375","0.29609530264784995"
"zweiter_student","Zweiter Student","MALE","false","1","9","36",,"6","6","0","0.59375","0.29609530264784995"
"dritter_student","Dritter Student","MALE","false","1","8","38",,"6","6","0","0.59375","0.29609530264784995"
"helene","Helene","FEMALE","false","4","53","463",,"2","5","0","0.5135135135135135","0.09351226516442433"
"erster_leichentraeger","Erster Leichenträger","MALE","false","3","14","92",,"4","6","0.009259259259259257","0.5588235294117647","0.13471298742921778"
"zweiter_leichentraeger","Zweiter Leichenträger","MALE","false","2","4","27",,"3","5","0","0.5277777777777778","0.11603386373763858"
"anfuehrer","Anführer","MALE","false","3","15","81",,"4","4","0.040935672514619874","0.5588235294117647","0.14698193281872177"
"erste_maske","Erste Maske","MALE","false","1","9","43",,"4","4","0","0.5428571428571428","0.12482194708081523"
"zweite_maske","Zweite Maske","MALE","false","1","6","33",,"4","4","0","0.5428571428571428","0.12482194708081523"
"dritte_maske","Dritte Maske","MALE","false","1","5","18",,"4","4","0","0.5428571428571428","0.12482194708081523"
"stimme_heftig_von_aussen","Stimme (heftig von außen)","UNKNOWN","false","1","2","12",,"4","4","0","0.5428571428571428","0.12482194708081523"
"gerichtsdiener","Gerichtsdiener","MALE","true","1","1","3",,"2","2","0","0.41304347826086957","0.0684923914199699"
