id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"der_rangaelteste_hauptmann","Der rangälteste Hauptmann","MALE","false","1","3","15",,"4","4","0","0.5227272727272727","0.06792830964463523"
"von_marschall","von Marschall","MALE","false","6","47","825",,"16","39","0.05392039759047432","0.7666666666666667","0.26464110135306124"
"von_grobitzsch","von Grobitzsch","MALE","false","7","56","1137",,"16","39","0.07845096080390199","0.7666666666666667","0.2556760864806083"
"alle_verschiedene","Alle/Verschiedene (I/1)","MALE","true","1","3","4",,"4","4","0","0.5227272727272727","0.06792830964463523"
"moritz","Moritz Diesterbeg","MALE","false","12","74","990",,"20","67","0.11506866960831154","0.8846153846153846","0.30527342800789703"
"peter","Peter von Ramberg","MALE","false","12","97","1160",,"18","67","0.04772441965536594","0.8214285714285714","0.2956748899776691"
"fritz","Fritz von der Leyen","MALE","false","2","16","202",,"6","7","0","0.5476190476190477","0.1259763074438761"
"eine_ordonnanz_1-3a","Eine Ordonnanz (I/3)","MALE","false","1","2","4",,"10","10","0","0.6052631578947368","0.19593009218840188"
"tiedemann","Tiedemann","MALE","false","1","3","9",,"10","10","0","0.6052631578947368","0.19593009218840188"
"paul","Paul von Ramberg","MALE","false","11","58","686",,"18","66","0.04772441965536594","0.8214285714285714","0.29567488997766905"
"glahn","Glahn","MALE","false","7","18","142",,"13","42","0.010886257817204108","0.696969696969697","0.24083024013317064"
"benno","Benno von Klewitz","MALE","false","8","30","268",,"15","50","0.022230348509120885","0.7419354838709677","0.2639430506797989"
"meitzen","Meitzen","MALE","false","3","9","69",,"15","27","0.02207000160964355","0.7419354838709677","0.26366159207407525"
"eine_ordonnanz_1-3b","Eine Ordonnanz (I/3)","MALE","false","1","1","4",,"10","10","0","0.6052631578947368","0.19593009218840188"
"hans","Hans Rudorff","MALE","false","21","413","7123",,"16","61","0.06595414389532037","0.7666666666666667","0.25362896632008924"
"harold","Harold","MALE","false","10","126","2162",,"17","43","0.12384408004612608","0.7931034482758621","0.25590226717619075"
"drewes","Drewes (Ordonnanz)","MALE","false","1","5","14",,"8","8","0","0.6052631578947368","0.149708240365743"
"die_ordonnanz_1-6","Die Ordonnanz (I/6)","MALE","false","1","1","2",,"8","8","0","0.6052631578947368","0.149708240365743"
"kommandostimme","Kommandostimme","MALE","false","1","1","2",,"8","8","0","0.6052631578947368","0.149708240365743"
"heinrich","Heinrich","MALE","false","9","68","244",,"10","24","0.03137225093746833","0.6388888888888888","0.16732715013551624"
"joseph","Joseph Wachowiock","MALE","false","2","12","83",,"2","3","0","0.46","0.032175527191476205"
"schmitz","Schmitz","MALE","false","4","48","1117",,"8","14","0","0.6052631578947368","0.159806540962205"
"traute","Traute","MALE","false","8","112","2110",,"5","14","0.0052599787254518715","0.5609756097560976","0.07426889272470087"
"die_masken","Die Masken","MALE","true","1","4","49",,"3","3","0","0.46938775510204084","0.04438275230275786"
