id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"lidi","Lidi","FEMALE","false","2","8","212",,"7","7","0.15333333333333335","0.5319148936170213","0.14171023615370057"
"fee","Fee","FEMALE","false","1","7","215",,"2","2","0","0.35714285714285715","0.022610332632954134"
"alle_nymphen","Alle Nymphen","FEMALE","true","1","1","5",,"2","2","0","0.35714285714285715","0.022610332632954134"
"quecksilber","Quecksilber","MALE","false","23","187","4999",,"19","43","0.6666666666666667","0.8064516129032258","0.43970306012079635"
"stimme_des_hornes","Stimme des Hornes","UNKNOWN","false","1","1","18",,"5","5","0","0.5102040816326531","0.13624051076564814"
"stimme_der_schaerpe","Stimme der Schärpe","UNKNOWN","false","1","1","17",,"5","5","0","0.5102040816326531","0.13624051076564814"
"stimme_des_stabes","Stimme des Stabes","UNKNOWN","false","1","1","17",,"5","5","0","0.5102040816326531","0.13624051076564814"
"die_genien","Die Genien","FEMALE","true","1","1","1",,"5","5","0","0.5102040816326531","0.13624051076564814"
"alle_matrosen","Alle Matrosen","MALE","true","1","5","56",,"2","2","0","0.46296296296296297","0.07015498414048627"
"erster_matrose","Erster Matrose","MALE","false","1","6","153",,"2","2","0","0.46296296296296297","0.07015498414048627"
"tutu","Tutu","MALE","false","15","72","1535",,"10","30","0.09055555555555554","0.5952380952380952","0.33722585192877286"
"linda","Linda","FEMALE","false","11","60","1024",,"7","21","0.028333333333333335","0.5555555555555556","0.26774485404311954"
"zoraide","Zoraide","FEMALE","false","22","115","1854",,"12","41","0.12722222222222224","0.625","0.369803208542952"
"hassar","Hassar","MALE","false","11","47","587",,"10","29","0.07555555555555554","0.5952380952380952","0.33842934446033923"
"quecksilbers_diener","Quecksilbers Diener","MALE","true","2","2","17",,"4","5","0","0.4166666666666667","0.16680242524951597"
"volk","Volk","UNKNOWN","true","2","2","21",,"4","5","0","0.4166666666666667","0.1668024252495159"
"wache","Wache","MALE","false","2","5","56",,"3","4","0","0.5102040816326531","0.15795195671625586"
"anfuehrer","Anführer","MALE","false","1","4","26",,"1","1","0","0.45454545454545453","0.06050184583291419"
"chor_2-1","Chor (II/1)","UNKNOWN","true","1","1","16",,"2","2","0","0.49019607843137253","0.10706844082464476"
"erster_husar","Erster Husar","MALE","false","2","5","27",,"3","4","0","0.5102040816326531","0.15778634670570235"
"die_amazonen","Die Amazonen","FEMALE","true","1","1","1",,"2","2","0","0.5","0.11138536172452529"
"chor_2-9","Chor (II/9)","UNKNOWN","true","1","4","94",,"2","2","0","0.46296296296296297","0.09734256720829101"
"zadi","Zadi","MALE","false","3","19","218",,"2","5","0","0.46296296296296297","0.09734256720829101"
"chor_alle_2-20_bis_2-27","Chor/Alle (II/20–27)","UNKNOWN","true","3","7","34",,"6","11","0.011666666666666667","0.5434782608695652","0.2660235378881308"
"sklave","Sklave","MALE","false","1","1","5",,"4","4","0","0.4166666666666667","0.18045494130652048"
"leibarzt","Leibarzt","MALE","false","1","1","18",,"2","2","0","0.3968253968253968","0.09728450087278816"
