id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"ottilie","Ottilie","FEMALE","false","4","22","273",,"8","12","0","0.5555555555555556","0.08305803122995599"
"puffmann","Puffmann","MALE","false","31","217","2736",,"23","64","0.24268368061787218","0.7446808510638298","0.1757674288082638"
"von_groening","von Gröning","MALE","false","2","7","40",,"2","3","0","0.4375","0.009269095155100934"
"hermine","Hermine","FEMALE","false","1","2","9",,"2","2","0","0.4375","0.009269095155100934"
"thomas","Thomas","MALE","false","10","126","1812",,"21","35","0.013974103475382247","0.7","0.207830530353467"
"friedrich","Friedrich","MALE","false","3","7","45",,"4","5","0.026212899482043455","0.4605263157894737","0.012684483860391187"
"franz","Franz","MALE","false","4","15","160",,"5","6","0.03135012572804058","0.4666666666666667","0.013816506868220129"
"heinrich","Heinrich","MALE","false","1","2","7",,"2","2","0","0.32407407407407407","0.0013275709457761474"
"tupper","Tupper","MALE","false","8","29","219",,"10","15","0.02267789871896988","0.5737704918032787","0.06230402187768243"
"althof","Althof","MALE","false","7","14","88",,"16","37","0.0049610753392266","0.6363636363636364","0.1497229617871327"
"lockerfeld","Lockerfeld","MALE","false","6","21","342",,"16","33","0.0049610753392266","0.6363636363636364","0.1497229617871327"
"massengold","Massengold","MALE","false","6","51","519",,"18","36","0.0072747280730474","0.660377358490566","0.17099693816310874"
"packendorf","Packendorf","MALE","false","10","37","514",,"17","42","0.01674578922478082","0.6481481481481481","0.15085498479496165"
"seewald","Seewald","MALE","false","7","9","77",,"16","35","0.0049610753392266","0.6363636363636364","0.1497229617871327"
"peter","Peter","MALE","false","30","161","5179",,"29","75","0.10624726477431241","0.8333333333333334","0.246741298023239"
"frau_hussbergerin","Frau Hussbergerin","FEMALE","false","8","35","324",,"7","16","0.0013532685801593363","0.5072463768115942","0.07465587458180663"
"hansi","Hansi","MALE","false","15","63","505",,"7","25","0.0022752238150162024","0.5384615384615384","0.05496166546122259"
"frau_flachsin","Frau Flachsin","FEMALE","false","6","11","96",,"25","51","0.024376396299820403","0.7608695652173914","0.2360530515162936"
"kuebler","Kübler","MALE","false","10","32","400",,"27","64","0.04474709003185868","0.7954545454545454","0.24222611457833168"
"frau_kueblerin","Frau Küblerin","FEMALE","false","6","10","81",,"25","52","0.024376396299820403","0.7608695652173914","0.2360530515162936"
"frau_schmalzerin","Frau Schmalzerin","FEMALE","false","5","7","60",,"25","49","0.024376396299820403","0.7608695652173914","0.2360530515162936"
"schmalzer","Schmalzer","MALE","false","5","7","48",,"26","51","0.03820647378536008","0.7777777777777778","0.23826396494729127"
"flachs","Flachs","MALE","false","5","6","51",,"25","49","0.031092951014397865","0.7608695652173914","0.23470263525280766"
"klopf","Klopf","MALE","false","4","13","133",,"22","39","0.024661105548938946","0.7142857142857143","0.21004144378446465"
"frau_klopfin","Frau Klopfin","FEMALE","false","2","2","11",,"17","28","0","0.5932203389830508","0.17931111715572773"
"susi","Susi","FEMALE","false","2","3","35",,"17","28","0","0.5932203389830508","0.17931111715572773"
"spring","Spring","MALE","false","3","3","46",,"17","31","0","0.5932203389830508","0.17931111715572773"
"biegel","Biegel","MALE","false","2","0","10",,"17","28","0","0.5932203389830508","0.17931111715572773"
"leicht","Leicht","MALE","false","2","0","10",,"17","28","0","0.5932203389830508","0.17931111715572773"
"klara","Klara","FEMALE","false","8","36","364",,"25","45","0.023039547834944253","0.7608695652173914","0.2364538714528504"
"kellner","Kellner","MALE","false","1","3","6",,"17","17","0","0.5932203389830508","0.17931111715572773"
"netti","Netti","FEMALE","false","1","2","11",,"17","17","0","0.5932203389830508","0.17931111715572773"
"mehrere_anwesende_mehrere_frauen_einige_maenner_alle","Mehrere Anwesende/Mehrere Frauen/Einige Männer/Alle (II/8)","UNKNOWN","true","1","4","26",,"17","17","0","0.5932203389830508","0.17931111715572773"
"rumpf","Rumpf","MALE","false","4","10","123",,"4","6","0.003783351362710471","0.5072463768115942","0.02373000681791228"
"wirt","Wirt","MALE","false","1","3","17",,"4","4","0","0.4666666666666667","0.04634744162205834"
"die_anwesenden_die_buergersleute_die_anderen_alle","Die Anwesenden/Die Bürgersleute/Die Anderen/Alle (III/33–34)","UNKNOWN","true","2","4","13",,"17","21","0.0033931754519989817","0.6481481481481481","0.16802476545814266"
