id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"fleder","Hofrat Fleder","MALE","false","5","45","1274",,"9","25","0.2","0.9090909090909091","0.3178507259416861"
"bote","Bote","MALE","false","1","11","107",,"1","1","0","0.5","0.0380452349381145"
"flitt","Flitt","MALE","false","5","123","3601",,"9","22","0.022222222222222223","0.9090909090909091","0.33522943956435697"
"schlender","Schlender","MALE","false","6","84","1607",,"9","24","0.022222222222222223","0.9090909090909091","0.33522943956435697"
"knoll","Knoll","MALE","false","3","40","643",,"5","8","0","0.625","0.2006228073867613"
"leonard","Graf Leonard","MALE","false","5","65","1402",,"9","23","0.022222222222222223","0.9090909090909091","0.33522943956435697"
"flora","Flora","FEMALE","false","5","74","1514",,"8","25","0","0.8333333333333334","0.31378340699700114"
"victor","Victor","MALE","false","5","57","1254",,"9","28","0.022222222222222223","0.9090909090909091","0.33522943956435697"
"friedmann","Friedmann","MALE","false","3","26","472",,"8","19","0","0.8333333333333334","0.31378340699700114"
"adele","Gräfin Adele","FEMALE","false","5","46","1230",,"9","28","0.022222222222222223","0.9090909090909091","0.33522943956435697"
"marie","Marie","FEMALE","false","2","20","450",,"8","9","0","0.8333333333333334","0.31378340699700114"
