id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"knechte","Knechte","MALE","true","1","1","20",,"1","1","0","0.07142857142857142","5.561934088966449E-13"
"maegde","Mägde","FEMALE","true","1","1","20",,"1","1","0","0.07142857142857142","5.561934088966449E-13"
"grillhofer","Grillhofer","MALE","false","22","180","4122",,"9","38","0.07142857142857144","0.6857142857142857","0.35930227715347657"
"rosl","Rosl","FEMALE","false","9","38","416",,"7","20","0","0.6050420168067226","0.32925245236953554"
"wastl","Wastl","MALE","false","11","123","2342",,"7","26","0","0.6050420168067226","0.32925245236953554"
"dusterer","Dusterer","MALE","false","15","101","3154",,"12","32","0.3186813186813187","0.8571428571428571","0.3963239541895639"
"liesel","Liesel","FEMALE","false","9","116","2534",,"7","20","0","0.6050420168067226","0.32925245236953554"
"michl","Michl","MALE","false","1","2","14",,"7","7","0","0.6050420168067226","0.32925245236953554"
"annemirl","Annemirl","FEMALE","false","1","2","29",,"7","7","0","0.6050420168067226","0.32925245236953554"
"chor","Chor","UNKNOWN","true","1","1","18",,"7","7","0","0.6050420168067226","0.32925245236953554"
"leonhardt","Leonhardt","MALE","false","2","20","385",,"2","3","0","0.46753246753246747","0.10358195909315514"
"natzl","Natzl","MALE","false","4","17","153",,"4","10","0","0.5142857142857142","0.10236309183314325"
"hans","Hans","MALE","false","4","15","124",,"4","10","0","0.5142857142857142","0.10236309183314325"
"bauer","Bauer","MALE","false","4","17","285",,"4","9","0","0.5142857142857142","0.10236309183314325"
"baeuerin","Bäuerin","FEMALE","false","4","15","552",,"5","9","0.016483516483516484","0.5413533834586466","0.14567876530660714"
