id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"gerichtsperson","Gerichtsperson","MALE","false","1","5","38",,"3","3","0","0.4095238095238095","0.023803264480115157"
"don_caesar","Don Cäsar","MALE","false","5","41","1667",,"17","24","0.07381172430569179","0.6231884057971014","0.1591931081361268"
"russworm","Rußworm","MALE","false","1","2","159",,"3","3","0","0.4095238095238095","0.023803264480115157"
"prokop","Prokop","MALE","false","5","29","391",,"19","25","0.09176058377841909","0.6417910447761194","0.18123687457277574"
"klesel","Klesel","MALE","false","5","105","2168",,"30","41","0.16131790747776678","0.7678571428571429","0.3061620204764333"
"kaemmerer","Kämmerer","MALE","false","1","4","28",,"7","7","0","0.5443037974683544","0.10258151679237966"
"mathias","Mathias","MALE","false","3","68","1203",,"16","21","0.020126634163179016","0.6142857142857143","0.17068253851867812"
"rumpf","Wolfgang Rumpf","MALE","false","4","60","817",,"17","28","0.024748661103998825","0.6231884057971014","0.18982490556286402"
"rudolf","Rudolf","MALE","false","4","118","6279",,"17","28","0.024748661103998825","0.6231884057971014","0.18982490556286408"
"ferdinand","Erzherzog Ferdinand","MALE","false","5","118","2774",,"25","36","0.09508364046307742","0.7049180327868853","0.2457596994351235"
"leopold","Erzherzog Leopold","MALE","false","6","42","544",,"30","45","0.12889845440296469","0.7678571428571429","0.30823936082923303"
"hauptmann_2","Hauptmann (II)","MALE","false","1","16","217",,"12","12","0","0.5443037974683544","0.15227868869101838"
"fahnentraeger","Fahnenträger","MALE","false","1","4","289",,"12","12","0","0.5443037974683544","0.15227868869101838"
"mehrere_im_trupp_rings_herum_geschrei_alle","Mehrere im Trupp/Rings herum/Geschrei/Alle","MALE","true","1","6","28",,"12","12","0","0.5443037974683544","0.15227868869101838"
"ramee","Oberst Ramee","MALE","false","4","21","410",,"24","28","0.09157414358781318","0.6935483870967742","0.2518385087373875"
"ein_soldat_2a","Ein Soldat (II)","MALE","false","1","4","70",,"12","12","0","0.5443037974683544","0.15227868869101838"
"zwei_kuerassiere","Zwei Kürassiere","MALE","true","1","2","7",,"12","12","0","0.5443037974683544","0.1522786886910184"
"kuerassier","Kürassier","MALE","false","1","2","8",,"12","12","0","0.5443037974683544","0.1522786886910184"
"zweiter_soldat_2a","Zweiter Soldat (II)","MALE","false","1","1","52",,"12","12","0","0.5443037974683544","0.15227868869101838"
"max","Maximilian","MALE","false","3","30","821",,"21","24","0.04444381518350641","0.6323529411764706","0.24569944625103515"
"erster_soldat_2b","Erster Soldat (II)","MALE","false","1","5","61",,"12","12","0","0.5443037974683544","0.15227868869101838"
"zweiter_soldat_2b","Zweiter Soldat (II)","MALE","false","1","4","15",,"12","12","0","0.5443037974683544","0.1522786886910184"
"ein_diener_2","Ein Diener (II)","MALE","false","1","1","3",,"5","5","0","0.4942528735632184","0.08342393100401305"
"erster_soldat_2c","Erster Soldat (II)","MALE","false","1","4","46",,"8","8","0","0.5375","0.09332024277918356"
"zweiter_soldat_2c","Zweiter Soldat (II)","MALE","false","1","1","12",,"8","8","0","0.5375","0.09332024277918356"
"dritter_soldat_2c","Dritter Soldat (II)","MALE","false","1","1","22",,"8","8","0","0.5375","0.09332024277918356"
"lukrezia","Lukrezia","FEMALE","false","2","16","205",,"9","11","0.006707799398829299","0.5443037974683544","0.09506608773405714"
"julius","Herzog Julius","MALE","false","5","68","1376",,"23","35","0.07571116496859376","0.6825396825396826","0.227616549500164"
"schlick","Schlick","MALE","false","4","11","189",,"16","26","0.021816259578671764","0.6142857142857143","0.1831972528072449"
"diener_3","Diener (III)","MALE","false","1","3","31",,"8","8","0","0.5512820512820513","0.11090190226005071"
"die_staende","Die Stände","MALE","true","1","1","9",,"8","8","0","0.5512820512820513","0.11090190226005071"
"thurn","Graf Thurn","MALE","false","3","16","673",,"12","18","0.010789863883267706","0.5584415584415584","0.13969283380216443"
"volk","Volk","UNKNOWN","true","1","1","5",,"5","5","0","0.5119047619047619","0.07257832878417358"
"ein_buerger","Ein Bürger","MALE","false","1","4","51",,"3","3","0","0.46236559139784944","0.038705604501629076"
"hauptmann_4","Hauptmann (IV)","MALE","false","1","3","31",,"3","3","0","0.4095238095238095","0.02846039473279435"
"diener_4","Diener (IV)","MALE","false","1","3","65",,"6","6","0","0.4387755102040816","0.06503769836364776"
"hinter_der_szene","Hinter der Szene","MALE","false","1","1","3",,"6","6","0","0.4387755102040816","0.06503769836364776"
"arbeiter","Arbeiter","MALE","false","1","1","20",,"7","7","0","0.5180722891566265","0.09290492753355926"
"kaemmerling","Kämmerling","MALE","false","1","3","45",,"9","9","0","0.5308641975308642","0.09223832903675397"
"seyfried","Seyfried Breuner","MALE","false","1","6","66",,"9","9","0","0.5308641975308642","0.09223832903675397"
"ein_diener_5","Ein Diener (V)","MALE","false","1","2","20",,"9","9","0","0.5308641975308642","0.09223832903675397"
"wallenstein","Wallenstein","MALE","false","1","17","409",,"9","9","0","0.5308641975308642","0.09223832903675397"
"einige_andere_mehrere","Einige/Andere/Mehrere","MALE","true","1","3","23",,"9","9","0","0.5308641975308642","0.09223832903675397"
"auf_der_strasse","Auf der Straße","UNKNOWN","true","1","3","6",,"9","9","0","0.5308641975308642","0.09223832903675397"
