id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"philemon","Philemon","MALE","false","19","147","5111",,"11","40","0","0.6875","0.2886751345934538"
"phillis","Phillis","FEMALE","false","9","50","496",,"11","27","0","0.6875","0.2886751345934538"
"sylvia","Sylvia","FEMALE","false","7","40","568",,"11","26","0","0.6875","0.2886751345934538"
"mirtillo","Mirtillo","MALE","false","20","113","1833",,"11","43","0","0.6875","0.2886751345934538"
"sylvan","Sylvan","MALE","false","23","122","2353",,"11","50","0","0.6875","0.2886751345934538"
"seladon","Seladon","MALE","false","10","58","991",,"11","26","0","0.6875","0.2886751345934538"
"mirta","Mirta","FEMALE","false","10","40","1055",,"11","27","0","0.6875","0.2886751345934538"
"mops","Mops","MALE","false","6","38","906",,"11","21","0","0.6875","0.2886751345934538"
"silen","Silen","MALE","false","7","33","648",,"11","24","0","0.6875","0.2886751345934538"
"damon","Damon","MALE","false","10","82","1596",,"11","26","0","0.6875","0.2886751345934538"
"galathe","Galathe","FEMALE","false","11","57","1080",,"11","28","0","0.6875","0.2886751345934538"
"doris","Doris","FEMALE","false","17","99","1643",,"11","36","0","0.6875","0.2886751345934538"
"oktober","Oktober","UNKNOWN","false","1","3","368",,"4","4","0","0.25","0.000001372309257316603"
"verehrung","Verehrung","UNKNOWN","false","1","5","313",,"4","4","0","0.25","0.000001372309257316603"
"treue","Treue","UNKNOWN","false","1","2","131",,"4","4","0","0.25","0.000001372309257316603"
"liebe","Liebe","UNKNOWN","false","1","3","101",,"4","4","0","0.25","0.000001372309257316603"
"freude","Freude","UNKNOWN","false","1","2","79",,"4","4","0","0.25","0.000001372309257316603"
