id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"nachtwaechter","Nachtwächter","MALE","false","13","46","573",,"17","43","0.05036613143582606","0.673469387755102","0.2508242557945291"
"pemperl","Pemperl","MALE","false","10","19","240",,"17","35","0.12860016805142405","0.673469387755102","0.19002957063113224"
"schabenfellner","Schabenfellner","MALE","false","6","7","121",,"12","23","0.04441193248759037","0.6","0.1430879696551533"
"die_buerger","Die Bürger","UNKNOWN","true","2","1","72",,"4","6","0.00027056277056277056","0.4647887323943662","0.061156087719383884"
"klaus","Klaus","MALE","false","24","139","2995",,"17","52","0.07873705810000842","0.66","0.217497021681369"
"caecilie","Cäcilie","FEMALE","false","9","17","100",,"11","25","0.015101365385456297","0.5892857142857143","0.16250484209487606"
"walpurga","Walpurga","FEMALE","false","3","6","43",,"14","17","0.020619734400342336","0.6226415094339622","0.22860243678969674"
"sigmund","Sigmund","MALE","false","15","66","461",,"11","31","0.00740995115995116","0.559322033898305","0.17779056046006428"
"willibald","Willibald","MALE","false","9","42","541",,"9","24","0.002597922910422911","0.5409836065573771","0.1524074151731946"
"pfiffspitz","Pfiffspitz","MALE","false","3","15","127",,"4","6","0.0011574074074074073","0.515625","0.057434896284479876"
"ultra","Ultra","MALE","false","24","137","2755",,"22","58","0.13246136603334746","0.75","0.30313405551996325"
"die_kraehwinkler_1-10","Die Krähwinkler (I/10)","UNKNOWN","true","1","11","41",,"3","3","0","0.4925373134328358","0.04201484421802599"
"reakzerl","Reakzerl","MALE","false","4","15","253",,"13","21","0.010885489411558933","0.5892857142857143","0.21484574961439837"
"frau_von_frankenfrei","Frau von Frankenfrei","FEMALE","false","8","30","306",,"17","36","0.045931480425657895","0.66","0.2628538674020433"
"buergermeister","Bürgermeister","MALE","false","23","86","1115",,"19","55","0.08861351143709362","0.7021276595744681","0.25900097335357225"
"emerenzia","Emerenzia","FEMALE","false","13","36","289",,"11","35","0.023961181606569307","0.5892857142857143","0.14318122414288822"
"sperling","Sperling","MALE","false","11","26","477",,"18","40","0.053429527412341235","0.673469387755102","0.2746279225944302"
"rummelpuff","Rummelpuff","MALE","false","4","11","158",,"5","12","0","0.4925373134328358","0.08904772382186672"
"die_kraehwinkler_2-10","Die Krähwinkler (II/10)","UNKNOWN","true","1","1","4",,"2","2","0","0.4125","0.025419539145136057"
"die_frauen","Die Frauen","FEMALE","true","2","3","9",,"6","8","0.005397727272727272","0.4925373134328358","0.07065147162672107"
"frau_pemperl","Frau Pemperl","FEMALE","false","5","10","106",,"18","28","0.08287280811424141","0.6875","0.2613611897941884"
"frau_schabenfellner","Frau Schabenfellner","FEMALE","false","4","4","43",,"16","22","0.0641658682675957","0.66","0.22150727723711638"
"die_maenner","Die Männer","MALE","true","1","2","12",,"5","5","0","0.4852941176470588","0.06765696991323522"
"frau_kloeppl","Frau Klöppl","FEMALE","false","1","2","27",,"3","3","0","0.4230769230769231","0.042237430768099174"
"chor_alle_2-13_bis_2-16","Chor/Alle (II/13–16)","UNKNOWN","true","4","6","43",,"9","13","0.0027695105820105814","0.5789473684210527","0.16185337963852617"
"babette","Babette","FEMALE","false","2","2","8",,"10","13","0.00015782828282828281","0.55","0.1773232422508158"
"adele","Adele","FEMALE","false","2","4","20",,"10","13","0.00015782828282828281","0.55","0.1773232422508158"
"frau_von_schnabelbeiss","Frau von Schnabelbeiß","FEMALE","false","3","6","91",,"12","20","0.006637653913723434","0.5789473684210527","0.20224083173243998"
"kathi","Kathi","FEMALE","false","2","2","14",,"10","13","0.00015782828282828281","0.55","0.1773232422508158"
"ein_bedienter","Ein Bedienter","MALE","false","1","1","4",,"5","5","0","0.4714285714285714","0.09245922698876713"
"kellner","Kellner","MALE","false","3","4","23",,"4","5","0.0005523989898989899","0.4714285714285714","0.06404612304126915"
"die_kraehwinkler_3-11","Zwei Krähwinkler (III/11)","UNKNOWN","true","1","1","10",,"4","4","0","0.4647887323943662","0.0664262170926634"
"chor_3-12","Chor (III/12)","UNKNOWN","true","1","1","31",,"3","3","0","0.4647887323943662","0.042023429687045186"
"alle_3-24","Alle (III/24)","UNKNOWN","true","1","1","1",,"3","3","0","0.4852941176470588","0.05641804152588222"
