id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"coelestin","Cölestin","MALE","false","18","109","1429",,"8","30","0.13703703703703704","0.9","0.39919216108544886"
"tatjana","Tatjana","FEMALE","false","4","20","214",,"4","8","0","0.6","0.23916904000815492"
"fuerst","Fürst","MALE","false","19","226","2706",,"8","25","0.24999999999999994","0.9","0.37758073175242984"
"katharina","Katharina","FEMALE","false","11","130","1409",,"7","24","0.03425925925925926","0.8181818181818182","0.3803306467234665"
"schwigerling","Schwigerling","MALE","false","24","306","4124",,"7","41","0.03425925925925926","0.8181818181818182","0.3803306467234665"
"enjuscha","Enjuscha","MALE","false","4","5","68",,"5","13","0","0.6923076923076923","0.3007744966480565"
"alioscha","Alioscha","MALE","false","5","5","67",,"6","15","0.005555555555555556","0.75","0.347417544900993"
"fuerstin","Fürstin","FEMALE","false","8","71","971",,"6","14","0.01944444444444444","0.75","0.3389396284658885"
"kolja","Kolja","MALE","false","2","7","252",,"3","4","0.01944444444444444","0.6","0.13705876773939832"
"mitja","Mitja","MALE","false","1","0","8",,"2","2","0","0.5294117647058824","0.08212400542389217"
