id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"leon","Leon","MALE","false","5","324","6478",,"15","30","0.10430839002267574","1","0.30828387809503416"
"hausverwalter","Hausverwalter","MALE","false","1","15","194",,"3","3","0","0.5555555555555556","0.060328460954087816"
"gregor","Gregor","MALE","false","2","70","1784",,"10","11","0.03151927437641724","0.75","0.2107234082655242"
"pilger","Pilger","MALE","false","2","30","217",,"8","9","0.01882086167800454","0.6818181818181818","0.1775037147035433"
"kattwald","Kattwald","MALE","false","3","107","1257",,"11","19","0.007709750566893425","0.7894736842105263","0.25610629605873936"
"edrita","Edrita","FEMALE","false","4","148","2796",,"14","27","0.0344671201814059","0.9375","0.3034749930812466"
"galomir","Galomir","MALE","false","3","31","190",,"14","24","0.0344671201814059","0.9375","0.30347499308124665"
"schaffer","Schaffer","MALE","false","3","18","213",,"14","24","0.0344671201814059","0.9375","0.3034749930812466"
"atalus","Atalus","MALE","false","4","79","784",,"14","27","0.0344671201814059","0.9375","0.30347499308124665"
"faehrmann","Fährmann","MALE","false","1","17","400",,"10","10","0","0.75","0.24195729259821297"
"knecht_des_faehrmanns","Knecht (des Fährmanns)","MALE","false","1","1","34",,"10","10","0","0.75","0.24195729259821297"
"ein_krieger","Ein Krieger","MALE","false","1","2","3",,"10","10","0","0.75","0.24195729259821297"
"zweiter_krieger","Zweiter Krieger","MALE","false","1","3","34",,"10","10","0","0.75","0.24195729259821294"
"erster_knecht","Erster Knecht","MALE","false","2","6","50",,"13","18","0.023582766439909295","0.8823529411764706","0.2893259896207202"
"zweiter_knecht","Zweiter Knecht","MALE","false","1","2","4",,"8","8","0","0.6818181818181818","0.19176551979121023"
"anfuehrer","Anführer","MALE","false","1","3","70",,"8","8","0","0.6818181818181818","0.19176551979121023"
